date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
20-07-2024,CLE,IND,100,93,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/cleveland-cavaliers-indiana-pacers-tvKTEHn1/,130,-171
18-07-2024,CLE,LAL,89,93,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/cleveland-cavaliers-los-angeles-lakers-dA6BRSE7/,-240,180
17-07-2024,CLE,GSW,85,96,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/cleveland-cavaliers-golden-state-warriors-2wzzSy9j/,-136,104
14-07-2024,MIL,CLE,81,112,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/milwaukee-bucks-cleveland-cavaliers-EFEA4mfS/,107,-139
12-07-2024,ORL,CLE,106,79,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/orlando-magic-cleveland-cavaliers-h8bIwKkC/,-208,157
15-05-2024,BOS,CLE,113,98,1,NBA_2023/2024,usa/nba-2023-2024/boston-celtics-cleveland-cavaliers-lj28NK5j/,-1644,915
13-05-2024,CLE,BOS,102,109,0,NBA_2023/2024,usa/nba-2023-2024/cleveland-cavaliers-boston-celtics-vcMXAHxR/,481,-686
11-05-2024,CLE,BOS,93,106,0,NBA_2023/2024,usa/nba-2023-2024/cleveland-cavaliers-boston-celtics-IsYOCw8E/,243,-304
09-05-2024,BOS,CLE,94,118,0,NBA_2023/2024,usa/nba-2023-2024/boston-celtics-cleveland-cavaliers-jytwkzG7/,-897,598
07-05-2024,BOS,CLE,120,95,1,NBA_2023/2024,usa/nba-2023-2024/boston-celtics-cleveland-cavaliers-WYPyidoe/,-765,529
05-05-2024,CLE,ORL,106,94,1,NBA_2023/2024,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-EihMmTT9/,-160,132
03-05-2024,ORL,CLE,103,96,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-cleveland-cavaliers-6sXxmCP8/,-184,153
30-04-2024,CLE,ORL,104,103,1,NBA_2023/2024,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-AN71LTVG/,-185,154
