team_1,team_2,score_1,score_2,game_url
DAL,UTAH,102,107,usa/nba/dallas-mavericks-utah-jazz-UurhP30A/
DAL,MEM,116,121,usa/nba/dallas-mavericks-memphis-grizzlies-rP3nGm0r/
DAL,OKC,79,88,usa/nba-las-vegas-summer-league/dallas-mavericks-oklahoma-city-thunder-04ESROsm/
BOS,DAL,90,101,usa/nba-las-vegas-summer-league/boston-celtics-dallas-mavericks-xURptST0/
DAL,MIA,79,92,usa/nba-las-vegas-summer-league/dallas-mavericks-miami-heat-dxVLKK1N/
MEM,DAL,108,88,usa/nba-las-vegas-summer-league/memphis-grizzlies-dallas-mavericks-vwxjFw8m/
DAL,UTAH,89,90,usa/nba-las-vegas-summer-league/dallas-mavericks-utah-jazz-pzNg8Vf3/
BOS,DAL,106,88,usa/nba-2023-2024/boston-celtics-dallas-mavericks-dUhxW4j2/
DAL,BOS,122,84,usa/nba-2023-2024/dallas-mavericks-boston-celtics-6iOfHeYI/
DAL,BOS,99,106,usa/nba-2023-2024/dallas-mavericks-boston-celtics-YwQnJH36/
BOS,DAL,105,98,usa/nba-2023-2024/boston-celtics-dallas-mavericks-xCWwLwZg/
BOS,DAL,107,89,usa/nba-2023-2024/boston-celtics-dallas-mavericks-UoTVMa4s/
MIN,DAL,103,124,usa/nba-2023-2024/minnesota-timberwolves-dallas-mavericks-2V13yfaE/
DAL,MIN,100,105,usa/nba-2023-2024/dallas-mavericks-minnesota-timberwolves-tQzVri13/
DAL,MIN,116,107,usa/nba-2023-2024/dallas-mavericks-minnesota-timberwolves-QHhrLm9d/
MIN,DAL,108,109,usa/nba-2023-2024/minnesota-timberwolves-dallas-mavericks-IikzN9vp/
MIN,DAL,105,108,usa/nba-2023-2024/minnesota-timberwolves-dallas-mavericks-b3x2uIfB/
DAL,OKC,117,116,usa/nba-2023-2024/dallas-mavericks-oklahoma-city-thunder-OQXlFms1/
OKC,DAL,92,104,usa/nba-2023-2024/oklahoma-city-thunder-dallas-mavericks-jcsNECMt/
DAL,OKC,96,100,usa/nba-2023-2024/dallas-mavericks-oklahoma-city-thunder-Io2yKiA5/
DAL,OKC,105,101,usa/nba-2023-2024/dallas-mavericks-oklahoma-city-thunder-MJ8SLDug/
OKC,DAL,110,119,usa/nba-2023-2024/oklahoma-city-thunder-dallas-mavericks-l6AKNZAt/
OKC,DAL,117,95,usa/nba-2023-2024/oklahoma-city-thunder-dallas-mavericks-AuuA3WPO/
DAL,LAC,114,101,usa/nba-2023-2024/dallas-mavericks-los-angeles-clippers-bkP5irdd/
LAC,DAL,93,123,usa/nba-2023-2024/los-angeles-clippers-dallas-mavericks-KKFEp2gM/
DAL,LAC,111,116,usa/nba-2023-2024/dallas-mavericks-los-angeles-clippers-rZv0umV9/
DAL,LAC,101,90,usa/nba-2023-2024/dallas-mavericks-los-angeles-clippers-z9yhs90c/
LAC,DAL,93,96,usa/nba-2023-2024/los-angeles-clippers-dallas-mavericks-fDb5J58j/
LAC,DAL,109,97,usa/nba-2023-2024/los-angeles-clippers-dallas-mavericks-lKosmMFr/
OKC,DAL,135,86,usa/nba-2023-2024/oklahoma-city-thunder-dallas-mavericks-6NjIO6Kr/
DAL,DET,89,107,usa/nba-2023-2024/dallas-mavericks-detroit-pistons-vgrdJBr3/
MIA,DAL,92,111,usa/nba-2023-2024/miami-heat-dallas-mavericks-0Ods618n/
CHA,DAL,104,130,usa/nba-2023-2024/charlotte-hornets-dallas-mavericks-Mi2TarW6/
DAL,HOU,147,136,usa/nba-2023-2024/dallas-mavericks-houston-rockets-GYNpkRHl/
DAL,GSW,108,106,usa/nba-2023-2024/dallas-mavericks-golden-state-warriors-tbz1d5Vi/
DAL,ATL,109,95,usa/nba-2023-2024/dallas-mavericks-atlanta-hawks-zR6EnYej/
GSW,DAL,104,100,usa/nba-2023-2024/golden-state-warriors-dallas-mavericks-C0k6VuLb/
HOU,DAL,107,125,usa/nba-2023-2024/houston-rockets-dallas-mavericks-r7YfxixE/
SAC,DAL,103,107,usa/nba-2023-2024/sacramento-kings-dallas-mavericks-6LNGOX7E/
SAC,DAL,96,132,usa/nba-2023-2024/sacramento-kings-dallas-mavericks-z7WxrG9S/
UTAH,DAL,105,115,usa/nba-2023-2024/utah-jazz-dallas-mavericks-b1yEmKui/
DAL,UTAH,113,97,usa/nba-2023-2024/dallas-mavericks-utah-jazz-jurhr4nE/
SA,DAL,107,113,usa/nba-2023-2024/san-antonio-spurs-dallas-mavericks-EZtK83ee/
DAL,DEN,107,105,usa/nba-2023-2024/dallas-mavericks-denver-nuggets-YspemdTH/
OKC,DAL,126,119,usa/nba-2023-2024/oklahoma-city-thunder-dallas-mavericks-WxAwZ587/
DAL,GSW,109,99,usa/nba-2023-2024/dallas-mavericks-golden-state-warriors-tnGgqjWE/
CHI,DAL,92,127,usa/nba-2023-2024/chicago-bulls-dallas-mavericks-z1LdppK6/
DET,DAL,124,142,usa/nba-2023-2024/detroit-pistons-dallas-mavericks-phGxgH69/
DAL,MIA,114,108,usa/nba-2023-2024/dallas-mavericks-miami-heat-z360Kd0p/
DAL,IND,120,137,usa/nba-2023-2024/dallas-mavericks-indiana-pacers-jB6nDugH/
DAL,PHI,116,120,usa/nba-2023-2024/dallas-mavericks-philadelphia-76ers-noAXaVI0/
BOS,DAL,138,110,usa/nba-2023-2024/boston-celtics-dallas-mavericks-vi5l4Phk/
TOR,DAL,125,136,usa/nba-2023-2024/toronto-raptors-dallas-mavericks-zB6Q2yT4/
CLE,DAL,121,119,usa/nba-2023-2024/cleveland-cavaliers-dallas-mavericks-pfDqlD2i/
IND,DAL,133,111,usa/nba-2023-2024/indiana-pacers-dallas-mavericks-IRXjUIBI/
DAL,PHX,123,113,usa/nba-2023-2024/dallas-mavericks-phoenix-suns-vsGR6ODf/
DAL,SA,116,93,usa/nba-2023-2024/dallas-mavericks-san-antonio-spurs-lh1qfoUl/
DAL,WSH,112,104,usa/nba-2023-2024/dallas-mavericks-washington-wizards-U9iL3b1o/
DAL,OKC,146,111,usa/nba-2023-2024/dallas-mavericks-oklahoma-city-thunder-l6WGq8d8/
NY,DAL,108,122,usa/nba-2023-2024/new-york-knicks-dallas-mavericks-rJ8OPtEd/
BKN,DAL,107,119,usa/nba-2023-2024/brooklyn-nets-dallas-mavericks-2aBcLRMA/
PHI,DAL,102,118,usa/nba-2023-2024/philadelphia-76ers-dallas-mavericks-AqclP9No/
DAL,MIL,117,129,usa/nba-2023-2024/dallas-mavericks-milwaukee-bucks-OzDe5FWC/
MIN,DAL,121,87,usa/nba-2023-2024/minnesota-timberwolves-dallas-mavericks-h8zStule/
DAL,ORL,131,129,usa/nba-2023-2024/dallas-mavericks-orlando-magic-OEJGmj5A/
DAL,SAC,115,120,usa/nba-2023-2024/dallas-mavericks-sacramento-kings-4pDHveMu/
ATL,DAL,143,148,usa/nba-2023-2024/atlanta-hawks-dallas-mavericks-b93JRmRg/
DAL,PHX,109,132,usa/nba-2023-2024/dallas-mavericks-phoenix-suns-jqvtEUdf/
DAL,BOS,110,119,usa/nba-2023-2024/dallas-mavericks-boston-celtics-lbfILLb3/
LAL,DAL,127,110,usa/nba-2023-2024/los-angeles-lakers-dallas-mavericks-zXHFp8Wu/
DAL,NO,125,120,usa/nba-2023-2024/dallas-mavericks-new-orleans-pelicans-8lYxyb3E/
DAL,NO,108,118,usa/nba-2023-2024/dallas-mavericks-new-orleans-pelicans-Gf9aNvZE/
DAL,NY,128,124,usa/nba-2023-2024/dallas-mavericks-new-york-knicks-KnjhNJHH/
DAL,MEM,103,120,usa/nba-2023-2024/dallas-mavericks-memphis-grizzlies-EFjhZkyP/
DAL,MIN,115,108,usa/nba-2023-2024/dallas-mavericks-minnesota-timberwolves-WEqcx1ok/
DAL,POR,139,103,usa/nba-2023-2024/dallas-mavericks-portland-trail-blazers-p2NoWPOF/
DAL,POR,126,97,usa/nba-2023-2024/dallas-mavericks-portland-trail-blazers-WK46bo3p/
UTAH,DAL,127,90,usa/nba-2023-2024/utah-jazz-dallas-mavericks-4pDk6x5g/
GSW,DAL,122,132,usa/nba-2023-2024/golden-state-warriors-dallas-mavericks-CYhxaLcQ/
MIN,DAL,118,110,usa/nba-2023-2024/minnesota-timberwolves-dallas-mavericks-4YxPYOqL/
DAL,CLE,110,113,usa/nba-2023-2024/dallas-mavericks-cleveland-cavaliers-IHzDyRa2/
PHX,DAL,114,128,usa/nba-2023-2024/phoenix-suns-dallas-mavericks-fyVCZqDH/
DAL,SA,144,119,usa/nba-2023-2024/dallas-mavericks-san-antonio-spurs-v58sK4DU/
HOU,DAL,122,96,usa/nba-2023-2024/houston-rockets-dallas-mavericks-nyFa9maC/
DAL,LAC,111,120,usa/nba-2023-2024/dallas-mavericks-los-angeles-clippers-4hc9bWpf/
DEN,DAL,130,104,usa/nba-2023-2024/denver-nuggets-dallas-mavericks-CI4r73Xd/
POR,DAL,120,131,usa/nba-2023-2024/portland-trail-blazers-dallas-mavericks-hhdsv53A/
DAL,MIN,101,119,usa/nba-2023-2024/dallas-mavericks-minnesota-timberwolves-8OWKQfTg/
DAL,LAL,127,125,usa/nba-2023-2024/dallas-mavericks-los-angeles-lakers-fsA8yiQE/
MEM,DAL,113,120,usa/nba-2023-2024/memphis-grizzlies-dallas-mavericks-bFvvMBQR/
POR,DAL,112,125,usa/nba-2023-2024/portland-trail-blazers-dallas-mavericks-0QmzRl94/
DAL,UTAH,147,97,usa/nba-2023-2024/dallas-mavericks-utah-jazz-0W8qmZQa/
DAL,OKC,120,126,usa/nba-2023-2024/dallas-mavericks-oklahoma-city-thunder-MyOoerMB/
DAL,MEM,94,108,usa/nba-2023-2024/dallas-mavericks-memphis-grizzlies-nJ93r5x6/
DAL,HOU,121,115,usa/nba-2023-2024/dallas-mavericks-houston-rockets-2Zot7dTc/
LAC,DAL,107,88,usa/nba-2023-2024/los-angeles-clippers-dallas-mavericks-E97uNcAS/
LAL,DAL,101,104,usa/nba-2023-2024/los-angeles-lakers-dallas-mavericks-4K7GS1ti/
DAL,SAC,113,129,usa/nba-2023-2024/dallas-mavericks-sacramento-kings-4Mxq1eWB/
MIL,DAL,132,125,usa/nba-2023-2024/milwaukee-bucks-dallas-mavericks-UsJfNomE/
WSH,DAL,117,130,usa/nba-2023-2024/washington-wizards-dallas-mavericks-lSHQn5B1/
NO,DAL,131,110,usa/nba-2023-2024/new-orleans-pelicans-dallas-mavericks-rVSH6SHH/
NO,DAL,124,136,usa/nba-2023-2024/new-orleans-pelicans-dallas-mavericks-8fRVcVJ2/
DAL,LAC,144,126,usa/nba-2023-2024/dallas-mavericks-los-angeles-clippers-06wD782B/
DAL,TOR,116,127,usa/nba-2023-2024/dallas-mavericks-toronto-raptors-nR9nGXNe/
ORL,DAL,102,117,usa/nba-2023-2024/orlando-magic-dallas-mavericks-bNhCGtV5/
DAL,CHA,124,118,usa/nba-2023-2024/dallas-mavericks-charlotte-hornets-WA1eKOVt/
DEN,DAL,125,114,usa/nba-2023-2024/denver-nuggets-dallas-mavericks-htz59UXb/
DAL,CHI,114,105,usa/nba-2023-2024/dallas-mavericks-chicago-bulls-bTZjh6nl/
MEM,DAL,110,125,usa/nba-2023-2024/memphis-grizzlies-dallas-mavericks-tQGS0eJp/
DAL,BKN,125,120,usa/nba-2023-2024/dallas-mavericks-brooklyn-nets-pKEmuucO/
SA,DAL,119,126,usa/nba-2023-2024/san-antonio-spurs-dallas-mavericks-fVa5S1DI/
DAL,DET,114,104,usa/nba-2023-2024/dallas-mavericks-detroit-pistons-G6RkNb6f/
DAL,MIN,96,104,usa/nba-2023-2024/dallas-mavericks-minnesota-timberwolves-zDyCB17r/
MIN,DAL,111,99,usa/nba-2023-2024/minnesota-timberwolves-dallas-mavericks-Oz9rTTxG/
DAL,ATL,101,80,usa/nba-las-vegas-summer-league-2023/dallas-mavericks-atlanta-hawks-COuiwZTH/
IND,DAL,91,112,usa/nba-las-vegas-summer-league-2023/indiana-pacers-dallas-mavericks-jRG8gqdG/
DAL,GSW,98,96,usa/nba-las-vegas-summer-league-2023/dallas-mavericks-golden-state-warriors-lSuzM4zo/
DAL,PHI,111,103,usa/nba-las-vegas-summer-league-2023/dallas-mavericks-philadelphia-76ers-8AaKRZ66/
OKC,DAL,91,80,usa/nba-las-vegas-summer-league-2023/oklahoma-city-thunder-dallas-mavericks-UyfnPto8/
DAL,SA,117,138,usa/nba-2022-2023/dallas-mavericks-san-antonio-spurs-hMc8n3sg/
DAL,CHI,112,115,usa/nba-2022-2023/dallas-mavericks-chicago-bulls-rRWctSKJ/
DAL,SAC,123,119,usa/nba-2022-2023/dallas-mavericks-sacramento-kings-YJyLKghq/
ATL,DAL,132,130,usa/nba-2022-2023/atlanta-hawks-dallas-mavericks-vNqG4s2o/
MIA,DAL,129,122,usa/nba-2022-2023/miami-heat-dallas-mavericks-YLGgmtXA/
PHI,DAL,116,108,usa/nba-2022-2023/philadelphia-76ers-dallas-mavericks-fV1Riq1r/
IND,DAL,104,127,usa/nba-2022-2023/indiana-pacers-dallas-mavericks-GOhUN4n2/
CHA,DAL,110,104,usa/nba-2022-2023/charlotte-hornets-dallas-mavericks-Gt8VZAuc/
DAL,CHA,109,117,usa/nba-2022-2023/dallas-mavericks-charlotte-hornets-GrwxGGlO/
DAL,GSW,125,127,usa/nba-2022-2023/dallas-mavericks-golden-state-warriors-Snjo7L5g/
MEM,DAL,112,108,usa/nba-2022-2023/memphis-grizzlies-dallas-mavericks-0CW3frMm/
LAL,DAL,110,111,usa/nba-2022-2023/los-angeles-lakers-dallas-mavericks-YTnRpYhM/
SA,DAL,128,137,usa/nba-2022-2023/san-antonio-spurs-dallas-mavericks-WzkZjlbb/
DAL,MEM,88,104,usa/nba-2022-2023/dallas-mavericks-memphis-grizzlies-Q33awGB8/
MEM,DAL,112,108,usa/nba-2022-2023/memphis-grizzlies-dallas-mavericks-jPw2K15T/
NO,DAL,113,106,usa/nba-2022-2023/new-orleans-pelicans-dallas-mavericks-phKpeoxI/
DAL,UTAH,120,116,usa/nba-2022-2023/dallas-mavericks-utah-jazz-29OPa9Nn/
DAL,PHX,126,130,usa/nba-2022-2023/dallas-mavericks-phoenix-suns-GWCyiuuF/
DAL,PHI,133,126,usa/nba-2022-2023/dallas-mavericks-philadelphia-76ers-GddSP2tG/
DAL,IND,122,124,usa/nba-2022-2023/dallas-mavericks-indiana-pacers-QmuYFRCi/
DAL,LAL,108,111,usa/nba-2022-2023/dallas-mavericks-los-angeles-lakers-jgctEpQ6/
DAL,SA,142,116,usa/nba-2022-2023/dallas-mavericks-san-antonio-spurs-jF6DkAsk/
DEN,DAL,118,109,usa/nba-2022-2023/denver-nuggets-dallas-mavericks-IoKsxiDk/
DAL,MIN,121,124,usa/nba-2022-2023/dallas-mavericks-minnesota-timberwolves-2BoFpOah/
SAC,DAL,133,128,usa/nba-2022-2023/sacramento-kings-dallas-mavericks-Gt8YXpGn/
SAC,DAL,114,122,usa/nba-2022-2023/sacramento-kings-dallas-mavericks-GKWcL7Wt/
