date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
20-07-2024,DEN,NO,91,82,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/denver-nuggets-new-orleans-pelicans-zqYG5YQp/,124,-160
18-07-2024,DEN,IND,86,71,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/denver-nuggets-indiana-pacers-SWgEku1c/,175,-232
16-07-2024,DEN,CHA,66,80,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/denver-nuggets-charlotte-hornets-W6VXPfM5/,148,-195
14-07-2024,TOR,DEN,84,81,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/toronto-raptors-denver-nuggets-CKoMEnzQ/,-229,169
12-07-2024,LAC,DEN,88,78,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/los-angeles-clippers-denver-nuggets-rBGPXlJj/,117,-153
19-05-2024,DEN,MIN,90,98,0,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-minnesota-timberwolves-vJHjMg0m/,-193,160
16-05-2024,MIN,DEN,115,70,1,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-denver-nuggets-UDcZnEI6/,-131,110
14-05-2024,DEN,MIN,112,97,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-minnesota-timberwolves-n1nnoQCs/,-189,156
12-05-2024,MIN,DEN,107,115,0,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-denver-nuggets-lnOqvsp4/,-175,144
10-05-2024,MIN,DEN,90,117,0,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-denver-nuggets-hKUzt3Fi/,-156,129
06-05-2024,DEN,MIN,80,106,0,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-minnesota-timberwolves-0QskIaNp/,-302,240
04-05-2024,DEN,MIN,99,106,0,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-minnesota-timberwolves-r91INLaN/,-187,154
29-04-2024,DEN,LAL,108,106,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-los-angeles-lakers-nRBwQuio/,-245,198
27-04-2024,LAL,DEN,119,108,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-denver-nuggets-UVCmWrhd/,131,-156
25-04-2024,LAL,DEN,105,112,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-denver-nuggets-Y3JvY4Nq/,-120,102
22-04-2024,DEN,LAL,101,99,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-los-angeles-lakers-xYX8wRaM/,-284,228
20-04-2024,DEN,LAL,114,103,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-los-angeles-lakers-2RsPjU8c/,-263,211
14-04-2024,MEM,DEN,111,126,0,NBA_2023/2024,usa/nba-2023-2024/memphis-grizzlies-denver-nuggets-8nBsV8sF/,607,-903
12-04-2024,SA,DEN,121,120,1,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-denver-nuggets-02qhKiTd/,448,-610
10-04-2024,DEN,MIN,116,107,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-minnesota-timberwolves-pCbg3ah5/,-291,234
09-04-2024,UTAH,DEN,95,111,0,NBA_2023/2024,usa/nba-2023-2024/utah-jazz-denver-nuggets-hIZFktO5/,921,-1667
06-04-2024,DEN,ATL,142,110,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-atlanta-hawks-2VJtj72r/,-670,472
04-04-2024,LAC,DEN,102,100,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-clippers-denver-nuggets-nsnyZERj/,128,-152
02-04-2024,DEN,SA,110,105,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-san-antonio-spurs-KQhETJkB/,-1477,847
31-03-2024,DEN,CLE,130,101,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-cleveland-cavaliers-xAceHk0l/,-184,156
29-03-2024,DEN,MIN,98,111,0,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-minnesota-timberwolves-vFVU0UF7/,-147,125
27-03-2024,DEN,PHX,97,104,0,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-phoenix-suns-ALbujD1k/,-222,181
25-03-2024,DEN,MEM,128,103,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-memphis-grizzlies-fTAXvSyi/,-850,575
23-03-2024,POR,DEN,111,114,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-denver-nuggets-AJLEowg6/,391,-522
21-03-2024,DEN,NY,113,100,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-new-york-knicks-lQ0esO1K/,-380,298
19-03-2024,MIN,DEN,112,115,0,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-denver-nuggets-8dtO7NA1/,243,-295
17-03-2024,DAL,DEN,107,105,1,NBA_2023/2024,usa/nba-2023-2024/dallas-mavericks-denver-nuggets-YspemdTH/,-101,-117
15-03-2024,SA,DEN,106,117,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-denver-nuggets-n7J1wLag/,373,-495
13-03-2024,MIA,DEN,88,100,0,NBA_2023/2024,usa/nba-2023-2024/miami-heat-denver-nuggets-pEmne1YO/,133,-158
11-03-2024,DEN,TOR,125,119,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-toronto-raptors-tlTiJdDo/,-1733,955
09-03-2024,DEN,UTAH,142,121,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-utah-jazz-UssEZS5l/,-738,522
07-03-2024,DEN,BOS,115,109,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-boston-celtics-Eg54JGFj/,108,-127
05-03-2024,DEN,PHX,107,117,0,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-phoenix-suns-U15jCa8N/,-387,305
02-03-2024,LAL,DEN,114,124,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-denver-nuggets-EXBP1ill/,-102,-115
29-02-2024,DEN,MIA,103,97,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-miami-heat-Sb6AB70F/,-268,214
28-02-2024,DEN,SAC,117,96,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-sacramento-kings-nuoyc8oM/,-420,317
25-02-2024,GSW,DEN,103,119,0,NBA_2023/2024,usa/nba-2023-2024/golden-state-warriors-denver-nuggets-r95DoKtg/,-133,112
23-02-2024,POR,DEN,112,127,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-denver-nuggets-x80av3ZP/,281,-372
