team_1,team_2,score_1,score_2,game_url
PHX,DET,91,109,usa/nba/phoenix-suns-detroit-pistons-0MRBuPpi/
DET,PHX,97,105,usa/nba/detroit-pistons-phoenix-suns-t01N4NLM/
DET,MIL,120,87,usa/nba/detroit-pistons-milwaukee-bucks-CrKSaSF1/
UTAH,DET,97,87,usa/nba-las-vegas-summer-league/utah-jazz-detroit-pistons-UNU8B3c6/
DET,NY,90,91,usa/nba-las-vegas-summer-league/detroit-pistons-new-york-knicks-vg8u29jK/
DET,CHI,85,77,usa/nba-las-vegas-summer-league/detroit-pistons-chicago-bulls-SYOtOYjI/
HOU,DET,73,87,usa/nba-las-vegas-summer-league/houston-rockets-detroit-pistons-8jFIXoOE/
PHI,DET,94,81,usa/nba-las-vegas-summer-league/philadelphia-76ers-detroit-pistons-dEtanlYq/
SA,DET,123,95,usa/nba-2023-2024/san-antonio-spurs-detroit-pistons-0pjMNQZl/
DAL,DET,89,107,usa/nba-2023-2024/dallas-mavericks-detroit-pistons-vgrdJBr3/
DET,CHI,105,127,usa/nba-2023-2024/detroit-pistons-chicago-bulls-6Rn21wNH/
PHI,DET,120,102,usa/nba-2023-2024/philadelphia-76ers-detroit-pistons-GE1Xb2oD/
BKN,DET,113,103,usa/nba-2023-2024/brooklyn-nets-detroit-pistons-rs788FI9/
MEM,DET,108,90,usa/nba-2023-2024/memphis-grizzlies-detroit-pistons-veLrhfYS/
ATL,DET,121,113,usa/nba-2023-2024/atlanta-hawks-detroit-pistons-ETByoLKo/
DET,MEM,108,110,usa/nba-2023-2024/detroit-pistons-memphis-grizzlies-nqmuHt65/
WSH,DET,87,96,usa/nba-2023-2024/washington-wizards-detroit-pistons-67rrAYhL/
MIN,DET,106,91,usa/nba-2023-2024/minnesota-timberwolves-detroit-pistons-lAdCdFOL/
NY,DET,124,99,usa/nba-2023-2024/new-york-knicks-detroit-pistons-2DphadN5/
DET,NO,101,114,usa/nba-2023-2024/detroit-pistons-new-orleans-pelicans-lAKIpc8C/
DET,BOS,102,129,usa/nba-2023-2024/detroit-pistons-boston-celtics-YcxSy2Ps/
DET,IND,103,122,usa/nba-2023-2024/detroit-pistons-indiana-pacers-O4OAVQ28/
BOS,DET,119,94,usa/nba-2023-2024/boston-celtics-detroit-pistons-tr4CCCdT/
DET,MIA,101,104,usa/nba-2023-2024/detroit-pistons-miami-heat-fioilxEB/
DET,MIA,95,108,usa/nba-2023-2024/detroit-pistons-miami-heat-vsGgusVt/
DET,TOR,113,104,usa/nba-2023-2024/detroit-pistons-toronto-raptors-fiXeIGSi/
DET,CHA,114,97,usa/nba-2023-2024/detroit-pistons-charlotte-hornets-2mNln6kf/
DET,DAL,124,142,usa/nba-2023-2024/detroit-pistons-dallas-mavericks-phGxgH69/
DET,BKN,118,112,usa/nba-2023-2024/detroit-pistons-brooklyn-nets-QTKUPIxN/
MIA,DET,118,110,usa/nba-2023-2024/miami-heat-detroit-pistons-0MDZFs9b/
ORL,DET,113,91,usa/nba-2023-2024/orlando-magic-detroit-pistons-dGiOMhQD/
DET,CLE,100,110,usa/nba-2023-2024/detroit-pistons-cleveland-cavaliers-K6OH9oVR/
CHI,DET,95,105,usa/nba-2023-2024/chicago-bulls-detroit-pistons-AspyvTvp/
NY,DET,113,111,usa/nba-2023-2024/new-york-knicks-detroit-pistons-xj7TsxtI/
DET,ORL,109,112,usa/nba-2023-2024/detroit-pistons-orlando-magic-MuxWYtcm/
IND,DET,129,115,usa/nba-2023-2024/indiana-pacers-detroit-pistons-rFMI8pqr/
PHX,DET,116,100,usa/nba-2023-2024/phoenix-suns-detroit-pistons-pKfhhPb1/
LAL,DET,125,111,usa/nba-2023-2024/los-angeles-lakers-detroit-pistons-zo58hYhp/
LAC,DET,112,106,usa/nba-2023-2024/los-angeles-clippers-detroit-pistons-0tzLrSBE/
POR,DET,122,128,usa/nba-2023-2024/portland-trail-blazers-detroit-pistons-QF3MprjM/
SAC,DET,120,133,usa/nba-2023-2024/sacramento-kings-detroit-pistons-jLTqXOLM/
DET,ORL,99,111,usa/nba-2023-2024/detroit-pistons-orlando-magic-vqerTIOJ/
DET,LAC,125,136,usa/nba-2023-2024/detroit-pistons-los-angeles-clippers-6B01ev3l/
CLE,DET,128,121,usa/nba-2023-2024/cleveland-cavaliers-detroit-pistons-xMFik3tF/
DET,OKC,120,104,usa/nba-2023-2024/detroit-pistons-oklahoma-city-thunder-0C6QxZjh/
DET,WSH,104,118,usa/nba-2023-2024/detroit-pistons-washington-wizards-A9YvRyht/
DET,CHA,113,106,usa/nba-2023-2024/detroit-pistons-charlotte-hornets-rLVDAej2/
DET,MIL,113,122,usa/nba-2023-2024/detroit-pistons-milwaukee-bucks-0xENavxp/
DET,MIL,135,141,usa/nba-2023-2024/detroit-pistons-milwaukee-bucks-WnTDg3FA/
DET,MIN,117,124,usa/nba-2023-2024/detroit-pistons-minnesota-timberwolves-Q3FrrFAs/
WSH,DET,117,129,usa/nba-2023-2024/washington-wizards-detroit-pistons-GEyoZyYQ/
DET,HOU,110,112,usa/nba-2023-2024/detroit-pistons-houston-rockets-8AsACNKd/
DET,SA,108,130,usa/nba-2023-2024/detroit-pistons-san-antonio-spurs-n3L6hDym/
DET,SAC,110,131,usa/nba-2023-2024/detroit-pistons-sacramento-kings-vcbuxhi6/
DEN,DET,131,114,usa/nba-2023-2024/denver-nuggets-detroit-pistons-A5r1yL0e/
GSW,DET,113,109,usa/nba-2023-2024/golden-state-warriors-detroit-pistons-b93MPN1q/
UTAH,DET,154,148,usa/nba-2023-2024/utah-jazz-detroit-pistons-dbdhMlei/
HOU,DET,136,113,usa/nba-2023-2024/houston-rockets-detroit-pistons-hhEBDKCJ/
DET,TOR,129,127,usa/nba-2023-2024/detroit-pistons-toronto-raptors-bHDL90mI/
BOS,DET,128,122,usa/nba-2023-2024/boston-celtics-detroit-pistons-WKvHzoF8/
DET,BKN,112,118,usa/nba-2023-2024/detroit-pistons-brooklyn-nets-YRTGY3SN/
BKN,DET,126,115,usa/nba-2023-2024/brooklyn-nets-detroit-pistons-86iWM6TB/
DET,UTAH,111,119,usa/nba-2023-2024/detroit-pistons-utah-jazz-0KjIdAF6/
ATL,DET,130,124,usa/nba-2023-2024/atlanta-hawks-detroit-pistons-2mNiptQq/
MIL,DET,146,114,usa/nba-2023-2024/milwaukee-bucks-detroit-pistons-6sLCOP3N/
PHI,DET,124,92,usa/nba-2023-2024/philadelphia-76ers-detroit-pistons-2qumUTZo/
DET,PHI,111,129,usa/nba-2023-2024/detroit-pistons-philadelphia-76ers-nukmU8Il/
DET,IND,123,131,usa/nba-2023-2024/detroit-pistons-indiana-pacers-4GH4B36h/
ORL,DET,123,91,usa/nba-2023-2024/orlando-magic-detroit-pistons-8WOdDVv5/
DET,MEM,102,116,usa/nba-2023-2024/detroit-pistons-memphis-grizzlies-SK1Dpt51/
DET,CLE,101,110,usa/nba-2023-2024/detroit-pistons-cleveland-cavaliers-hdWUbQMn/
NY,DET,118,112,usa/nba-2023-2024/new-york-knicks-detroit-pistons-6oZUT5NC/
DET,LAL,107,133,usa/nba-2023-2024/detroit-pistons-los-angeles-lakers-bL9iGngD/
DET,WSH,107,126,usa/nba-2023-2024/detroit-pistons-washington-wizards-jkJWKAvr/
IND,DET,136,113,usa/nba-2023-2024/indiana-pacers-detroit-pistons-QVaEVEkf/
DET,DEN,103,107,usa/nba-2023-2024/detroit-pistons-denver-nuggets-vkncId1n/
TOR,DET,142,113,usa/nba-2023-2024/toronto-raptors-detroit-pistons-zmjsxFpF/
CLE,DET,108,100,usa/nba-2023-2024/cleveland-cavaliers-detroit-pistons-hvqxk3jF/
DET,ATL,120,126,usa/nba-2023-2024/detroit-pistons-atlanta-hawks-bRnnSuq2/
CHI,DET,119,108,usa/nba-2023-2024/chicago-bulls-detroit-pistons-SblqzSRe/
DET,PHI,106,114,usa/nba-2023-2024/detroit-pistons-philadelphia-76ers-KzlrTLTe/
MIL,DET,120,118,usa/nba-2023-2024/milwaukee-bucks-detroit-pistons-lUIUUWkG/
DET,GSW,109,120,usa/nba-2023-2024/detroit-pistons-golden-state-warriors-hQk4I20g/
DET,PHX,106,120,usa/nba-2023-2024/detroit-pistons-phoenix-suns-0SAPPp8J/
NO,DET,125,116,usa/nba-2023-2024/new-orleans-pelicans-detroit-pistons-Cjt7lOoD/
DET,POR,101,110,usa/nba-2023-2024/detroit-pistons-portland-trail-blazers-8zH71S9e/
OKC,DET,124,112,usa/nba-2023-2024/oklahoma-city-thunder-detroit-pistons-pf7INIQc/
DET,CHI,118,102,usa/nba-2023-2024/detroit-pistons-chicago-bulls-fVs6cMCh/
CHA,DET,99,111,usa/nba-2023-2024/charlotte-hornets-detroit-pistons-KCTNpqTn/
MIA,DET,103,102,usa/nba-2023-2024/miami-heat-detroit-pistons-Qk8lWqEg/
DAL,DET,114,104,usa/nba-2023-2024/dallas-mavericks-detroit-pistons-G6RkNb6f/
OKC,DET,116,118,usa/nba-2023-2024/oklahoma-city-thunder-detroit-pistons-no2Kxv6s/
OKC,DET,125,128,usa/nba-2023-2024/oklahoma-city-thunder-detroit-pistons-GO4TaP9M/
DET,PHX,126,130,usa/nba-2023-2024/detroit-pistons-phoenix-suns-zm6G8ai1/
IND,DET,85,100,usa/nba-las-vegas-summer-league-2023/indiana-pacers-detroit-pistons-MZ89eGqn/
DET,SA,79,73,usa/nba-las-vegas-summer-league-2023/detroit-pistons-san-antonio-spurs-l2dqmsZq/
DET,TOR,94,90,usa/nba-las-vegas-summer-league-2023/detroit-pistons-toronto-raptors-lKoBplDo/
HOU,DET,113,101,usa/nba-las-vegas-summer-league-2023/houston-rockets-detroit-pistons-4f8UyKUD/
ORL,DET,78,89,usa/nba-las-vegas-summer-league-2023/orlando-magic-detroit-pistons-jireNKFK/
CHI,DET,103,81,usa/nba-2022-2023/chicago-bulls-detroit-pistons-EVb4mqSn/
IND,DET,115,122,usa/nba-2022-2023/indiana-pacers-detroit-pistons-2cYeM6Tm/
DET,BKN,108,123,usa/nba-2022-2023/detroit-pistons-brooklyn-nets-Op2yTHp3/
DET,MIA,105,118,usa/nba-2022-2023/detroit-pistons-miami-heat-CzKFhy9j/
ORL,DET,128,102,usa/nba-2022-2023/orlando-magic-detroit-pistons-YLxP2LWc/
HOU,DET,121,115,usa/nba-2022-2023/houston-rockets-detroit-pistons-AuyTabaJ/
OKC,DET,107,106,usa/nba-2022-2023/oklahoma-city-thunder-detroit-pistons-tn4wkso1/
DET,MIL,117,126,usa/nba-2022-2023/detroit-pistons-milwaukee-bucks-2LlQOpXe/
TOR,DET,118,97,usa/nba-2022-2023/toronto-raptors-detroit-pistons-rVE2dvBH/
ATL,DET,129,107,usa/nba-2022-2023/atlanta-hawks-detroit-pistons-nTYFit66/
DET,MIA,100,112,usa/nba-2022-2023/detroit-pistons-miami-heat-n96Uuq7f/
DET,DEN,100,119,usa/nba-2022-2023/detroit-pistons-denver-nuggets-IimskSSA/
WSH,DET,117,97,usa/nba-2022-2023/washington-wizards-detroit-pistons-tYGmuian/
