date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
20-07-2024,CLE,IND,100,93,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/cleveland-cavaliers-indiana-pacers-tvKTEHn1/,130,-171
18-07-2024,DEN,IND,86,71,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/denver-nuggets-indiana-pacers-SWgEku1c/,175,-232
16-07-2024,PHX,IND,94,98,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/phoenix-suns-indiana-pacers-IqPHTxNt/,182,-245
14-07-2024,IND,MIN,94,105,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/indiana-pacers-minnesota-timberwolves-6R8lc5n2/,120,-158
12-07-2024,IND,BKN,95,97,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/indiana-pacers-brooklyn-nets-SxFhuXQG/,-171,130
27-05-2024,IND,BOS,102,105,0,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-boston-celtics-jwigCJQO/,227,-284
25-05-2024,IND,BOS,111,114,0,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-boston-celtics-IPhoEudC/,228,-281
23-05-2024,BOS,IND,126,110,1,NBA_2023/2024,usa/nba-2023-2024/boston-celtics-indiana-pacers-xGpwG1Ra/,-374,294
21-05-2024,BOS,IND,133,128,1,NBA_2023/2024,usa/nba-2023-2024/boston-celtics-indiana-pacers-UksVHNdm/,-417,322
19-05-2024,NY,IND,109,130,0,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-indiana-pacers-SfhZgKEt/,-147,124
17-05-2024,IND,NY,116,103,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-new-york-knicks-Igzo14wH/,-198,163
14-05-2024,NY,IND,121,91,1,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-indiana-pacers-6kRuDu1b/,-117,-100
12-05-2024,IND,NY,121,89,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-new-york-knicks-2RTpI9o1/,-231,188
10-05-2024,IND,NY,111,106,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-new-york-knicks-f1QxKVGl/,-289,230
08-05-2024,NY,IND,130,121,1,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-indiana-pacers-CtNDPigR/,-182,152
06-05-2024,NY,IND,121,117,1,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-indiana-pacers-vTO5RDOE/,-240,194
02-05-2024,IND,MIL,120,98,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-milwaukee-bucks-QL0flNVF/,-242,197
30-04-2024,MIL,IND,115,92,1,NBA_2023/2024,usa/nba-2023-2024/milwaukee-bucks-indiana-pacers-4dTtOD64/,163,-198
28-04-2024,IND,MIL,126,113,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-milwaukee-bucks-E3jSlZo2/,-445,341
26-04-2024,IND,MIL,121,118,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-milwaukee-bucks-IycJjeHk/,-263,213
23-04-2024,MIL,IND,108,125,0,NBA_2023/2024,usa/nba-2023-2024/milwaukee-bucks-indiana-pacers-M5BmdHgS/,-116,-102
21-04-2024,MIL,IND,109,94,1,NBA_2023/2024,usa/nba-2023-2024/milwaukee-bucks-indiana-pacers-MXqko0pe/,-101,-117
14-04-2024,IND,ATL,157,115,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-atlanta-hawks-6NUn9RKe/,-949,628
12-04-2024,CLE,IND,129,120,1,NBA_2023/2024,usa/nba-2023-2024/cleveland-cavaliers-indiana-pacers-pYZTFxxB/,-147,123
09-04-2024,TOR,IND,123,140,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-indiana-pacers-lv86jG9h/,627,-929
07-04-2024,IND,MIA,117,115,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-miami-heat-lnMhm5n1/,-145,122
05-04-2024,IND,OKC,126,112,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-oklahoma-city-thunder-hvZMdIJc/,-242,197
03-04-2024,BKN,IND,115,111,1,NBA_2023/2024,usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,214,-262
01-04-2024,IND,BKN,133,111,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-brooklyn-nets-GIiqG0LB/,-730,512
29-03-2024,IND,LAL,109,90,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-los-angeles-lakers-bsuzCfO8/,-156,131
27-03-2024,CHI,IND,125,99,1,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-indiana-pacers-tpg4byf9/,127,-150
25-03-2024,LAC,IND,116,133,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-clippers-indiana-pacers-6RvMobA3/,-245,200
24-03-2024,LAL,IND,150,145,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-indiana-pacers-Gdrt2bwm/,-135,116
22-03-2024,GSW,IND,111,123,0,NBA_2023/2024,usa/nba-2023-2024/golden-state-warriors-indiana-pacers-xjZrYJO6/,-190,158
20-03-2024,DET,IND,103,122,0,NBA_2023/2024,usa/nba-2023-2024/detroit-pistons-indiana-pacers-O4OAVQ28/,429,-586
18-03-2024,IND,CLE,103,108,0,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-cleveland-cavaliers-Sv08DhsN/,-253,204
16-03-2024,IND,BKN,121,100,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-brooklyn-nets-67QDzJqC/,-325,260
13-03-2024,IND,CHI,129,132,0,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-chicago-bulls-6NlrdsJI/,-205,170
12-03-2024,OKC,IND,111,121,0,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-indiana-pacers-4GqK1oks/,-216,177
10-03-2024,ORL,IND,97,111,0,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-indiana-pacers-bFv6fUsE/,-105,-110
07-03-2024,IND,MIN,111,113,0,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-minnesota-timberwolves-4KJYOxhT/,-116,-101
05-03-2024,DAL,IND,120,137,0,NBA_2023/2024,usa/nba-2023-2024/dallas-mavericks-indiana-pacers-jB6nDugH/,-221,179
03-03-2024,SA,IND,117,105,1,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-indiana-pacers-ll9d4pAn/,210,-263
01-03-2024,NO,IND,129,102,1,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-indiana-pacers-Q7701Nx8/,-204,168
28-02-2024,IND,NO,123,114,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-new-orleans-pelicans-YFVVaA13/,-174,145
26-02-2024,IND,TOR,122,130,0,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-toronto-raptors-tl7M3HDb/,-227,184
25-02-2024,IND,DAL,133,111,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-dallas-mavericks-IRXjUIBI/,111,-132
22-02-2024,IND,DET,129,115,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-detroit-pistons-rFMI8pqr/,-747,501
14-02-2024,TOR,IND,125,127,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-indiana-pacers-6VE96JTu/,121,-144
12-02-2024,CHA,IND,111,102,1,NBA_2023/2024,usa/nba-2023-2024/charlotte-hornets-indiana-pacers-A5KfmwH4/,364,-488
10-02-2024,NY,IND,111,125,0,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-indiana-pacers-l688ZNY0/,140,-165
08-02-2024,IND,GSW,109,131,0,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-golden-state-warriors-prTmWryT/,-226,182
06-02-2024,IND,HOU,132,129,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-houston-rockets-8xCgM774/,-333,262
04-02-2024,CHA,IND,99,115,0,NBA_2023/2024,usa/nba-2023-2024/charlotte-hornets-indiana-pacers-YaaHMG1m/,462,-667
02-02-2024,IND,SAC,122,133,0,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-sacramento-kings-d0gEhxm7/,143,-171
01-02-2024,NY,IND,109,105,1,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-indiana-pacers-A3LQ1tQK/,-126,107
30-01-2024,BOS,IND,129,124,1,NBA_2023/2024,usa/nba-2023-2024/boston-celtics-indiana-pacers-l0ZdTLJe/,-329,259
28-01-2024,IND,MEM,116,110,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-memphis-grizzlies-ryCLwFyn/,-294,234
26-01-2024,IND,PHX,133,131,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-phoenix-suns-KOiSPRe6/,159,-192
25-01-2024,IND,PHI,134,122,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-philadelphia-76ers-OdxlC8R6/,142,-169
