date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
20-07-2024,LAL,CHI,107,81,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/los-angeles-lakers-chicago-bulls-QkOH9sSI/,151,-199
18-07-2024,CLE,LAL,89,93,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/cleveland-cavaliers-los-angeles-lakers-dA6BRSE7/,-240,180
17-07-2024,ATL,LAL,86,87,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/atlanta-hawks-los-angeles-lakers-67l4XcoT/,-257,190
15-07-2024,LAL,BOS,74,88,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/los-angeles-lakers-boston-celtics-SKq89ZyP/,251,-358
12-07-2024,LAL,HOU,80,99,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/los-angeles-lakers-houston-rockets-WALqsgd4/,233,-327
10-07-2024,LAL,MIA,76,80,0,California_Classic,usa/california-classic/los-angeles-lakers-miami-heat-OfLyxuYO/,116,-152
07-07-2024,GSW,LAL,92,68,1,California_Classic,usa/california-classic/golden-state-warriors-los-angeles-lakers-8bVCsq4m/,-229,174
06-07-2024,SAC,LAL,108,94,1,California_Classic,usa/california-classic/sacramento-kings-los-angeles-lakers-8pjvTqkf/,159,-214
29-04-2024,DEN,LAL,108,106,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-los-angeles-lakers-nRBwQuio/,-245,198
27-04-2024,LAL,DEN,119,108,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-denver-nuggets-UVCmWrhd/,131,-156
25-04-2024,LAL,DEN,105,112,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-denver-nuggets-Y3JvY4Nq/,-120,102
22-04-2024,DEN,LAL,101,99,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-los-angeles-lakers-xYX8wRaM/,-284,228
20-04-2024,DEN,LAL,114,103,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-los-angeles-lakers-2RsPjU8c/,-263,211
16-04-2024,NO,LAL,106,110,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-los-angeles-lakers-lpVXLqHq/,-114,-104
14-04-2024,NO,LAL,108,124,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-los-angeles-lakers-U1ajTnCR/,-119,101
12-04-2024,MEM,LAL,120,123,0,NBA_2023/2024,usa/nba-2023-2024/memphis-grizzlies-los-angeles-lakers-jX11cULq/,818,-1368
09-04-2024,LAL,GSW,120,134,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-golden-state-warriors-W8YJl0wC/,111,-132
07-04-2024,LAL,MIN,117,127,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-minnesota-timberwolves-AHbP0OG0/,110,-130
06-04-2024,LAL,CLE,116,97,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-cleveland-cavaliers-E7249e33/,-205,169
03-04-2024,WSH,LAL,120,125,0,NBA_2023/2024,usa/nba-2023-2024/washington-wizards-los-angeles-lakers-COXhMyro/,561,-818
02-04-2024,TOR,LAL,111,128,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-los-angeles-lakers-UabnoLXC/,622,-922
31-03-2024,BKN,LAL,104,116,0,NBA_2023/2024,usa/nba-2023-2024/brooklyn-nets-los-angeles-lakers-KYn0G9Ff/,212,-262
29-03-2024,IND,LAL,109,90,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-los-angeles-lakers-bsuzCfO8/,-156,131
27-03-2024,MEM,LAL,124,136,0,NBA_2023/2024,usa/nba-2023-2024/memphis-grizzlies-los-angeles-lakers-fmc8ce9F/,147,-175
26-03-2024,MIL,LAL,124,128,0,NBA_2023/2024,usa/nba-2023-2024/milwaukee-bucks-los-angeles-lakers-2gYUqxuG/,-418,322
24-03-2024,LAL,IND,150,145,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-indiana-pacers-Gdrt2bwm/,-135,116
22-03-2024,LAL,PHI,101,94,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-philadelphia-76ers-A3XjWcgJ/,-316,251
18-03-2024,LAL,ATL,136,105,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-atlanta-hawks-nLQwTXtA/,-433,337
16-03-2024,LAL,GSW,121,128,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-golden-state-warriors-C8gzhKEn/,-122,104
13-03-2024,SAC,LAL,120,107,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-los-angeles-lakers-2142sU0R/,115,-136
10-03-2024,LAL,MIN,120,109,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-minnesota-timberwolves-jDJpmnzl/,-208,173
08-03-2024,LAL,MIL,123,122,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-milwaukee-bucks-dWZsXZqj/,155,-189
06-03-2024,LAL,SAC,120,130,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-sacramento-kings-r5VPQbNG/,-148,126
04-03-2024,LAL,OKC,116,104,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-oklahoma-city-thunder-4p3Pc0gU/,-105,-112
02-03-2024,LAL,DEN,114,124,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-denver-nuggets-EXBP1ill/,-102,-115
29-02-2024,LAL,WSH,134,131,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-washington-wizards-QqPDARFL/,-550,396
28-02-2024,LAC,LAL,112,116,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-clippers-los-angeles-lakers-QVqudS0S/,-120,102
25-02-2024,PHX,LAL,123,113,1,NBA_2023/2024,usa/nba-2023-2024/phoenix-suns-los-angeles-lakers-O4YnVbdC/,-159,134
23-02-2024,LAL,SA,123,118,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-san-antonio-spurs-rkwSZMss/,-556,401
22-02-2024,GSW,LAL,128,110,1,NBA_2023/2024,usa/nba-2023-2024/golden-state-warriors-los-angeles-lakers-KAETQq5Q/,-228,182
14-02-2024,UTAH,LAL,122,138,0,NBA_2023/2024,usa/nba-2023-2024/utah-jazz-los-angeles-lakers-OAgdiqE7/,-193,160
13-02-2024,LAL,DET,125,111,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-detroit-pistons-zo58hYhp/,-632,445
09-02-2024,LAL,NO,139,122,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-new-orleans-pelicans-Umn5xKc2/,118,-140
08-02-2024,LAL,DEN,106,114,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-denver-nuggets-Wh4IoOzG/,128,-152
05-02-2024,CHA,LAL,118,124,0,NBA_2023/2024,usa/nba-2023-2024/charlotte-hornets-los-angeles-lakers-p4twIhGI/,563,-857
03-02-2024,NY,LAL,105,113,0,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-los-angeles-lakers-UDDi6eH6/,-132,112
01-02-2024,BOS,LAL,105,114,0,NBA_2023/2024,usa/nba-2023-2024/boston-celtics-los-angeles-lakers-tUGM2MAE/,-1395,820
30-01-2024,ATL,LAL,138,122,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-los-angeles-lakers-6yphU14k/,-221,180
29-01-2024,HOU,LAL,135,119,1,NBA_2023/2024,usa/nba-2023-2024/houston-rockets-los-angeles-lakers-KMMaiY5o/,-100,-117
27-01-2024,GSW,LAL,144,145,0,NBA_2023/2024,usa/nba-2023-2024/golden-state-warriors-los-angeles-lakers-SOyCJBjU/,-122,103
25-01-2024,LAL,CHI,141,132,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-chicago-bulls-UZbFSTBm/,-231,188
23-01-2024,LAC,LAL,127,116,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-clippers-los-angeles-lakers-UHR9Byyd/,-406,317
21-01-2024,LAL,POR,134,110,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-portland-trail-blazers-OGMe4KTS/,-585,422
19-01-2024,LAL,BKN,112,130,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-brooklyn-nets-xQT9fq04/,-286,231
17-01-2024,LAL,DAL,127,110,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-dallas-mavericks-zXHFp8Wu/,-152,127
15-01-2024,LAL,OKC,112,105,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-oklahoma-city-thunder-EPoQPXfD/,119,-141
13-01-2024,UTAH,LAL,132,125,1,NBA_2023/2024,usa/nba-2023-2024/utah-jazz-los-angeles-lakers-OKC7LI3R/,-140,119
11-01-2024,LAL,PHX,109,127,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-phoenix-suns-dCDL5inp/,-101,-115
