date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
20-07-2024,DEN,NO,91,82,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/denver-nuggets-new-orleans-pelicans-zqYG5YQp/,124,-160,135,-149
18-07-2024,NO,MEM,77,88,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/new-orleans-pelicans-memphis-grizzlies-zccMmJV9/,309,-451,337,-400
16-07-2024,SA,NO,90,85,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/san-antonio-spurs-new-orleans-pelicans-OOWDMtXA/,155,-204,165,-185
14-07-2024,NO,ORL,86,91,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/new-orleans-pelicans-orlando-magic-fmkqJn9L/,220,-302,231,-278
12-07-2024,MIN,NO,81,74,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/minnesota-timberwolves-new-orleans-pelicans-rkukLBZp/,-221,165,-208,175
29-04-2024,NO,OKC,89,97,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-oklahoma-city-thunder-QaNULxDa/,157,-188,170,-182
27-04-2024,NO,OKC,85,106,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-oklahoma-city-thunder-hnPMNbrm/,104,-122,110,-116
24-04-2024,OKC,NO,124,92,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-new-orleans-pelicans-lKTjTKKP/,-293,233,-278,250
21-04-2024,OKC,NO,94,92,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-new-orleans-pelicans-MDy55HSI/,-394,302,-370,321
19-04-2024,NO,SAC,105,98,1,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-sacramento-kings-nktbZsdD/,-121,102,-115,110
16-04-2024,NO,LAL,106,110,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-los-angeles-lakers-lpVXLqHq/,-114,-104,-109,104
14-04-2024,NO,LAL,108,124,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-los-angeles-lakers-U1ajTnCR/,-119,101,-111,106
12-04-2024,GSW,NO,109,114,0,NBA_2023/2024,usa/nba-2023-2024/golden-state-warriors-new-orleans-pelicans-MHX0IVc9/,-183,152,-175,166
11-04-2024,SAC,NO,123,135,0,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-new-orleans-pelicans-hILKJKxn/,-121,103,-116,110
09-04-2024,POR,NO,100,110,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-new-orleans-pelicans-SzSSnv8O/,644,-970,725,-833
07-04-2024,PHX,NO,105,113,0,NBA_2023/2024,usa/nba-2023-2024/phoenix-suns-new-orleans-pelicans-zeUu9n9K/,-220,179,-204,190
05-04-2024,NO,SA,109,111,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-san-antonio-spurs-t47AmEtp/,-663,469,-588,554
03-04-2024,NO,ORL,108,117,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-orlando-magic-Gh8hswKA/,-195,161,-185,170
01-04-2024,NO,PHX,111,124,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-phoenix-suns-jypdDb5U/,-120,101,-114,104
30-03-2024,NO,BOS,92,104,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-boston-celtics-lpDLNiNK/,190,-231,204,-217
28-03-2024,NO,MIL,107,100,1,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-milwaukee-bucks-Io2mliW1/,111,-133,121,-123
26-03-2024,NO,OKC,112,119,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-oklahoma-city-thunder-tpXYrdfM/,-101,-116,108,-110
24-03-2024,DET,NO,101,114,0,NBA_2023/2024,usa/nba-2023-2024/detroit-pistons-new-orleans-pelicans-lAKIpc8C/,685,-1016,947,-769
22-03-2024,MIA,NO,88,111,0,NBA_2023/2024,usa/nba-2023-2024/miami-heat-new-orleans-pelicans-2XtWzMvl/,-142,121,-133,127
21-03-2024,ORL,NO,121,106,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-new-orleans-pelicans-2J1cMMPf/,116,-137,125,-133
19-03-2024,BKN,NO,91,104,0,NBA_2023/2024,usa/nba-2023-2024/brooklyn-nets-new-orleans-pelicans-zqrG9qtk/,217,-268,235,-250
16-03-2024,NO,POR,126,107,1,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-portland-trail-blazers-vLOLYdEO/,-859,582,-667,650
15-03-2024,NO,LAC,112,104,1,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-los-angeles-clippers-IXEcv1pm/,-257,210,-238,220
13-03-2024,NO,CLE,95,116,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-cleveland-cavaliers-OvJdF4Jt/,-222,182,-208,198
10-03-2024,ATL,NO,103,116,0,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-new-orleans-pelicans-lpcFX6z1/,202,-248,215,-233
08-03-2024,PHI,NO,95,103,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-new-orleans-pelicans-OOnetvN3/,256,-321,270,-294
05-03-2024,TOR,NO,98,139,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-new-orleans-pelicans-80bw0ZCN/,344,-453,379,-400
01-03-2024,NO,IND,129,102,1,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-indiana-pacers-Q7701Nx8/,-204,168,-192,175
28-02-2024,IND,NO,123,114,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-new-orleans-pelicans-YFVVaA13/,-174,145,-161,159
27-02-2024,NY,NO,92,115,0,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-new-orleans-pelicans-Q984qkHM/,203,-252,212,-238
25-02-2024,NO,CHI,106,114,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-chicago-bulls-U519n0Rn/,-203,165,-196,175
23-02-2024,NO,MIA,95,106,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-miami-heat-A18DGasJ/,-132,112,-128,118
22-02-2024,NO,HOU,127,105,1,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-houston-rockets-CfEZ42r7/,-267,211,-244,221
14-02-2024,NO,WSH,133,126,1,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-washington-wizards-fV1ueREr/,-1101,698,-833,833
12-02-2024,MEM,NO,87,96,0,NBA_2023/2024,usa/nba-2023-2024/memphis-grizzlies-new-orleans-pelicans-voCBqeGT/,335,-443,365,-370
10-02-2024,POR,NO,84,93,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-new-orleans-pelicans-MJ6GX13D/,269,-342,285,-312
09-02-2024,LAL,NO,139,122,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-new-orleans-pelicans-Umn5xKc2/,118,-140,129,-132
07-02-2024,LAC,NO,106,117,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-clippers-new-orleans-pelicans-CUUuY46G/,-211,173,-196,190
05-02-2024,NO,TOR,138,100,1,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-toronto-raptors-615W2WJk/,-533,390,-455,420
02-02-2024,SA,NO,113,114,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-new-orleans-pelicans-pMZ8EJ9Q/,279,-356,312,-323
31-01-2024,HOU,NO,99,110,0,NBA_2023/2024,usa/nba-2023-2024/houston-rockets-new-orleans-pelicans-EHyOsLYl/,-115,-103,-108,108
29-01-2024,BOS,NO,118,112,1,NBA_2023/2024,usa/nba-2023-2024/boston-celtics-new-orleans-pelicans-8rcoYA5N/,-323,254,-303,270
27-01-2024,MIL,NO,141,117,1,NBA_2023/2024,usa/nba-2023-2024/milwaukee-bucks-new-orleans-pelicans-nFT3LXLH/,-160,134,-154,143
26-01-2024,NO,OKC,83,107,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-oklahoma-city-thunder-6ufvNPuP/,103,-121,108,-116
23-01-2024,NO,UTAH,153,124,1,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-utah-jazz-d4T1Dc6q/,-263,214,-238,227
19-01-2024,NO,PHX,109,123,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-phoenix-suns-27yccoGo/,-135,114,-132,123
17-01-2024,NO,CHA,132,112,1,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-charlotte-hornets-MkB3wiPC/,-696,492,-667,530
