team_1,team_2,score_1,score_2,game_url
NY,WSH,117,94,usa/nba/new-york-knicks-washington-wizards-bLJpPrqD/
CHA,NY,109,111,usa/nba/charlotte-hornets-new-york-knicks-4IGK1lok/
ATL,NY,82,90,usa/nba-las-vegas-summer-league/atlanta-hawks-new-york-knicks-McR0DPSg/
DET,NY,90,91,usa/nba-las-vegas-summer-league/detroit-pistons-new-york-knicks-vg8u29jK/
NY,SAC,106,105,usa/nba-las-vegas-summer-league/new-york-knicks-sacramento-kings-GMBhFbPp/
BKN,NY,92,85,usa/nba-las-vegas-summer-league/brooklyn-nets-new-york-knicks-bgXPRGig/
NY,CHA,90,94,usa/nba-las-vegas-summer-league/new-york-knicks-charlotte-hornets-WWdKgWuA/
NY,IND,109,130,usa/nba-2023-2024/new-york-knicks-indiana-pacers-SfhZgKEt/
IND,NY,116,103,usa/nba-2023-2024/indiana-pacers-new-york-knicks-Igzo14wH/
NY,IND,121,91,usa/nba-2023-2024/new-york-knicks-indiana-pacers-6kRuDu1b/
IND,NY,121,89,usa/nba-2023-2024/indiana-pacers-new-york-knicks-2RTpI9o1/
IND,NY,111,106,usa/nba-2023-2024/indiana-pacers-new-york-knicks-f1QxKVGl/
NY,IND,130,121,usa/nba-2023-2024/new-york-knicks-indiana-pacers-CtNDPigR/
NY,IND,121,117,usa/nba-2023-2024/new-york-knicks-indiana-pacers-vTO5RDOE/
PHI,NY,115,118,usa/nba-2023-2024/philadelphia-76ers-new-york-knicks-Ua0r3Puo/
NY,PHI,106,112,usa/nba-2023-2024/new-york-knicks-philadelphia-76ers-UoyqUcEl/
PHI,NY,92,97,usa/nba-2023-2024/philadelphia-76ers-new-york-knicks-CK78vhSP/
PHI,NY,125,114,usa/nba-2023-2024/philadelphia-76ers-new-york-knicks-KQKMGlzJ/
NY,PHI,104,101,usa/nba-2023-2024/new-york-knicks-philadelphia-76ers-ObRDIA56/
NY,PHI,111,104,usa/nba-2023-2024/new-york-knicks-philadelphia-76ers-QNFGHB8a/
NY,CHI,120,119,usa/nba-2023-2024/new-york-knicks-chicago-bulls-KQYj8oz2/
NY,BKN,111,107,usa/nba-2023-2024/new-york-knicks-brooklyn-nets-veZXEdiH/
BOS,NY,109,118,usa/nba-2023-2024/boston-celtics-new-york-knicks-z1i60cxO/
CHI,NY,117,128,usa/nba-2023-2024/chicago-bulls-new-york-knicks-6qtYc4GP/
MIL,NY,109,122,usa/nba-2023-2024/milwaukee-bucks-new-york-knicks-IJJp86OQ/
CHI,NY,108,100,usa/nba-2023-2024/chicago-bulls-new-york-knicks-rTRZgG3G/
NY,SAC,120,109,usa/nba-2023-2024/new-york-knicks-sacramento-kings-29A4vy4T/
MIA,NY,109,99,usa/nba-2023-2024/miami-heat-new-york-knicks-Y9j2WL5h/
NY,OKC,112,113,usa/nba-2023-2024/new-york-knicks-oklahoma-city-thunder-6kkCD7aD/
SA,NY,130,126,usa/nba-2023-2024/san-antonio-spurs-new-york-knicks-0OWQ1A01/
TOR,NY,101,145,usa/nba-2023-2024/toronto-raptors-new-york-knicks-8pAwms30/
NY,DET,124,99,usa/nba-2023-2024/new-york-knicks-detroit-pistons-2DphadN5/
NY,BKN,105,93,usa/nba-2023-2024/new-york-knicks-brooklyn-nets-AewSfsWJ/
DEN,NY,113,100,usa/nba-2023-2024/denver-nuggets-new-york-knicks-lQ0esO1K/
GSW,NY,112,119,usa/nba-2023-2024/golden-state-warriors-new-york-knicks-hMXUUgCc/
SAC,NY,91,98,usa/nba-2023-2024/sacramento-kings-new-york-knicks-8zmqjbqa/
POR,NY,93,105,usa/nba-2023-2024/portland-trail-blazers-new-york-knicks-ptbLcko8/
NY,PHI,106,79,usa/nba-2023-2024/new-york-knicks-philadelphia-76ers-pW2m77RJ/
NY,PHI,73,79,usa/nba-2023-2024/new-york-knicks-philadelphia-76ers-dA0NVp5D/
NY,ORL,98,74,usa/nba-2023-2024/new-york-knicks-orlando-magic-bsu8wx7M/
NY,ATL,100,116,usa/nba-2023-2024/new-york-knicks-atlanta-hawks-ro3vF1O4/
CLE,NY,98,107,usa/nba-2023-2024/cleveland-cavaliers-new-york-knicks-6PJi5Qft/
NY,GSW,99,110,usa/nba-2023-2024/new-york-knicks-golden-state-warriors-ITOJlpg2/
NY,NO,92,115,usa/nba-2023-2024/new-york-knicks-new-orleans-pelicans-Q984qkHM/
NY,DET,113,111,usa/nba-2023-2024/new-york-knicks-detroit-pistons-xj7TsxtI/
NY,BOS,102,116,usa/nba-2023-2024/new-york-knicks-boston-celtics-U5uvXKRa/
PHI,NY,96,110,usa/nba-2023-2024/philadelphia-76ers-new-york-knicks-M5LM74bl/
ORL,NY,118,100,usa/nba-2023-2024/orlando-magic-new-york-knicks-GtreGyoi/
HOU,NY,105,103,usa/nba-2023-2024/houston-rockets-new-york-knicks-dMM6py1N/
NY,IND,111,125,usa/nba-2023-2024/new-york-knicks-indiana-pacers-l688ZNY0/
NY,DAL,108,122,usa/nba-2023-2024/new-york-knicks-dallas-mavericks-rJ8OPtEd/
NY,MEM,123,113,usa/nba-2023-2024/new-york-knicks-memphis-grizzlies-bR46J5iN/
NY,LAL,105,113,usa/nba-2023-2024/new-york-knicks-los-angeles-lakers-UDDi6eH6/
NY,IND,109,105,usa/nba-2023-2024/new-york-knicks-indiana-pacers-A3LQ1tQK/
NY,UTAH,118,103,usa/nba-2023-2024/new-york-knicks-utah-jazz-SjY0SuZ1/
CHA,NY,92,113,usa/nba-2023-2024/charlotte-hornets-new-york-knicks-nT8xzXzB/
NY,MIA,125,109,usa/nba-2023-2024/new-york-knicks-miami-heat-4WXrQe7n/
NY,DEN,122,84,usa/nba-2023-2024/new-york-knicks-denver-nuggets-p2NrYklQ/
BKN,NY,103,108,usa/nba-2023-2024/brooklyn-nets-new-york-knicks-GAoZHwbS/
NY,TOR,126,100,usa/nba-2023-2024/new-york-knicks-toronto-raptors-voYvDGsc/
NY,WSH,113,109,usa/nba-2023-2024/new-york-knicks-washington-wizards-8pGNrn1h/
NY,HOU,109,94,usa/nba-2023-2024/new-york-knicks-houston-rockets-SSBavX96/
NY,ORL,94,98,usa/nba-2023-2024/new-york-knicks-orlando-magic-xOxszIIK/
MEM,NY,94,106,usa/nba-2023-2024/memphis-grizzlies-new-york-knicks-SYW80HR1/
DAL,NY,128,124,usa/nba-2023-2024/dallas-mavericks-new-york-knicks-KnjhNJHH/
NY,POR,112,84,usa/nba-2023-2024/new-york-knicks-portland-trail-blazers-zPilzWLI/
WSH,NY,105,121,usa/nba-2023-2024/washington-wizards-new-york-knicks-WbeZMLo2/
PHI,NY,92,128,usa/nba-2023-2024/philadelphia-76ers-new-york-knicks-dtsiAr2d/
NY,CHI,116,100,usa/nba-2023-2024/new-york-knicks-chicago-bulls-IDOV4mQG/
NY,MIN,112,106,usa/nba-2023-2024/new-york-knicks-minnesota-timberwolves-vkQTlyzJ/
IND,NY,140,126,usa/nba-2023-2024/indiana-pacers-new-york-knicks-OCGoxbjD/
ORL,NY,117,108,usa/nba-2023-2024/orlando-magic-new-york-knicks-2qm4PK67/
OKC,NY,129,120,usa/nba-2023-2024/oklahoma-city-thunder-new-york-knicks-EqAWSYe2/
NY,MIL,129,122,usa/nba-2023-2024/new-york-knicks-milwaukee-bucks-ChwdwSDh/
NY,MIL,111,130,usa/nba-2023-2024/new-york-knicks-milwaukee-bucks-KtJrWA6P/
BKN,NY,102,121,usa/nba-2023-2024/brooklyn-nets-new-york-knicks-K2WXHKoF/
LAL,NY,109,114,usa/nba-2023-2024/los-angeles-lakers-new-york-knicks-d66f41HF/
LAC,NY,144,122,usa/nba-2023-2024/los-angeles-clippers-new-york-knicks-0IakxqYM/
PHX,NY,122,139,usa/nba-2023-2024/phoenix-suns-new-york-knicks-hvH8P5lH/
UTAH,NY,117,113,usa/nba-2023-2024/utah-jazz-new-york-knicks-CGipXdjQ/
NY,TOR,136,130,usa/nba-2023-2024/new-york-knicks-toronto-raptors-rgTwiLHu/
BOS,NY,133,123,usa/nba-2023-2024/boston-celtics-new-york-knicks-EybI5lZp/
MIL,NY,146,122,usa/nba-2023-2024/milwaukee-bucks-new-york-knicks-CvSokk57/
TOR,NY,106,119,usa/nba-2023-2024/toronto-raptors-new-york-knicks-jLiEUWxk/
NY,DET,118,112,usa/nba-2023-2024/new-york-knicks-detroit-pistons-6oZUT5NC/
NY,CHA,115,91,usa/nba-2023-2024/new-york-knicks-charlotte-hornets-AsE0sCl6/
NY,PHX,113,116,usa/nba-2023-2024/new-york-knicks-phoenix-suns-OrcFGemd/
NY,MIA,100,98,usa/nba-2023-2024/new-york-knicks-miami-heat-KhLmpE4m/
MIN,NY,117,100,usa/nba-2023-2024/minnesota-timberwolves-new-york-knicks-UwuAFfo5/
CHA,NY,108,122,usa/nba-2023-2024/charlotte-hornets-new-york-knicks-Mux40Ou1/
WSH,NY,99,120,usa/nba-2023-2024/washington-wizards-new-york-knicks-6kHqofks/
ATL,NY,114,116,usa/nba-2023-2024/atlanta-hawks-new-york-knicks-SIGUoPQ7/
