date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
20-07-2024,DAL,OKC,79,88,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/dallas-mavericks-oklahoma-city-thunder-04ESROsm/,-158,122
19-07-2024,OKC,GSW,83,90,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/oklahoma-city-thunder-golden-state-warriors-WjmKfRrf/,215,-291
17-07-2024,OKC,PHX,99,100,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/oklahoma-city-thunder-phoenix-suns-AueeZJGG/,131,-170
15-07-2024,MIA,OKC,102,73,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/miami-heat-oklahoma-city-thunder-hrXV9rW7/,-335,239
13-07-2024,TOR,OKC,94,69,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/toronto-raptors-oklahoma-city-thunder-pEgziqrJ/,-178,135
10-07-2024,OKC,MEM,80,77,1,NBA_Salt_Lake_City_Summer_League,usa/nba-salt-lake-city-summer-league/oklahoma-city-thunder-memphis-grizzlies-Y33E8XP0/,198,-270
09-07-2024,UTAH,OKC,75,98,0,NBA_Salt_Lake_City_Summer_League,usa/nba-salt-lake-city-summer-league/utah-jazz-oklahoma-city-thunder-Qw06Agel/,-206,155
08-07-2024,PHI,OKC,102,92,1,NBA_Salt_Lake_City_Summer_League,usa/nba-salt-lake-city-summer-league/philadelphia-76ers-oklahoma-city-thunder-YkOufYA7/,-216,163
18-05-2024,DAL,OKC,117,116,1,NBA_2023/2024,usa/nba-2023-2024/dallas-mavericks-oklahoma-city-thunder-OQXlFms1/,-173,145
15-05-2024,OKC,DAL,92,104,0,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-dallas-mavericks-jcsNECMt/,-188,157
13-05-2024,DAL,OKC,96,100,0,NBA_2023/2024,usa/nba-2023-2024/dallas-mavericks-oklahoma-city-thunder-Io2yKiA5/,-118,101
11-05-2024,DAL,OKC,105,101,1,NBA_2023/2024,usa/nba-2023-2024/dallas-mavericks-oklahoma-city-thunder-MJ8SLDug/,-121,102
09-05-2024,OKC,DAL,110,119,0,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-dallas-mavericks-l6AKNZAt/,-202,166
07-05-2024,OKC,DAL,117,95,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-dallas-mavericks-AuuA3WPO/,-180,150
29-04-2024,NO,OKC,89,97,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-oklahoma-city-thunder-QaNULxDa/,157,-188
27-04-2024,NO,OKC,85,106,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-oklahoma-city-thunder-hnPMNbrm/,104,-122
24-04-2024,OKC,NO,124,92,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-new-orleans-pelicans-lKTjTKKP/,-293,233
21-04-2024,OKC,NO,94,92,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-new-orleans-pelicans-MDy55HSI/,-394,302
14-04-2024,OKC,DAL,135,86,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-dallas-mavericks-6NjIO6Kr/,-2097,1053
12-04-2024,OKC,MIL,125,107,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-milwaukee-bucks-CnjAe8jd/,-922,610
10-04-2024,OKC,SA,127,89,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-san-antonio-spurs-Yyek4uwa/,-1688,945
09-04-2024,OKC,SAC,112,105,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-sacramento-kings-bsLCjM8a/,-205,169
07-04-2024,CHA,OKC,118,121,0,NBA_2023/2024,usa/nba-2023-2024/charlotte-hornets-oklahoma-city-thunder-8lxfoqHD/,246,-307
05-04-2024,IND,OKC,126,112,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-oklahoma-city-thunder-hvZMdIJc/,-242,197
03-04-2024,BOS,OKC,135,100,1,NBA_2023/2024,usa/nba-2023-2024/boston-celtics-oklahoma-city-thunder-Q3Fupuzh/,-714,498
02-04-2024,PHI,OKC,109,105,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-oklahoma-city-thunder-SdL1Ysyt/,-145,123
31-03-2024,NY,OKC,112,113,0,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-oklahoma-city-thunder-6kkCD7aD/,101,-119
29-03-2024,OKC,PHX,128,103,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-phoenix-suns-rmxM2joe/,107,-127
27-03-2024,OKC,HOU,126,132,0,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-houston-rockets-S0eGeZwS/,-195,161
26-03-2024,NO,OKC,112,119,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-oklahoma-city-thunder-tpXYrdfM/,-101,-116
24-03-2024,MIL,OKC,118,93,1,NBA_2023/2024,usa/nba-2023-2024/milwaukee-bucks-oklahoma-city-thunder-dC197KFP/,-140,117
22-03-2024,TOR,OKC,103,123,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-oklahoma-city-thunder-IeHQkqJs/,866,-1512
20-03-2024,OKC,UTAH,119,107,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-utah-jazz-ALMIT4XK/,-1313,784
16-03-2024,MEM,OKC,112,118,0,NBA_2023/2024,usa/nba-2023-2024/memphis-grizzlies-oklahoma-city-thunder-IofWh0at/,390,-513
14-03-2024,OKC,DAL,126,119,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-dallas-mavericks-WxAwZ587/,-459,347
12-03-2024,OKC,IND,111,121,0,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-indiana-pacers-4GqK1oks/,-216,177
10-03-2024,OKC,MEM,124,93,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-memphis-grizzlies-8lUulSKs/,-1196,748
08-03-2024,OKC,MIA,107,100,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-miami-heat-E7pwYFUq/,-381,294
06-03-2024,POR,OKC,120,128,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-oklahoma-city-thunder-U1RLRv8A/,584,-859
04-03-2024,LAL,OKC,116,104,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-oklahoma-city-thunder-4p3Pc0gU/,-105,-112
03-03-2024,PHX,OKC,110,118,0,NBA_2023/2024,usa/nba-2023-2024/phoenix-suns-oklahoma-city-thunder-Sv8034Ph/,155,-187
29-02-2024,SA,OKC,132,118,1,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-oklahoma-city-thunder-6qI1DTV2/,405,-553
27-02-2024,OKC,HOU,112,95,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-houston-rockets-I7mqx79d/,-468,352
25-02-2024,HOU,OKC,110,123,0,NBA_2023/2024,usa/nba-2023-2024/houston-rockets-oklahoma-city-thunder-zq25mtCt/,199,-249
23-02-2024,OKC,WSH,147,106,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-washington-wizards-WA99HuSC/,-1594,897
22-02-2024,OKC,LAC,129,107,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-los-angeles-clippers-AuXx4McD/,-122,101
13-02-2024,ORL,OKC,113,127,0,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-oklahoma-city-thunder-8zLTaG0A/,120,-143
11-02-2024,OKC,SAC,127,113,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-sacramento-kings-nDQfe5eK/,-150,127
10-02-2024,DAL,OKC,146,111,1,NBA_2023/2024,usa/nba-2023-2024/dallas-mavericks-oklahoma-city-thunder-l6WGq8d8/,101,-120
06-02-2024,UTAH,OKC,124,117,1,NBA_2023/2024,usa/nba-2023-2024/utah-jazz-oklahoma-city-thunder-U9exEqFp/,129,-153
04-02-2024,OKC,TOR,135,127,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-toronto-raptors-SA6S3C4q/,-364,281
02-02-2024,OKC,CHA,126,106,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-charlotte-hornets-2cp4FafK/,-1412,789
31-01-2024,OKC,DEN,105,100,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-denver-nuggets-0YwzuJI7/,-223,180
29-01-2024,OKC,MIN,101,107,0,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-minnesota-timberwolves-SnQ7kCzb/,-143,120
28-01-2024,DET,OKC,120,104,1,NBA_2023/2024,usa/nba-2023-2024/detroit-pistons-oklahoma-city-thunder-0C6QxZjh/,568,-833
26-01-2024,NO,OKC,83,107,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-oklahoma-city-thunder-6ufvNPuP/,103,-121
24-01-2024,SA,OKC,114,140,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-oklahoma-city-thunder-IiN3XIcF/,295,-378
23-01-2024,OKC,POR,111,109,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-portland-trail-blazers-zeS5CHLk/,-859,584
20-01-2024,MIN,OKC,97,102,0,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-oklahoma-city-thunder-Oz5vAOai/,-148,124
18-01-2024,UTAH,OKC,129,134,0,NBA_2023/2024,usa/nba-2023-2024/utah-jazz-oklahoma-city-thunder-MmKRs6Gb/,128,-151
16-01-2024,LAC,OKC,128,117,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-clippers-oklahoma-city-thunder-OfTGne2Q/,-241,198
15-01-2024,LAL,OKC,112,105,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-oklahoma-city-thunder-EPoQPXfD/,119,-141
13-01-2024,OKC,ORL,112,100,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-orlando-magic-YVJfOKJ8/,-635,454
11-01-2024,OKC,POR,139,77,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-portland-trail-blazers-xO0mOa2B/,-937,640
10-01-2024,MIA,OKC,120,128,0,NBA_2023/2024,usa/nba-2023-2024/miami-heat-oklahoma-city-thunder-CAIIkBL5/,151,-181
08-01-2024,WSH,OKC,128,136,0,NBA_2023/2024,usa/nba-2023-2024/washington-wizards-oklahoma-city-thunder-QZiPuzhs/,441,-600
05-01-2024,BKN,OKC,124,115,1,NBA_2023/2024,usa/nba-2023-2024/brooklyn-nets-oklahoma-city-thunder-OETqC4Xq/,160,-190
03-01-2024,ATL,OKC,141,138,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-oklahoma-city-thunder-vNPR5TAA/,-112,-104
02-01-2024,OKC,BOS,127,123,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-boston-celtics-AkSZpSYp/,146,-173
31-12-2023,OKC,BKN,124,108,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-brooklyn-nets-A9YChJzf/,-292,239
29-12-2023,DEN,OKC,93,119,0,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-oklahoma-city-thunder-tUKQtMyr/,-126,108
27-12-2023,OKC,NY,129,120,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-new-york-knicks-EqAWSYe2/,-160,136
26-12-2023,OKC,MIN,129,106,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-minnesota-timberwolves-2shvj5cb/,-124,107
23-12-2023,OKC,LAL,120,129,0,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-los-angeles-lakers-0E9wLpbO/,-161,137
21-12-2023,OKC,LAC,134,115,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-los-angeles-clippers-v5OvEBps/,-232,190
18-12-2023,OKC,MEM,116,97,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-memphis-grizzlies-ADQarKfd/,-492,376
16-12-2023,DEN,OKC,117,118,0,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-oklahoma-city-thunder-AT6xuol4/,-211,176
14-12-2023,SAC,OKC,128,123,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-oklahoma-city-thunder-bDPXNhDC/,-131,113
11-12-2023,OKC,UTAH,134,120,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-utah-jazz-6LTDF93e/,-789,562
08-12-2023,OKC,GSW,138,136,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-golden-state-warriors-vL2u57no/,-153,131
06-12-2023,HOU,OKC,110,101,1,NBA_2023/2024,usa/nba-2023-2024/houston-rockets-oklahoma-city-thunder-MuAulFBg/,108,-126
