team_1,team_2,score_1,score_2,game_url
SA,ORL,107,97,usa/nba/san-antonio-spurs-orlando-magic-GdlVWf2J/
NO,ORL,106,104,usa/nba/new-orleans-pelicans-orlando-magic-040NL9xL/
MIN,ORL,115,100,usa/nba-las-vegas-summer-league/minnesota-timberwolves-orlando-magic-pCQKGwIl/
BKN,ORL,102,100,usa/nba-las-vegas-summer-league/brooklyn-nets-orlando-magic-2BD2Tlpe/
ORL,MEM,98,104,usa/nba-las-vegas-summer-league/orlando-magic-memphis-grizzlies-2Fimytn4/
NO,ORL,86,91,usa/nba-las-vegas-summer-league/new-orleans-pelicans-orlando-magic-fmkqJn9L/
ORL,CLE,106,79,usa/nba-las-vegas-summer-league/orlando-magic-cleveland-cavaliers-h8bIwKkC/
CLE,ORL,106,94,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-EihMmTT9/
ORL,CLE,103,96,usa/nba-2023-2024/orlando-magic-cleveland-cavaliers-6sXxmCP8/
CLE,ORL,104,103,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-AN71LTVG/
ORL,CLE,112,89,usa/nba-2023-2024/orlando-magic-cleveland-cavaliers-Y9fdUhnS/
ORL,CLE,121,83,usa/nba-2023-2024/orlando-magic-cleveland-cavaliers-vB1mWEHF/
CLE,ORL,96,86,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-WpbuYzm3/
CLE,ORL,97,83,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-p6Vq7s7E/
ORL,MIL,113,88,usa/nba-2023-2024/orlando-magic-milwaukee-bucks-MVCZWUC2/
PHI,ORL,125,113,usa/nba-2023-2024/philadelphia-76ers-orlando-magic-nuLOIvhh/
MIL,ORL,117,99,usa/nba-2023-2024/milwaukee-bucks-orlando-magic-vFeo5LNh/
HOU,ORL,118,106,usa/nba-2023-2024/houston-rockets-orlando-magic-OOSagOOt/
ORL,CHI,113,98,usa/nba-2023-2024/orlando-magic-chicago-bulls-MiQyASgE/
CHA,ORL,124,115,usa/nba-2023-2024/charlotte-hornets-orlando-magic-EmzJcb4i/
NO,ORL,108,117,usa/nba-2023-2024/new-orleans-pelicans-orlando-magic-Gh8hswKA/
ORL,POR,104,103,usa/nba-2023-2024/orlando-magic-portland-trail-blazers-f9jmFKzI/
ORL,MEM,118,88,usa/nba-2023-2024/orlando-magic-memphis-grizzlies-SzCPMBxR/
ORL,LAC,97,100,usa/nba-2023-2024/orlando-magic-los-angeles-clippers-SGqvBEwF/
ORL,GSW,93,101,usa/nba-2023-2024/orlando-magic-golden-state-warriors-hOC9xfXk/
ORL,SAC,107,109,usa/nba-2023-2024/orlando-magic-sacramento-kings-lnxWg1oQ/
ORL,NO,121,106,usa/nba-2023-2024/orlando-magic-new-orleans-pelicans-2J1cMMPf/
ORL,CHA,112,92,usa/nba-2023-2024/orlando-magic-charlotte-hornets-trQsSidG/
ORL,TOR,111,96,usa/nba-2023-2024/orlando-magic-toronto-raptors-S4V3Gfc4/
TOR,ORL,103,113,usa/nba-2023-2024/toronto-raptors-orlando-magic-lEWaHzrb/
ORL,BKN,114,106,usa/nba-2023-2024/orlando-magic-brooklyn-nets-C0kvcN3C/
ORL,IND,97,111,usa/nba-2023-2024/orlando-magic-indiana-pacers-bFv6fUsE/
NY,ORL,98,74,usa/nba-2023-2024/new-york-knicks-orlando-magic-bsu8wx7M/
WSH,ORL,109,119,usa/nba-2023-2024/washington-wizards-orlando-magic-CQfeBJNT/
CHA,ORL,89,101,usa/nba-2023-2024/charlotte-hornets-orlando-magic-E5BNIqPu/
ORL,DET,113,91,usa/nba-2023-2024/orlando-magic-detroit-pistons-dGiOMhQD/
ORL,UTAH,115,107,usa/nba-2023-2024/orlando-magic-utah-jazz-dEzBj6Ok/
ORL,BKN,108,81,usa/nba-2023-2024/orlando-magic-brooklyn-nets-OpCmmXHc/
ATL,ORL,109,92,usa/nba-2023-2024/atlanta-hawks-orlando-magic-YZFwhM3P/
DET,ORL,109,112,usa/nba-2023-2024/detroit-pistons-orlando-magic-MuxWYtcm/
CLE,ORL,109,116,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-QZZjDQzR/
ORL,NY,118,100,usa/nba-2023-2024/orlando-magic-new-york-knicks-GtreGyoi/
ORL,OKC,113,127,usa/nba-2023-2024/orlando-magic-oklahoma-city-thunder-8zLTaG0A/
ORL,CHI,114,108,usa/nba-2023-2024/orlando-magic-chicago-bulls-EmGexQlr/
ORL,SA,127,111,usa/nba-2023-2024/orlando-magic-san-antonio-spurs-M3KFR2qp/
MIA,ORL,121,95,usa/nba-2023-2024/miami-heat-orlando-magic-G2F1KoxH/
DET,ORL,99,111,usa/nba-2023-2024/detroit-pistons-orlando-magic-vqerTIOJ/
MIN,ORL,106,108,usa/nba-2023-2024/minnesota-timberwolves-orlando-magic-lft0GuuE/
SA,ORL,98,108,usa/nba-2023-2024/san-antonio-spurs-orlando-magic-nVZVua31/
DAL,ORL,131,129,usa/nba-2023-2024/dallas-mavericks-orlando-magic-OEJGmj5A/
ORL,PHX,113,98,usa/nba-2023-2024/orlando-magic-phoenix-suns-v35Uyg6b/
MEM,ORL,107,106,usa/nba-2023-2024/memphis-grizzlies-orlando-magic-YReWOoBC/
ORL,CLE,99,126,usa/nba-2023-2024/orlando-magic-cleveland-cavaliers-r13Sbbij/
ORL,MIA,105,87,usa/nba-2023-2024/orlando-magic-miami-heat-W08n82U3/
ORL,PHI,109,124,usa/nba-2023-2024/orlando-magic-philadelphia-76ers-UJ6rvOFN/
ATL,ORL,106,104,usa/nba-2023-2024/atlanta-hawks-orlando-magic-fwKnsZPm/
NY,ORL,94,98,usa/nba-2023-2024/new-york-knicks-orlando-magic-xOxszIIK/
OKC,ORL,112,100,usa/nba-2023-2024/oklahoma-city-thunder-orlando-magic-YVJfOKJ8/
MIA,ORL,99,96,usa/nba-2023-2024/miami-heat-orlando-magic-6e0DBsz3/
ORL,MIN,92,113,usa/nba-2023-2024/orlando-magic-minnesota-timberwolves-ImcqyC6C/
ORL,ATL,117,110,usa/nba-2023-2024/orlando-magic-atlanta-hawks-lftYsNNR/
DEN,ORL,120,122,usa/nba-2023-2024/denver-nuggets-orlando-magic-2wIjVqvM/
SAC,ORL,138,135,usa/nba-2023-2024/sacramento-kings-orlando-magic-hQk1KSP3/
GSW,ORL,121,115,usa/nba-2023-2024/golden-state-warriors-orlando-magic-AsYA9BBo/
PHX,ORL,112,107,usa/nba-2023-2024/phoenix-suns-orlando-magic-0bRPkHKC/
ORL,NY,117,108,usa/nba-2023-2024/orlando-magic-new-york-knicks-2qm4PK67/
ORL,PHI,92,112,usa/nba-2023-2024/orlando-magic-philadelphia-76ers-SS7KVzCq/
WSH,ORL,119,127,usa/nba-2023-2024/washington-wizards-orlando-magic-GjJLXNsU/
IND,ORL,110,117,usa/nba-2023-2024/indiana-pacers-orlando-magic-IHbJP8qg/
MIL,ORL,118,114,usa/nba-2023-2024/milwaukee-bucks-orlando-magic-nDWCIixQ/
ORL,MIA,106,115,usa/nba-2023-2024/orlando-magic-miami-heat-bmrPJtH2/
BOS,ORL,114,97,usa/nba-2023-2024/boston-celtics-orlando-magic-v9bgy3mT/
BOS,ORL,128,111,usa/nba-2023-2024/boston-celtics-orlando-magic-ObTeS74b/
ORL,CLE,104,94,usa/nba-2023-2024/orlando-magic-cleveland-cavaliers-IJL8ANLb/
ORL,DET,123,91,usa/nba-2023-2024/orlando-magic-detroit-pistons-8WOdDVv5/
CLE,ORL,121,111,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-pdC8oMke/
BKN,ORL,129,101,usa/nba-2023-2024/brooklyn-nets-orlando-magic-AXtQa67t/
ORL,WSH,130,125,usa/nba-2023-2024/orlando-magic-washington-wizards-vg6epR7g/
ORL,WSH,139,120,usa/nba-2023-2024/orlando-magic-washington-wizards-ny3ZvWVD/
ORL,CHA,130,117,usa/nba-2023-2024/orlando-magic-charlotte-hornets-QmybuuQd/
ORL,BOS,113,96,usa/nba-2023-2024/orlando-magic-boston-celtics-bqtNbDJt/
ORL,DEN,124,119,usa/nba-2023-2024/orlando-magic-denver-nuggets-baIh7Who/
ORL,TOR,126,107,usa/nba-2023-2024/orlando-magic-toronto-raptors-nasMImT2/
IND,ORL,116,128,usa/nba-2023-2024/indiana-pacers-orlando-magic-ddZz3H1a/
CHI,ORL,97,103,usa/nba-2023-2024/chicago-bulls-orlando-magic-dzfe3gBP/
CHI,ORL,94,96,usa/nba-2023-2024/chicago-bulls-orlando-magic-YF3G9SIE/
BKN,ORL,124,104,usa/nba-2023-2024/brooklyn-nets-orlando-magic-fVFCvAYO/
ORL,MIL,112,97,usa/nba-2023-2024/orlando-magic-milwaukee-bucks-nPlapCk3/
ORL,ATL,119,120,usa/nba-2023-2024/orlando-magic-atlanta-hawks-8Ykeohzc/
ORL,DAL,102,117,usa/nba-2023-2024/orlando-magic-dallas-mavericks-bNhCGtV5/
ORL,LAL,120,101,usa/nba-2023-2024/orlando-magic-los-angeles-lakers-h4ET5PGm/
UTAH,ORL,113,115,usa/nba-2023-2024/utah-jazz-orlando-magic-06ZlD7OD/
LAC,ORL,118,102,usa/nba-2023-2024/los-angeles-clippers-orlando-magic-UqI328fk/
LAL,ORL,106,103,usa/nba-2023-2024/los-angeles-lakers-orlando-magic-tM0RLdeA/
POR,ORL,97,102,usa/nba-2023-2024/portland-trail-blazers-orlando-magic-0Wlcarrt/
ORL,HOU,116,86,usa/nba-2023-2024/orlando-magic-houston-rockets-YsjsY5qs/
ORL,NO,92,104,usa/nba-2023-2024/orlando-magic-new-orleans-pelicans-rwVVfwSP/
CLE,ORL,105,108,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-xY5P05fG/
NO,ORL,105,122,usa/nba-2023-2024/new-orleans-pelicans-orlando-magic-bP1XT3O2/
ORL,BOS,77,94,usa/nba-las-vegas-summer-league-2023/orlando-magic-boston-celtics-h4xqhHv9/
ORL,POR,71,88,usa/nba-las-vegas-summer-league-2023/orlando-magic-portland-trail-blazers-MoPicRdi/
ORL,NY,80,82,usa/nba-las-vegas-summer-league-2023/orlando-magic-new-york-knicks-MXqJrSsb/
ORL,IND,85,108,usa/nba-las-vegas-summer-league-2023/orlando-magic-indiana-pacers-QofPQgMC/
ORL,DET,78,89,usa/nba-las-vegas-summer-league-2023/orlando-magic-detroit-pistons-jireNKFK/
MIA,ORL,123,110,usa/nba-2022-2023/miami-heat-orlando-magic-trUkULRO/
BKN,ORL,101,84,usa/nba-2022-2023/brooklyn-nets-orlando-magic-Yek7J4D6/
ORL,CLE,94,118,usa/nba-2022-2023/orlando-magic-cleveland-cavaliers-KzzTIXMe/
ORL,CLE,113,117,usa/nba-2022-2023/orlando-magic-cleveland-cavaliers-bwujHKoi/
ORL,DET,128,102,usa/nba-2022-2023/orlando-magic-detroit-pistons-YLxP2LWc/
WSH,ORL,109,116,usa/nba-2022-2023/washington-wizards-orlando-magic-6mvC3t0f/
MEM,ORL,113,108,usa/nba-2022-2023/memphis-grizzlies-orlando-magic-OlI7yOG1/
ORL,BKN,119,106,usa/nba-2022-2023/orlando-magic-brooklyn-nets-OCbjVnfS/
ORL,NY,111,106,usa/nba-2022-2023/orlando-magic-new-york-knicks-bRQFM05t/
ORL,WSH,122,112,usa/nba-2022-2023/orlando-magic-washington-wizards-YPUBhMj0/
LAL,ORL,111,105,usa/nba-2022-2023/los-angeles-lakers-orlando-magic-YP8twsiD/
LAC,ORL,108,113,usa/nba-2022-2023/los-angeles-clippers-orlando-magic-4CwcuCGq/
PHX,ORL,116,113,usa/nba-2022-2023/phoenix-suns-orlando-magic-hAufnQCT/
SA,ORL,132,114,usa/nba-2022-2023/san-antonio-spurs-orlando-magic-WM90xkq5/
ORL,MIA,126,114,usa/nba-2022-2023/orlando-magic-miami-heat-WOWkN3LA/
ORL,UTAH,124,131,usa/nba-2022-2023/orlando-magic-utah-jazz-Oxh7Cn7h/
ORL,MIL,123,134,usa/nba-2022-2023/orlando-magic-milwaukee-bucks-r5e3r8hC/
ORL,POR,119,122,usa/nba-2022-2023/orlando-magic-portland-trail-blazers-8UiGqcXl/
CHA,ORL,106,117,usa/nba-2022-2023/charlotte-hornets-orlando-magic-EXy3J0Jq/
MIL,ORL,139,117,usa/nba-2022-2023/milwaukee-bucks-orlando-magic-nH8FS4dc/
NO,ORL,93,101,usa/nba-2022-2023/new-orleans-pelicans-orlando-magic-WCIFSqu0/
ORL,IND,108,121,usa/nba-2022-2023/orlando-magic-indiana-pacers-xjX6aoBD/
ORL,DET,108,106,usa/nba-2022-2023/orlando-magic-detroit-pistons-KWFseWJR/
TOR,ORL,123,113,usa/nba-2022-2023/toronto-raptors-orlando-magic-jiziTVm1/
CHI,ORL,91,100,usa/nba-2022-2023/chicago-bulls-orlando-magic-UqY7npVu/
ORL,MIA,103,107,usa/nba-2022-2023/orlando-magic-miami-heat-8zo7HPV5/
ORL,DEN,115,104,usa/nba-2022-2023/orlando-magic-denver-nuggets-lhyqRx32/
ORL,NY,98,102,usa/nba-2022-2023/orlando-magic-new-york-knicks-ClBn5zPo/
CHA,ORL,113,119,usa/nba-2022-2023/charlotte-hornets-orlando-magic-jydlnMI6/
MIN,ORL,120,127,usa/nba-2022-2023/minnesota-timberwolves-orlando-magic-MsPby54l/
