date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
20-07-2024,SAC,PHX,87,77,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/sacramento-kings-phoenix-suns-8UHzQ2Ca/,-114,-115
19-07-2024,PHX,MIL,115,90,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/phoenix-suns-milwaukee-bucks-GEwxrlal/,-160,124
17-07-2024,OKC,PHX,99,100,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/oklahoma-city-thunder-phoenix-suns-AueeZJGG/,131,-170
16-07-2024,PHX,IND,94,98,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/phoenix-suns-indiana-pacers-IqPHTxNt/,182,-245
13-07-2024,GSW,PHX,90,73,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/golden-state-warriors-phoenix-suns-h0Q169PF/,-432,295
28-04-2024,PHX,MIN,116,122,0,NBA_2023/2024,usa/nba-2023-2024/phoenix-suns-minnesota-timberwolves-48ijj4qS/,-115,-103
26-04-2024,PHX,MIN,109,126,0,NBA_2023/2024,usa/nba-2023-2024/phoenix-suns-minnesota-timberwolves-IigrhQEF/,-254,208
23-04-2024,MIN,PHX,105,93,1,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-phoenix-suns-dx5Zgnp3/,-152,128
20-04-2024,MIN,PHX,120,95,1,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-phoenix-suns-IawbqvF7/,-134,113
14-04-2024,MIN,PHX,106,125,0,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-phoenix-suns-nwAoUSdL/,-135,115
12-04-2024,SAC,PHX,107,108,0,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-phoenix-suns-hGlCFTsS/,156,-188
10-04-2024,LAC,PHX,108,124,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-clippers-phoenix-suns-Szlb2J7B/,397,-539
09-04-2024,PHX,LAC,92,105,0,NBA_2023/2024,usa/nba-2023-2024/phoenix-suns-los-angeles-clippers-EXNOmKhI/,-390,301
07-04-2024,PHX,NO,105,113,0,NBA_2023/2024,usa/nba-2023-2024/phoenix-suns-new-orleans-pelicans-zeUu9n9K/,-220,179
05-04-2024,PHX,MIN,97,87,1,NBA_2023/2024,usa/nba-2023-2024/phoenix-suns-minnesota-timberwolves-YBPHohBd/,-189,156
03-04-2024,PHX,CLE,122,101,1,NBA_2023/2024,usa/nba-2023-2024/phoenix-suns-cleveland-cavaliers-fq7dtcZG/,-239,195
