date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
20-07-2024,SAC,PHX,87,77,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/sacramento-kings-phoenix-suns-8UHzQ2Ca/,-114,-115
18-07-2024,SAC,WSH,69,73,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/sacramento-kings-washington-wizards-foAfVAFr/,114,-147
17-07-2024,NY,SAC,106,105,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/new-york-knicks-sacramento-kings-GMBhFbPp/,168,-224
15-07-2024,SAC,UTAH,82,70,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/sacramento-kings-utah-jazz-65eaBe7C/,128,-168
12-07-2024,MEM,SAC,103,83,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/memphis-grizzlies-sacramento-kings-OpIyqFRi/,-234,173
10-07-2024,GSW,SAC,91,90,1,California_Classic,usa/california-classic/golden-state-warriors-sacramento-kings-2LjndrJt/,-348,240
09-07-2024,SAC,CHA,82,86,0,California_Classic,usa/california-classic/sacramento-kings-charlotte-hornets-xvNTw13C/,182,-254
07-07-2024,SAC,SA,85,59,1,California_Classic,usa/california-classic/sacramento-kings-san-antonio-spurs-GOYKuNYa/,-300,219
07-07-2024,SAC,MIA,86,102,0,California_Classic,usa/california-classic/sacramento-kings-miami-heat-lEltm5tQ/,-159,121
06-07-2024,SAC,china,101,50,1,California_Classic,usa/california-classic/sacramento-kings-china-zZlffMmg/,-4091,1041
06-07-2024,SAC,LAL,108,94,1,California_Classic,usa/california-classic/sacramento-kings-los-angeles-lakers-8pjvTqkf/,159,-214
19-04-2024,NO,SAC,105,98,1,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-sacramento-kings-nktbZsdD/,-121,102
16-04-2024,SAC,GSW,118,94,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-golden-state-warriors-pE30vhXA/,126,-151
14-04-2024,SAC,POR,121,82,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-portland-trail-blazers-z3rZKOJ7/,-1857,993
12-04-2024,SAC,PHX,107,108,0,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-phoenix-suns-hGlCFTsS/,156,-188
11-04-2024,SAC,NO,123,135,0,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-new-orleans-pelicans-hILKJKxn/,-121,103
09-04-2024,OKC,SAC,112,105,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-sacramento-kings-bsLCjM8a/,-205,169
07-04-2024,BKN,SAC,77,107,0,NBA_2023/2024,usa/nba-2023-2024/brooklyn-nets-sacramento-kings-l2AG2pnl/,390,-522
05-04-2024,BOS,SAC,101,100,1,NBA_2023/2024,usa/nba-2023-2024/boston-celtics-sacramento-kings-l6SVfdlA/,-401,313
04-04-2024,NY,SAC,120,109,1,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-sacramento-kings-29A4vy4T/,-164,138
02-04-2024,SAC,LAC,109,95,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-los-angeles-clippers-ttsNRcKN/,-142,120
31-03-2024,SAC,UTAH,127,106,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-utah-jazz-QTbWI2yg/,-872,583
29-03-2024,SAC,DAL,103,107,0,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-dallas-mavericks-6LNGOX7E/,-101,-117
26-03-2024,SAC,DAL,96,132,0,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-dallas-mavericks-z7WxrG9S/,-112,-104
25-03-2024,SAC,PHI,108,96,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-philadelphia-76ers-C4uInvec/,-295,236
23-03-2024,ORL,SAC,107,109,0,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-sacramento-kings-lnxWg1oQ/,-143,120
21-03-2024,WSH,SAC,109,102,1,NBA_2023/2024,usa/nba-2023-2024/washington-wizards-sacramento-kings-tA01Ltu1/,431,-591
20-03-2024,TOR,SAC,89,123,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-sacramento-kings-tzQbfPAQ/,432,-594
18-03-2024,SAC,MEM,121,111,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-memphis-grizzlies-zoNZTDR3/,-607,440
16-03-2024,SAC,NY,91,98,0,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-new-york-knicks-8zmqjbqa/,-150,128
13-03-2024,SAC,LAL,120,107,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-los-angeles-lakers-2142sU0R/,115,-136
12-03-2024,SAC,MIL,129,94,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-milwaukee-bucks-bcozb3l6/,-119,101
10-03-2024,SAC,HOU,104,112,0,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-houston-rockets-x6wAglcK/,-271,218
07-03-2024,SAC,SA,131,129,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-san-antonio-spurs-U1misK7c/,-701,497
06-03-2024,LAL,SAC,120,130,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-sacramento-kings-r5VPQbNG/,-148,126
04-03-2024,SAC,CHI,109,113,0,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-chicago-bulls-Qg4LbtvO/,-247,200
01-03-2024,MIN,SAC,120,124,0,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-sacramento-kings-C43d23N1/,-342,264
28-02-2024,DEN,SAC,117,96,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-sacramento-kings-nuoyc8oM/,-420,317
26-02-2024,SAC,MIA,110,121,0,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-miami-heat-WjP1PTPj/,-281,225
25-02-2024,LAC,SAC,107,123,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-clippers-sacramento-kings-ba8PrIQB/,-177,146
22-02-2024,SAC,SA,127,122,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-san-antonio-spurs-MJ0eM3Ds/,-578,408
14-02-2024,DEN,SAC,98,102,0,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-sacramento-kings-2e5mg5qe/,-209,172
13-02-2024,PHX,SAC,130,125,1,NBA_2023/2024,usa/nba-2023-2024/phoenix-suns-sacramento-kings-42ExbfVM/,-183,153
11-02-2024,OKC,SAC,127,113,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-sacramento-kings-nDQfe5eK/,-150,127
09-02-2024,SAC,DEN,135,106,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-denver-nuggets-IDr1w0rd/,-146,124
07-02-2024,SAC,DET,120,133,0,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-detroit-pistons-jLTqXOLM/,-876,588
05-02-2024,CLE,SAC,136,110,1,NBA_2023/2024,usa/nba-2023-2024/cleveland-cavaliers-sacramento-kings-dt960Qpo/,-194,160
03-02-2024,CHI,SAC,115,123,0,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-sacramento-kings-GA9m7y20/,-115,-102
02-02-2024,IND,SAC,122,133,0,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-sacramento-kings-d0gEhxm7/,143,-171
31-01-2024,MIA,SAC,115,106,1,NBA_2023/2024,usa/nba-2023-2024/miami-heat-sacramento-kings-ne5Rr1Jr/,-134,114
29-01-2024,MEM,SAC,94,103,0,NBA_2023/2024,usa/nba-2023-2024/memphis-grizzlies-sacramento-kings-YPQ3jhLi/,397,-543
27-01-2024,DAL,SAC,115,120,0,NBA_2023/2024,usa/nba-2023-2024/dallas-mavericks-sacramento-kings-4pDHveMu/,145,-173
25-01-2024,GSW,SAC,133,134,0,NBA_2023/2024,usa/nba-2023-2024/golden-state-warriors-sacramento-kings-jq0BT9ds/,104,-123
22-01-2024,SAC,ATL,122,107,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-atlanta-hawks-rcmRJaTF/,-340,270
18-01-2024,SAC,IND,121,126,0,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-indiana-pacers-r38ztpoB/,-349,275
16-01-2024,PHX,SAC,119,117,1,NBA_2023/2024,usa/nba-2023-2024/phoenix-suns-sacramento-kings-tWwCmymK/,-172,146
14-01-2024,MIL,SAC,143,142,1,NBA_2023/2024,usa/nba-2023-2024/milwaukee-bucks-sacramento-kings-MehrFGte/,-169,143
12-01-2024,PHI,SAC,112,93,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-sacramento-kings-QoIP4B1j/,-110,-106
10-01-2024,CHA,SAC,98,123,0,NBA_2023/2024,usa/nba-2023-2024/charlotte-hornets-sacramento-kings-4vW1ggMt/,273,-340
09-01-2024,DET,SAC,110,131,0,NBA_2023/2024,usa/nba-2023-2024/detroit-pistons-sacramento-kings-vcbuxhi6/,423,-563
