team_1,team_2,score_1,score_2,game_url
SA,UTAH,126,120,usa/nba/san-antonio-spurs-utah-jazz-Ym5hh2Ud/
DAL,UTAH,102,107,usa/nba/dallas-mavericks-utah-jazz-UurhP30A/
UTAH,HOU,122,113,usa/nba/utah-jazz-houston-rockets-C4e3C5a7/
UTAH,DET,97,87,usa/nba-las-vegas-summer-league/utah-jazz-detroit-pistons-UNU8B3c6/
UTAH,LAC,88,105,usa/nba-las-vegas-summer-league/utah-jazz-los-angeles-clippers-l4gckW6E/
UTAH,TOR,86,76,usa/nba-las-vegas-summer-league/utah-jazz-toronto-raptors-W4Sh9Qcm/
SAC,UTAH,82,70,usa/nba-las-vegas-summer-league/sacramento-kings-utah-jazz-65eaBe7C/
DAL,UTAH,89,90,usa/nba-las-vegas-summer-league/dallas-mavericks-utah-jazz-pzNg8Vf3/
UTAH,PHI,93,85,usa/nba-salt-lake-city-summer-league/utah-jazz-philadelphia-76ers-UVdN6BfD/
UTAH,OKC,75,98,usa/nba-salt-lake-city-summer-league/utah-jazz-oklahoma-city-thunder-Qw06Agel/
UTAH,MEM,97,95,usa/nba-salt-lake-city-summer-league/utah-jazz-memphis-grizzlies-lb6SHy3E/
GSW,UTAH,123,116,usa/nba-2023-2024/golden-state-warriors-utah-jazz-vykQMpke/
LAC,UTAH,109,110,usa/nba-2023-2024/los-angeles-clippers-utah-jazz-EPk8G9SL/
UTAH,HOU,124,121,usa/nba-2023-2024/utah-jazz-houston-rockets-EijAaHiU/
UTAH,DEN,95,111,usa/nba-2023-2024/utah-jazz-denver-nuggets-hIZFktO5/
GSW,UTAH,118,110,usa/nba-2023-2024/golden-state-warriors-utah-jazz-Sh9K141f/
LAC,UTAH,131,102,usa/nba-2023-2024/los-angeles-clippers-utah-jazz-zH30Aylc/
UTAH,CLE,113,129,usa/nba-2023-2024/utah-jazz-cleveland-cavaliers-2krJSw5H/
SAC,UTAH,127,106,usa/nba-2023-2024/sacramento-kings-utah-jazz-QTbWI2yg/
UTAH,HOU,100,101,usa/nba-2023-2024/utah-jazz-houston-rockets-hIJCPDh8/
UTAH,SA,111,118,usa/nba-2023-2024/utah-jazz-san-antonio-spurs-WUayignq/
UTAH,DAL,105,115,usa/nba-2023-2024/utah-jazz-dallas-mavericks-b1yEmKui/
HOU,UTAH,147,119,usa/nba-2023-2024/houston-rockets-utah-jazz-2gI6maOg/
DAL,UTAH,113,97,usa/nba-2023-2024/dallas-mavericks-utah-jazz-jurhr4nE/
OKC,UTAH,119,107,usa/nba-2023-2024/oklahoma-city-thunder-utah-jazz-ALMIT4XK/
UTAH,MIN,104,114,usa/nba-2023-2024/utah-jazz-minnesota-timberwolves-EVYQVZdi/
UTAH,MIN,100,119,usa/nba-2023-2024/utah-jazz-minnesota-timberwolves-QBcvivUh/
UTAH,ATL,124,122,usa/nba-2023-2024/utah-jazz-atlanta-hawks-QcI5xuFa/
UTAH,BOS,107,123,usa/nba-2023-2024/utah-jazz-boston-celtics-xrcRaPJg/
DEN,UTAH,142,121,usa/nba-2023-2024/denver-nuggets-utah-jazz-UssEZS5l/
