team_1,team_2,score_1,score_2,game_url
SF,ARI,23,24,usa/nfl/san-francisco-49ers-arizona-cardinals-Mq2VosZ9/
ARI,WSH,14,42,usa/nfl/arizona-cardinals-washington-commanders-QJcUMZas/
ARI,DET,13,20,usa/nfl/arizona-cardinals-detroit-lions-GAFijs85/
ARI,LAR,41,10,usa/nfl/arizona-cardinals-los-angeles-rams-vXbaPD3k/
BUF,ARI,34,28,usa/nfl/buffalo-bills-arizona-cardinals-WtE8GO3K/
DEN,ARI,38,12,usa/nfl/denver-broncos-arizona-cardinals-xxraxndd/
IND,ARI,21,13,usa/nfl/indianapolis-colts-arizona-cardinals-ryr9TddR/
ARI,NO,14,16,usa/nfl/arizona-cardinals-new-orleans-saints-KKkp4tTF/
ARI,SEA,20,21,usa/nfl-2023-2024/arizona-cardinals-seattle-seahawks-SfOi8g4G/
PHI,ARI,31,35,usa/nfl-2023-2024/philadelphia-eagles-arizona-cardinals-hvRK50rI/
CHI,ARI,27,16,usa/nfl-2023-2024/chicago-bears-arizona-cardinals-WjeRePEg/
ARI,SF,29,45,usa/nfl-2023-2024/arizona-cardinals-san-francisco-49ers-I9bsykwR/
PIT,ARI,10,24,usa/nfl-2023-2024/pittsburgh-steelers-arizona-cardinals-GrmkALYA/
ARI,LAR,14,37,usa/nfl-2023-2024/arizona-cardinals-los-angeles-rams-URO7crk5/
HOU,ARI,21,16,usa/nfl-2023-2024/houston-texans-arizona-cardinals-xhCiaq3e/
ARI,ATL,25,23,usa/nfl-2023-2024/arizona-cardinals-atlanta-falcons-MarZfUB9/
CLE,ARI,27,0,usa/nfl-2023-2024/cleveland-browns-arizona-cardinals-p0hMSBSG/
ARI,BAL,24,31,usa/nfl-2023-2024/arizona-cardinals-baltimore-ravens-WxUhRbiC/
SEA,ARI,20,10,usa/nfl-2023-2024/seattle-seahawks-arizona-cardinals-AoIONPpK/
LAR,ARI,26,9,usa/nfl-2023-2024/los-angeles-rams-arizona-cardinals-UVGfmq97/
ARI,CIN,20,34,usa/nfl-2023-2024/arizona-cardinals-cincinnati-bengals-jqdydGeA/
SF,ARI,35,16,usa/nfl-2023-2024/san-francisco-49ers-arizona-cardinals-Kfpq7bl5/
ARI,DAL,28,16,usa/nfl-2023-2024/arizona-cardinals-dallas-cowboys-WdpXvt5C/
ARI,NYG,28,31,usa/nfl-2023-2024/arizona-cardinals-new-york-giants-rH7LQkp2/
WSH,ARI,20,16,usa/nfl-2023-2024/washington-commanders-arizona-cardinals-rZ0iNGwA/
MIN,ARI,17,18,usa/nfl-2023-2024/minnesota-vikings-arizona-cardinals-WGSIR3Ko/
ARI,KC,10,38,usa/nfl-2023-2024/arizona-cardinals-kansas-city-chiefs-A7uIdqLB/
ARI,DEN,18,17,usa/nfl-2023-2024/arizona-cardinals-denver-broncos-QsO63fxR/
SF,ARI,38,13,usa/nfl-2022-2023/san-francisco-49ers-arizona-cardinals-UmKw2y4j/
ATL,ARI,20,19,usa/nfl-2022-2023/atlanta-falcons-arizona-cardinals-pt4Ilifn/
ARI,TB,16,19,usa/nfl-2022-2023/arizona-cardinals-tampa-bay-buccaneers-GQP4VTgO/
DEN,ARI,24,15,usa/nfl-2022-2023/denver-broncos-arizona-cardinals-Wd0rIJJ7/
ARI,NE,13,27,usa/nfl-2022-2023/arizona-cardinals-new-england-patriots-bkohjAUc/
ARI,LAC,24,25,usa/nfl-2022-2023/arizona-cardinals-los-angeles-chargers-WxESV0X7/
ARI,SF,10,38,usa/nfl-2022-2023/arizona-cardinals-san-francisco-49ers-rPkqAHDj/
LAR,ARI,17,27,usa/nfl-2022-2023/los-angeles-rams-arizona-cardinals-QwtNSzLb/
ARI,SEA,21,31,usa/nfl-2022-2023/arizona-cardinals-seattle-seahawks-tYM5MabP/
MIN,ARI,34,26,usa/nfl-2022-2023/minnesota-vikings-arizona-cardinals-CKVj9kO8/
ARI,NO,42,34,usa/nfl-2022-2023/arizona-cardinals-new-orleans-saints-rudZsDP9/
SEA,ARI,19,9,usa/nfl-2022-2023/seattle-seahawks-arizona-cardinals-hjTtxNyi/
ARI,PHI,17,20,usa/nfl-2022-2023/arizona-cardinals-philadelphia-eagles-UwqTWRaB/
CAR,ARI,16,26,usa/nfl-2022-2023/carolina-panthers-arizona-cardinals-KtRIGF9D/
ARI,LAR,12,20,usa/nfl-2022-2023/arizona-cardinals-los-angeles-rams-Uyh0C0IR/
LV,ARI,23,29,usa/nfl-2022-2023/las-vegas-raiders-arizona-cardinals-hIL62Pl3/
ARI,KC,21,44,usa/nfl-2022-2023/arizona-cardinals-kansas-city-chiefs-baAofnvg/
TEN,ARI,26,23,usa/nfl-2022-2023/tennessee-titans-arizona-cardinals-YgKsxSoL/
ARI,BAL,17,24,usa/nfl-2022-2023/arizona-cardinals-baltimore-ravens-Ot2jrric/
CIN,ARI,23,36,usa/nfl-2022-2023/cincinnati-bengals-arizona-cardinals-rVv7FhHg/
LAR,ARI,34,11,usa/nfl-2021-2022/los-angeles-rams-arizona-cardinals-pGpNbnrD/
ARI,SEA,30,38,usa/nfl-2021-2022/arizona-cardinals-seattle-seahawks-0dbHQuAI/
DAL,ARI,22,25,usa/nfl-2021-2022/dallas-cowboys-arizona-cardinals-pWzh3oCf/
ARI,IND,16,22,usa/nfl-2021-2022/arizona-cardinals-indianapolis-colts-pU9bcJq4/
DET,ARI,30,12,usa/nfl-2021-2022/detroit-lions-arizona-cardinals-WQqPrKUA/
ARI,LAR,23,30,usa/nfl-2021-2022/arizona-cardinals-los-angeles-rams-AJBnSuNU/
CHI,ARI,22,33,usa/nfl-2021-2022/chicago-bears-arizona-cardinals-ALMPGiI1/
SEA,ARI,13,23,usa/nfl-2021-2022/seattle-seahawks-arizona-cardinals-0pjIaasA/
ARI,CAR,10,34,usa/nfl-2021-2022/arizona-cardinals-carolina-panthers-nqyMZBNm/
SF,ARI,17,31,usa/nfl-2021-2022/san-francisco-49ers-arizona-cardinals-trW7SfGK/
ARI,GB,21,24,usa/nfl-2021-2022/arizona-cardinals-green-bay-packers-A1WPFdFH/
ARI,HOU,31,5,usa/nfl-2021-2022/arizona-cardinals-houston-texans-tMv9JvGh/
CLE,ARI,14,37,usa/nfl-2021-2022/cleveland-browns-arizona-cardinals-bT5HlKGI/
ARI,SF,17,10,usa/nfl-2021-2022/arizona-cardinals-san-francisco-49ers-YLbMvqmf/
LAR,ARI,20,37,usa/nfl-2021-2022/los-angeles-rams-arizona-cardinals-QwO8PCsj/
JAX,ARI,19,31,usa/nfl-2021-2022/jacksonville-jaguars-arizona-cardinals-Wt8eaGTp/
ARI,MIN,34,33,usa/nfl-2021-2022/arizona-cardinals-minnesota-vikings-48TX67Vg/
TEN,ARI,13,38,usa/nfl-2021-2022/tennessee-titans-arizona-cardinals-25QQeM5e/
ARI,KC,10,17,usa/nfl-2021-2022/arizona-cardinals-kansas-city-chiefs-vTYrmTMk/
