date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
29-09-2024,ATL,NO,26,24,1,NFL,usa/nfl/atlanta-falcons-new-orleans-saints-pWrW9S4e/,-148,123
22-09-2024,ATL,KC,17,22,0,NFL,usa/nfl/atlanta-falcons-kansas-city-chiefs-8biI62hn/,140,-168
16-09-2024,PHI,ATL,21,22,0,NFL,usa/nfl/philadelphia-eagles-atlanta-falcons-OKY2qZfL/,-249,201
08-09-2024,ATL,PIT,10,18,0,NFL,usa/nfl/atlanta-falcons-pittsburgh-steelers-6mfUhLBD/,-199,163
23-08-2024,ATL,JAX,0,31,0,NFL,usa/nfl/atlanta-falcons-jacksonville-jaguars-OjBeKDzB/,282,-397
17-08-2024,BAL,ATL,13,12,1,NFL,usa/nfl/baltimore-ravens-atlanta-falcons-KYUIIur9/,-143,112
09-08-2024,MIA,ATL,20,13,1,NFL,usa/nfl/miami-dolphins-atlanta-falcons-xbBIgY8t/,120,-154
07-01-2024,NO,ATL,48,17,1,NFL_2023/2024,usa/nfl-2023-2024/new-orleans-saints-atlanta-falcons-hIDVJj3S/,-180,149
31-12-2023,CHI,ATL,37,17,1,NFL_2023/2024,usa/nfl-2023-2024/chicago-bears-atlanta-falcons-pfL0AOTn/,-149,123
24-12-2023,ATL,IND,29,10,1,NFL_2023/2024,usa/nfl-2023-2024/atlanta-falcons-indianapolis-colts-UNYetpF6/,-151,126
17-12-2023,CAR,ATL,9,7,1,NFL_2023/2024,usa/nfl-2023-2024/carolina-panthers-atlanta-falcons-jHoURp0D/,123,-149
10-12-2023,ATL,TB,25,29,0,NFL_2023/2024,usa/nfl-2023-2024/atlanta-falcons-tampa-bay-buccaneers-OOvLNv3A/,-127,106
03-12-2023,NYJ,ATL,8,13,0,NFL_2023/2024,usa/nfl-2023-2024/new-york-jets-atlanta-falcons-xhloB1J4/,109,-129
26-11-2023,ATL,NO,24,15,1,NFL_2023/2024,usa/nfl-2023-2024/atlanta-falcons-new-orleans-saints-t2KrcEwP/,107,-129
12-11-2023,ARI,ATL,25,23,1,NFL_2023/2024,usa/nfl-2023-2024/arizona-cardinals-atlanta-falcons-MarZfUB9/,109,-131
05-11-2023,ATL,MIN,28,31,0,NFL_2023/2024,usa/nfl-2023-2024/atlanta-falcons-minnesota-vikings-xzkEUXc4/,-198,165
29-10-2023,TEN,ATL,28,23,1,NFL_2023/2024,usa/nfl-2023-2024/tennessee-titans-atlanta-falcons-pMRtU07g/,115,-139
22-10-2023,TB,ATL,13,16,0,NFL_2023/2024,usa/nfl-2023-2024/tampa-bay-buccaneers-atlanta-falcons-4lVx0MhD/,-149,124
15-10-2023,ATL,WSH,16,24,0,NFL_2023/2024,usa/nfl-2023-2024/atlanta-falcons-washington-commanders-p443ak22/,-129,106
08-10-2023,ATL,HOU,21,19,1,NFL_2023/2024,usa/nfl-2023-2024/atlanta-falcons-houston-texans-lzx03GmU/,-137,114
01-10-2023,JAX,ATL,23,7,1,NFL_2023/2024,usa/nfl-2023-2024/jacksonville-jaguars-atlanta-falcons-p2wl5mxo/,-181,149
24-09-2023,DET,ATL,20,6,1,NFL_2023/2024,usa/nfl-2023-2024/detroit-lions-atlanta-falcons-hjc5QtjJ/,-172,144
17-09-2023,ATL,GB,25,24,1,NFL_2023/2024,usa/nfl-2023-2024/atlanta-falcons-green-bay-packers-MPLQyGh3/,-153,128
10-09-2023,ATL,CAR,24,10,1,NFL_2023/2024,usa/nfl-2023-2024/atlanta-falcons-carolina-panthers-ni3U7yvN/,-187,155
24-08-2023,ATL,PIT,0,24,0,NFL_2023/2024,usa/nfl-2023-2024/atlanta-falcons-pittsburgh-steelers-ID2qD45h/,200,-266
18-08-2023,ATL,CIN,13,13,0,NFL_2023/2024,usa/nfl-2023-2024/atlanta-falcons-cincinnati-bengals-ChayJZyE/,-251,189
11-08-2023,MIA,ATL,3,19,0,NFL_2023/2024,usa/nfl-2023-2024/miami-dolphins-atlanta-falcons-jPVg6dh8/,-139,110
08-01-2023,ATL,TB,30,17,1,NFL_2022/2023,usa/nfl-2022-2023/atlanta-falcons-tampa-bay-buccaneers-pYwJCX0B/,-251,205
01-01-2023,ATL,ARI,20,19,1,NFL_2022/2023,usa/nfl-2022-2023/atlanta-falcons-arizona-cardinals-pt4Ilifn/,-297,231
24-12-2022,BAL,ATL,17,9,1,NFL_2022/2023,usa/nfl-2022-2023/baltimore-ravens-atlanta-falcons-QH8ALhQa/,-289,234
18-12-2022,NO,ATL,21,18,1,NFL_2022/2023,usa/nfl-2022-2023/new-orleans-saints-atlanta-falcons-CKuBEgWb/,-235,191
04-12-2022,ATL,PIT,16,19,0,NFL_2022/2023,usa/nfl-2022-2023/atlanta-falcons-pittsburgh-steelers-n9zbotXf/,-101,-119
27-11-2022,WSH,ATL,19,13,1,NFL_2022/2023,usa/nfl-2022-2023/washington-commanders-atlanta-falcons-hnFOWtI1/,-188,156
20-11-2022,ATL,CHI,27,24,1,NFL_2022/2023,usa/nfl-2022-2023/atlanta-falcons-chicago-bears-fJXwPhKN/,-137,115
10-11-2022,CAR,ATL,25,15,1,NFL_2022/2023,usa/nfl-2022-2023/carolina-panthers-atlanta-falcons-6F6pFHja/,122,-147
06-11-2022,ATL,LAC,17,20,0,NFL_2022/2023,usa/nfl-2022-2023/atlanta-falcons-los-angeles-chargers-OWlf40xs/,124,-149
30-10-2022,ATL,CAR,37,34,1,NFL_2022/2023,usa/nfl-2022-2023/atlanta-falcons-carolina-panthers-ILl0nSGe/,-205,168
23-10-2022,CIN,ATL,35,17,1,NFL_2022/2023,usa/nfl-2022-2023/cincinnati-bengals-atlanta-falcons-W0lnuB9S/,-281,225
16-10-2022,ATL,SF,28,14,1,NFL_2022/2023,usa/nfl-2022-2023/atlanta-falcons-san-francisco-49ers-8OGklTUo/,159,-192
09-10-2022,TB,ATL,21,15,1,NFL_2022/2023,usa/nfl-2022-2023/tampa-bay-buccaneers-atlanta-falcons-fLjGZTFh/,-500,377
02-10-2022,ATL,CLE,23,20,1,NFL_2022/2023,usa/nfl-2022-2023/atlanta-falcons-cleveland-browns-0IyKSL28/,-101,-119
25-09-2022,SEA,ATL,23,27,0,NFL_2022/2023,usa/nfl-2022-2023/seattle-seahawks-atlanta-falcons-WpvS7KQr/,-115,-104
18-09-2022,LAR,ATL,31,27,1,NFL_2022/2023,usa/nfl-2022-2023/los-angeles-rams-atlanta-falcons-4duCtrSq/,-498,371
11-09-2022,ATL,NO,26,27,0,NFL_2022/2023,usa/nfl-2022-2023/atlanta-falcons-new-orleans-saints-6omEgFmr/,194,-237
27-08-2022,ATL,JAX,28,12,1,NFL_2022/2023,usa/nfl-2022-2023/atlanta-falcons-jacksonville-jaguars-pKYoXHrd/,-285,213
22-08-2022,NYJ,ATL,24,16,1,NFL_2022/2023,usa/nfl-2022-2023/new-york-jets-atlanta-falcons-2X0fs263/,160,-214
12-08-2022,DET,ATL,23,27,0,NFL_2022/2023,usa/nfl-2022-2023/detroit-lions-atlanta-falcons-lWobHEns/,-152,118
09-01-2022,ATL,NO,20,30,0,NFL_2021/2022,usa/nfl-2021-2022/atlanta-falcons-new-orleans-saints-tWaTy6IJ/,177,-214
02-01-2022,BUF,ATL,29,15,1,NFL_2021/2022,usa/nfl-2021-2022/buffalo-bills-atlanta-falcons-27om4Rdl/,-990,639
26-12-2021,ATL,DET,20,16,1,NFL_2021/2022,usa/nfl-2021-2022/atlanta-falcons-detroit-lions-fwUxlF6j/,-379,298
19-12-2021,SF,ATL,31,13,1,NFL_2021/2022,usa/nfl-2021-2022/san-francisco-49ers-atlanta-falcons-xOnXtbaN/,-395,313
12-12-2021,CAR,ATL,21,29,0,NFL_2021/2022,usa/nfl-2021-2022/carolina-panthers-atlanta-falcons-fNLNXqgg/,-138,118
05-12-2021,ATL,TB,17,30,0,NFL_2021/2022,usa/nfl-2021-2022/atlanta-falcons-tampa-bay-buccaneers-l4R4veA8/,391,-513
28-11-2021,JAX,ATL,14,21,0,NFL_2021/2022,usa/nfl-2021-2022/jacksonville-jaguars-atlanta-falcons-Sx5Z5z4q/,104,-122
18-11-2021,ATL,NE,0,25,0,NFL_2021/2022,usa/nfl-2021-2022/atlanta-falcons-new-england-patriots-llBwl2rb/,268,-337
14-11-2021,DAL,ATL,43,3,1,NFL_2021/2022,usa/nfl-2021-2022/dallas-cowboys-atlanta-falcons-vwEfJjw7/,-359,288
07-11-2021,NO,ATL,25,27,0,NFL_2021/2022,usa/nfl-2021-2022/new-orleans-saints-atlanta-falcons-fBuYFHWE/,-283,233
31-10-2021,ATL,CAR,13,19,0,NFL_2021/2022,usa/nfl-2021-2022/atlanta-falcons-carolina-panthers-A1heVyF4/,-129,111
24-10-2021,MIA,ATL,28,30,0,NFL_2021/2022,usa/nfl-2021-2022/miami-dolphins-atlanta-falcons-p0di1c0O/,107,-125
10-10-2021,ATL,NYJ,27,20,1,NFL_2021/2022,usa/nfl-2021-2022/atlanta-falcons-new-york-jets-ARcCqYYL/,-148,127
03-10-2021,ATL,WSH,30,34,0,NFL_2021/2022,usa/nfl-2021-2022/atlanta-falcons-washington-commanders-U7xwVYJS/,106,-124
26-09-2021,NYG,ATL,14,17,0,NFL_2021/2022,usa/nfl-2021-2022/new-york-giants-atlanta-falcons-hSU88K6b/,-144,123
19-09-2021,TB,ATL,48,25,1,NFL_2021/2022,usa/nfl-2021-2022/tampa-bay-buccaneers-atlanta-falcons-YsYy6Rp0/,-777,538
12-09-2021,ATL,PHI,6,32,0,NFL_2021/2022,usa/nfl-2021-2022/atlanta-falcons-philadelphia-eagles-p0lz66T2/,-179,154
29-08-2021,ATL,CLE,10,19,0,NFL_2021/2022,usa/nfl-2021-2022/atlanta-falcons-cleveland-browns-2uwnafXs/,211,-271
21-08-2021,MIA,ATL,37,17,1,NFL_2021/2022,usa/nfl-2021-2022/miami-dolphins-atlanta-falcons-QysW8Aq9/,-254,198
13-08-2021,ATL,TEN,3,23,0,NFL_2021/2022,usa/nfl-2021-2022/atlanta-falcons-tennessee-titans-nVg4fBUF/,-153,124
03-01-2021,TB,ATL,44,27,1,NFL_2020/2021,usa/nfl-2020-2021/tampa-bay-buccaneers-atlanta-falcons-80rJZDjl/,-338,272
27-12-2020,KC,ATL,17,14,1,NFL_2020/2021,usa/nfl-2020-2021/kansas-city-chiefs-atlanta-falcons-nBuXtysH/,-552,414
20-12-2020,ATL,TB,27,31,0,NFL_2020/2021,usa/nfl-2020-2021/atlanta-falcons-tampa-bay-buccaneers-SpXVDxDU/,223,-271
13-12-2020,LAC,ATL,20,17,1,NFL_2020/2021,usa/nfl-2020-2021/los-angeles-chargers-atlanta-falcons-6c1x41q6/,-120,100
06-12-2020,ATL,NO,16,21,0,NFL_2020/2021,usa/nfl-2020-2021/atlanta-falcons-new-orleans-saints-0bTW0yXd/,126,-148
29-11-2020,ATL,LV,43,6,1,NFL_2020/2021,usa/nfl-2020-2021/atlanta-falcons-las-vegas-raiders-bVpWVGXM/,153,-180
22-11-2020,NO,ATL,24,9,1,NFL_2020/2021,usa/nfl-2020-2021/new-orleans-saints-atlanta-falcons-CvhpMu4b/,-197,162
08-11-2020,ATL,DEN,34,27,1,NFL_2020/2021,usa/nfl-2020-2021/atlanta-falcons-denver-broncos-E3zGGPAL/,-222,181
29-10-2020,CAR,ATL,17,25,0,NFL_2020/2021,usa/nfl-2020-2021/carolina-panthers-atlanta-falcons-tv4or54d/,-123,103
25-10-2020,ATL,DET,22,23,0,NFL_2020/2021,usa/nfl-2020-2021/atlanta-falcons-detroit-lions-f1ESlGLB/,-120,-103
18-10-2020,MIN,ATL,23,40,0,NFL_2020/2021,usa/nfl-2020-2021/minnesota-vikings-atlanta-falcons-CIdxva7g/,-192,161
11-10-2020,ATL,CAR,16,23,0,NFL_2020/2021,usa/nfl-2020-2021/atlanta-falcons-carolina-panthers-jZvXBtO0/,-144,120
05-10-2020,GB,ATL,30,16,1,NFL_2020/2021,usa/nfl-2020-2021/green-bay-packers-atlanta-falcons-4ItPD2gl/,-242,200
27-09-2020,ATL,CHI,26,30,0,NFL_2020/2021,usa/nfl-2020-2021/atlanta-falcons-chicago-bears-SfnjGG3B/,-137,114
20-09-2020,DAL,ATL,40,39,1,NFL_2020/2021,usa/nfl-2020-2021/dallas-cowboys-atlanta-falcons-zLgPOmjE/,-162,139
13-09-2020,ATL,SEA,25,38,0,NFL_2020/2021,usa/nfl-2020-2021/atlanta-falcons-seattle-seahawks-YVeJdV6L/,-114,-107
29-12-2019,TB,ATL,22,28,0,NFL_2019/2020,usa/nfl-2019-2020/tampa-bay-buccaneers-atlanta-falcons-dfjSUbLt/,-117,-102
22-12-2019,ATL,JAX,24,12,1,NFL_2019/2020,usa/nfl-2019-2020/atlanta-falcons-jacksonville-jaguars-n5CULLrQ/,-335,266
15-12-2019,SF,ATL,22,29,0,NFL_2019/2020,usa/nfl-2019-2020/san-francisco-49ers-atlanta-falcons-Kvd1ou7D/,-483,360
08-12-2019,ATL,CAR,40,20,1,NFL_2019/2020,usa/nfl-2019-2020/atlanta-falcons-carolina-panthers-CzUjqeub/,-188,158
28-11-2019,ATL,NO,18,26,0,NFL_2019/2020,usa/nfl-2019-2020/atlanta-falcons-new-orleans-saints-GpnnFGQH/,280,-347
24-11-2019,ATL,TB,22,35,0,NFL_2019/2020,usa/nfl-2019-2020/atlanta-falcons-tampa-bay-buccaneers-UBYaG55f/,-189,159
17-11-2019,CAR,ATL,3,29,0,NFL_2019/2020,usa/nfl-2019-2020/carolina-panthers-atlanta-falcons-EJph5Kud/,-201,166
10-11-2019,NO,ATL,9,26,0,NFL_2019/2020,usa/nfl-2019-2020/new-orleans-saints-atlanta-falcons-Sl7Bhsdj/,-800,543
27-10-2019,ATL,SEA,20,27,0,NFL_2019/2020,usa/nfl-2019-2020/atlanta-falcons-seattle-seahawks-YPGvZea0/,275,-347
20-10-2019,ATL,LAR,10,37,0,NFL_2019/2020,usa/nfl-2019-2020/atlanta-falcons-los-angeles-rams-OfcdMIFf/,145,-168
13-10-2019,ARI,ATL,34,33,1,NFL_2019/2020,usa/nfl-2019-2020/arizona-cardinals-atlanta-falcons-QPdN9uWl/,136,-159
06-10-2019,HOU,ATL,53,32,1,NFL_2019/2020,usa/nfl-2019-2020/houston-texans-atlanta-falcons-bBbtakIT/,-207,174
29-09-2019,ATL,TEN,10,24,0,NFL_2019/2020,usa/nfl-2019-2020/atlanta-falcons-tennessee-titans-d8sFcfRI/,-174,150
22-09-2019,IND,ATL,27,24,1,NFL_2019/2020,usa/nfl-2019-2020/indianapolis-colts-atlanta-falcons-QsrSbq6e/,-119,101
15-09-2019,ATL,PHI,24,20,1,NFL_2019/2020,usa/nfl-2019-2020/atlanta-falcons-philadelphia-eagles-CvIhppi2/,-105,-113
