team_1,team_2,score_1,score_2,game_url
CHI,CAR,36,10,usa/nfl/chicago-bears-carolina-panthers-2qHzU8DO/
CHI,LAR,24,18,usa/nfl/chicago-bears-los-angeles-rams-Ik6IV9RE/
IND,CHI,21,16,usa/nfl/indianapolis-colts-chicago-bears-lpRlzVH7/
HOU,CHI,19,13,usa/nfl/houston-texans-chicago-bears-25pfoeQ8/
CHI,TEN,24,17,usa/nfl/chicago-bears-tennessee-titans-2P4vB2Rs/
KC,CHI,21,34,usa/nfl/kansas-city-chiefs-chicago-bears-GQ7mMZ5b/
CHI,CIN,27,3,usa/nfl/chicago-bears-cincinnati-bengals-hnTQGJCL/
BUF,CHI,6,33,usa/nfl/buffalo-bills-chicago-bears-0K4kn87U/
CHI,HOU,21,17,usa/nfl/chicago-bears-houston-texans-YFBHqmHq/
GB,CHI,17,9,usa/nfl-2023-2024/green-bay-packers-chicago-bears-Ye7z0VBd/
CHI,ATL,37,17,usa/nfl-2023-2024/chicago-bears-atlanta-falcons-pfL0AOTn/
CHI,ARI,27,16,usa/nfl-2023-2024/chicago-bears-arizona-cardinals-WjeRePEg/
CLE,CHI,20,17,usa/nfl-2023-2024/cleveland-browns-chicago-bears-INwGklhK/
CHI,DET,28,13,usa/nfl-2023-2024/chicago-bears-detroit-lions-WlrTLIXM/
MIN,CHI,10,12,usa/nfl-2023-2024/minnesota-vikings-chicago-bears-zTiUEqKu/
DET,CHI,31,26,usa/nfl-2023-2024/detroit-lions-chicago-bears-UR8q15Yr/
CHI,CAR,16,13,usa/nfl-2023-2024/chicago-bears-carolina-panthers-KI64ukCM/
NO,CHI,24,17,usa/nfl-2023-2024/new-orleans-saints-chicago-bears-zVW0LTKj/
LAC,CHI,30,13,usa/nfl-2023-2024/los-angeles-chargers-chicago-bears-2Hd1XZDo/
CHI,LV,30,12,usa/nfl-2023-2024/chicago-bears-las-vegas-raiders-z9wM34gl/
CHI,MIN,13,19,usa/nfl-2023-2024/chicago-bears-minnesota-vikings-Of37b9H8/
WSH,CHI,20,40,usa/nfl-2023-2024/washington-commanders-chicago-bears-fDxd4dYN/
CHI,DEN,28,31,usa/nfl-2023-2024/chicago-bears-denver-broncos-WAP5guK5/
KC,CHI,41,10,usa/nfl-2023-2024/kansas-city-chiefs-chicago-bears-QJqyv0KI/
TB,CHI,27,17,usa/nfl-2023-2024/tampa-bay-buccaneers-chicago-bears-AkfESBFk/
CHI,GB,20,38,usa/nfl-2023-2024/chicago-bears-green-bay-packers-QcjdMzgG/
CHI,BUF,21,24,usa/nfl-2023-2024/chicago-bears-buffalo-bills-bTc48tKN/
IND,CHI,24,17,usa/nfl-2023-2024/indianapolis-colts-chicago-bears-drQCaoyg/
CHI,TEN,23,17,usa/nfl-2023-2024/chicago-bears-tennessee-titans-t8TybYal/
CHI,MIN,13,29,usa/nfl-2022-2023/chicago-bears-minnesota-vikings-t0XRABVN/
DET,CHI,41,10,usa/nfl-2022-2023/detroit-lions-chicago-bears-t8cRnVOb/
CHI,BUF,13,35,usa/nfl-2022-2023/chicago-bears-buffalo-bills-nXdJJWfC/
CHI,PHI,20,25,usa/nfl-2022-2023/chicago-bears-philadelphia-eagles-UX3RL1Kr/
CHI,GB,19,28,usa/nfl-2022-2023/chicago-bears-green-bay-packers-8OO6qK17/
NYJ,CHI,31,10,usa/nfl-2022-2023/new-york-jets-chicago-bears-0vcHY2mk/
ATL,CHI,27,24,usa/nfl-2022-2023/atlanta-falcons-chicago-bears-fJXwPhKN/
CHI,DET,30,31,usa/nfl-2022-2023/chicago-bears-detroit-lions-vT4hDeLB/
CHI,MIA,32,35,usa/nfl-2022-2023/chicago-bears-miami-dolphins-2Nmb3Kim/
DAL,CHI,49,29,usa/nfl-2022-2023/dallas-cowboys-chicago-bears-dCm4onW1/
NE,CHI,14,33,usa/nfl-2022-2023/new-england-patriots-chicago-bears-Aeohllnq/
CHI,WSH,7,12,usa/nfl-2022-2023/chicago-bears-washington-commanders-K8N7Pqho/
MIN,CHI,29,22,usa/nfl-2022-2023/minnesota-vikings-chicago-bears-8QodUYwD/
NYG,CHI,20,12,usa/nfl-2022-2023/new-york-giants-chicago-bears-0tK6JHPf/
CHI,HOU,23,20,usa/nfl-2022-2023/chicago-bears-houston-texans-MBSMbslS/
GB,CHI,27,10,usa/nfl-2022-2023/green-bay-packers-chicago-bears-ngzA1q49/
CHI,SF,19,10,usa/nfl-2022-2023/chicago-bears-san-francisco-49ers-EBjMigIf/
CLE,CHI,20,21,usa/nfl-2022-2023/cleveland-browns-chicago-bears-f3Lww8WE/
SEA,CHI,11,27,usa/nfl-2022-2023/seattle-seahawks-chicago-bears-xSYlQ9VB/
CHI,KC,19,14,usa/nfl-2022-2023/chicago-bears-kansas-city-chiefs-CAWNBAGI/
MIN,CHI,31,17,usa/nfl-2021-2022/minnesota-vikings-chicago-bears-W0IxFrB6/
CHI,NYG,29,3,usa/nfl-2021-2022/chicago-bears-new-york-giants-OGnq57sr/
SEA,CHI,24,25,usa/nfl-2021-2022/seattle-seahawks-chicago-bears-48BTAxE3/
CHI,MIN,9,17,usa/nfl-2021-2022/chicago-bears-minnesota-vikings-ABHo0Lao/
GB,CHI,45,30,usa/nfl-2021-2022/green-bay-packers-chicago-bears-WSCrTL7O/
CHI,ARI,22,33,usa/nfl-2021-2022/chicago-bears-arizona-cardinals-ALMPGiI1/
DET,CHI,14,16,usa/nfl-2021-2022/detroit-lions-chicago-bears-hrVdhHZq/
CHI,BAL,13,16,usa/nfl-2021-2022/chicago-bears-baltimore-ravens-6oc91LCc/
PIT,CHI,29,27,usa/nfl-2021-2022/pittsburgh-steelers-chicago-bears-CQMwNYwr/
