date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
29-09-2024,CHI,LAR,24,18,1,NFL,usa/nfl/chicago-bears-los-angeles-rams-Ik6IV9RE/,-172,142,-159,150
22-09-2024,IND,CHI,21,16,1,NFL,usa/nfl/indianapolis-colts-chicago-bears-lpRlzVH7/,-130,108,-116,117
15-09-2024,HOU,CHI,19,13,1,NFL,usa/nfl/houston-texans-chicago-bears-25pfoeQ8/,-282,226,-263,242
08-09-2024,CHI,TEN,24,17,1,NFL,usa/nfl/chicago-bears-tennessee-titans-2P4vB2Rs/,-208,171,-189,184
22-08-2024,KC,CHI,21,34,0,NFL,usa/nfl/kansas-city-chiefs-chicago-bears-GQ7mMZ5b/,127,-162,140,-137
17-08-2024,CHI,CIN,27,3,1,NFL,usa/nfl/chicago-bears-cincinnati-bengals-hnTQGJCL/,-322,234,-294,250
10-08-2024,BUF,CHI,6,33,0,NFL,usa/nfl/buffalo-bills-chicago-bears-0K4kn87U/,-168,130,-156,140
01-08-2024,CHI,HOU,21,17,1,NFL,usa/nfl/chicago-bears-houston-texans-YFBHqmHq/,118,-150,140,-135
07-01-2024,GB,CHI,17,9,1,NFL_2023/2024,usa/nfl-2023-2024/green-bay-packers-chicago-bears-Ye7z0VBd/,-150,127,-139,147
31-12-2023,CHI,ATL,37,17,1,NFL_2023/2024,usa/nfl-2023-2024/chicago-bears-atlanta-falcons-pfL0AOTn/,-149,123,-141,129
24-12-2023,CHI,ARI,27,16,1,NFL_2023/2024,usa/nfl-2023-2024/chicago-bears-arizona-cardinals-WjeRePEg/,-219,180,-200,192
17-12-2023,CLE,CHI,20,17,1,NFL_2023/2024,usa/nfl-2023-2024/cleveland-browns-chicago-bears-INwGklhK/,-151,125,-143,140
10-12-2023,CHI,DET,28,13,1,NFL_2023/2024,usa/nfl-2023-2024/chicago-bears-detroit-lions-WlrTLIXM/,143,-172,179,-159
27-11-2023,MIN,CHI,10,12,0,NFL_2023/2024,usa/nfl-2023-2024/minnesota-vikings-chicago-bears-zTiUEqKu/,-162,137,-152,152
19-11-2023,DET,CHI,31,26,1,NFL_2023/2024,usa/nfl-2023-2024/detroit-lions-chicago-bears-UR8q15Yr/,-388,299,-357,330
09-11-2023,CHI,CAR,16,13,1,NFL_2023/2024,usa/nfl-2023-2024/chicago-bears-carolina-panthers-KI64ukCM/,-180,149,-169,166
05-11-2023,NO,CHI,24,17,1,NFL_2023/2024,usa/nfl-2023-2024/new-orleans-saints-chicago-bears-zVW0LTKj/,-432,329,-385,359
29-10-2023,LAC,CHI,30,13,1,NFL_2023/2024,usa/nfl-2023-2024/los-angeles-chargers-chicago-bears-2Hd1XZDo/,-484,359,-435,400
22-10-2023,CHI,LV,30,12,1,NFL_2023/2024,usa/nfl-2023-2024/chicago-bears-las-vegas-raiders-z9wM34gl/,115,-138,125,-130
15-10-2023,CHI,MIN,13,19,0,NFL_2023/2024,usa/nfl-2023-2024/chicago-bears-minnesota-vikings-Of37b9H8/,134,-160,140,-152
05-10-2023,WSH,CHI,20,40,0,NFL_2023/2024,usa/nfl-2023-2024/washington-commanders-chicago-bears-fDxd4dYN/,-270,213,-250,242
01-10-2023,CHI,DEN,28,31,0,NFL_2023/2024,usa/nfl-2023-2024/chicago-bears-denver-broncos-WAP5guK5/,128,-153,145,-143
24-09-2023,KC,CHI,41,10,1,NFL_2023/2024,usa/nfl-2023-2024/kansas-city-chiefs-chicago-bears-QJqyv0KI/,-745,495,-667,550
17-09-2023,TB,CHI,27,17,1,NFL_2023/2024,usa/nfl-2023-2024/tampa-bay-buccaneers-chicago-bears-AkfESBFk/,-134,112,-128,121
10-09-2023,CHI,GB,20,38,0,NFL_2023/2024,usa/nfl-2023-2024/chicago-bears-green-bay-packers-QcjdMzgG/,-121,101,-118,112
26-08-2023,CHI,BUF,21,24,0,NFL_2023/2024,usa/nfl-2023-2024/chicago-bears-buffalo-bills-bTc48tKN/,154,-199,165,-179
19-08-2023,IND,CHI,24,17,1,NFL_2023/2024,usa/nfl-2023-2024/indianapolis-colts-chicago-bears-drQCaoyg/,-237,179,-208,190
12-08-2023,CHI,TEN,23,17,1,NFL_2023/2024,usa/nfl-2023-2024/chicago-bears-tennessee-titans-t8TybYal/,-196,152,-169,160
08-01-2023,CHI,MIN,13,29,0,NFL_2022/2023,usa/nfl-2022-2023/chicago-bears-minnesota-vikings-t0XRABVN/,228,-282,240,-263
01-01-2023,DET,CHI,41,10,1,NFL_2022/2023,usa/nfl-2022-2023/detroit-lions-chicago-bears-t8cRnVOb/,-218,179,-192,210
24-12-2022,CHI,BUF,13,35,0,NFL_2022/2023,usa/nfl-2022-2023/chicago-bears-buffalo-bills-nXdJJWfC/,298,-376,340,-333
18-12-2022,CHI,PHI,20,25,0,NFL_2022/2023,usa/nfl-2022-2023/chicago-bears-philadelphia-eagles-UX3RL1Kr/,306,-398,323,-385
04-12-2022,CHI,GB,19,28,0,NFL_2022/2023,usa/nfl-2022-2023/chicago-bears-green-bay-packers-8OO6qK17/,154,-185,168,-175
