team_1,team_2,score_1,score_2,game_url
WSH,CLE,34,13,usa/nfl/washington-commanders-cleveland-browns-0vHzQaCj/
LV,CLE,20,16,usa/nfl/las-vegas-raiders-cleveland-browns-UHwfHVTI/
CLE,NYG,15,21,usa/nfl/cleveland-browns-new-york-giants-GWStxime/
JAX,CLE,13,18,usa/nfl/jacksonville-jaguars-cleveland-browns-hGzICzKq/
CLE,DAL,17,33,usa/nfl/cleveland-browns-dallas-cowboys-zXF1lOW7/
SEA,CLE,37,33,usa/nfl/seattle-seahawks-cleveland-browns-pv3KqU3M/
CLE,MIN,12,27,usa/nfl/cleveland-browns-minnesota-vikings-tC1E7FZ7/
CLE,GB,10,23,usa/nfl/cleveland-browns-green-bay-packers-prw84kNb/
HOU,CLE,45,14,usa/nfl-2023-2024/houston-texans-cleveland-browns-0xKQFK5L/
CIN,CLE,31,14,usa/nfl-2023-2024/cincinnati-bengals-cleveland-browns-xUDR1isp/
CLE,NYJ,37,20,usa/nfl-2023-2024/cleveland-browns-new-york-jets-YFirhsEI/
HOU,CLE,22,36,usa/nfl-2023-2024/houston-texans-cleveland-browns-xlx4vOqJ/
CLE,CHI,20,17,usa/nfl-2023-2024/cleveland-browns-chicago-bears-INwGklhK/
CLE,JAX,31,27,usa/nfl-2023-2024/cleveland-browns-jacksonville-jaguars-GMJaGdep/
LAR,CLE,36,19,usa/nfl-2023-2024/los-angeles-rams-cleveland-browns-fqm4RM3o/
DEN,CLE,29,12,usa/nfl-2023-2024/denver-broncos-cleveland-browns-OlOBd24B/
CLE,PIT,13,10,usa/nfl-2023-2024/cleveland-browns-pittsburgh-steelers-SIMH5oQR/
BAL,CLE,31,33,usa/nfl-2023-2024/baltimore-ravens-cleveland-browns-EgL7v9RS/
CLE,ARI,27,0,usa/nfl-2023-2024/cleveland-browns-arizona-cardinals-p0hMSBSG/
SEA,CLE,24,20,usa/nfl-2023-2024/seattle-seahawks-cleveland-browns-hnVlSvx6/
IND,CLE,38,39,usa/nfl-2023-2024/indianapolis-colts-cleveland-browns-UVxQ2O8f/
CLE,SF,19,17,usa/nfl-2023-2024/cleveland-browns-san-francisco-49ers-U7Y7dmnL/
CLE,BAL,3,28,usa/nfl-2023-2024/cleveland-browns-baltimore-ravens-QXO9haZB/
CLE,TEN,27,3,usa/nfl-2023-2024/cleveland-browns-tennessee-titans-Eab1RMzD/
PIT,CLE,26,22,usa/nfl-2023-2024/pittsburgh-steelers-cleveland-browns-Qw6lUOjf/
CLE,CIN,24,3,usa/nfl-2023-2024/cleveland-browns-cincinnati-bengals-IZg02F1p/
KC,CLE,33,32,usa/nfl-2023-2024/kansas-city-chiefs-cleveland-browns-UBlz3Kso/
PHI,CLE,18,18,usa/nfl-2023-2024/philadelphia-eagles-cleveland-browns-AmLhfjaD/
CLE,WSH,15,17,usa/nfl-2023-2024/cleveland-browns-washington-commanders-niP24zNK/
CLE,NYJ,21,16,usa/nfl-2023-2024/cleveland-browns-new-york-jets-tfl3qZpe/
PIT,CLE,28,14,usa/nfl-2022-2023/pittsburgh-steelers-cleveland-browns-xjua9JBG/
WSH,CLE,10,24,usa/nfl-2022-2023/washington-commanders-cleveland-browns-6Btk2AOo/
CLE,NO,10,17,usa/nfl-2022-2023/cleveland-browns-new-orleans-saints-t8BMIjAI/
CLE,BAL,13,3,usa/nfl-2022-2023/cleveland-browns-baltimore-ravens-WAX2GF1n/
CIN,CLE,23,10,usa/nfl-2022-2023/cincinnati-bengals-cleveland-browns-x2JGjJOt/
HOU,CLE,14,27,usa/nfl-2022-2023/houston-texans-cleveland-browns-zVGh7NgE/
CLE,TB,23,17,usa/nfl-2022-2023/cleveland-browns-tampa-bay-buccaneers-nXGtu5AL/
BUF,CLE,31,23,usa/nfl-2022-2023/buffalo-bills-cleveland-browns-OYN9JWso/
MIA,CLE,39,17,usa/nfl-2022-2023/miami-dolphins-cleveland-browns-zeb1BZkO/
CLE,CIN,32,13,usa/nfl-2022-2023/cleveland-browns-cincinnati-bengals-tCoV9MEJ/
BAL,CLE,23,20,usa/nfl-2022-2023/baltimore-ravens-cleveland-browns-Q3ovsXvG/
CLE,NE,15,38,usa/nfl-2022-2023/cleveland-browns-new-england-patriots-nFFgmmph/
CLE,LAC,28,30,usa/nfl-2022-2023/cleveland-browns-los-angeles-chargers-M9mlWf90/
ATL,CLE,23,20,usa/nfl-2022-2023/atlanta-falcons-cleveland-browns-0IyKSL28/
CLE,PIT,29,17,usa/nfl-2022-2023/cleveland-browns-pittsburgh-steelers-QqZD03JF/
CLE,NYJ,30,31,usa/nfl-2022-2023/cleveland-browns-new-york-jets-rqWM2Yrn/
CAR,CLE,24,26,usa/nfl-2022-2023/carolina-panthers-cleveland-browns-pxnIhZ2l/
CLE,CHI,20,21,usa/nfl-2022-2023/cleveland-browns-chicago-bears-f3Lww8WE/
CLE,PHI,20,21,usa/nfl-2022-2023/cleveland-browns-philadelphia-eagles-IqF4Kvaj/
JAX,CLE,13,24,usa/nfl-2022-2023/jacksonville-jaguars-cleveland-browns-06k2GY1m/
CLE,CIN,21,16,usa/nfl-2021-2022/cleveland-browns-cincinnati-bengals-d410UNAg/
PIT,CLE,26,14,usa/nfl-2021-2022/pittsburgh-steelers-cleveland-browns-tIKfN63Q/
GB,CLE,24,22,usa/nfl-2021-2022/green-bay-packers-cleveland-browns-WQ5fbaUc/
CLE,LV,14,16,usa/nfl-2021-2022/cleveland-browns-las-vegas-raiders-GpSVq3At/
CLE,BAL,24,22,usa/nfl-2021-2022/cleveland-browns-baltimore-ravens-lpLRW38a/
BAL,CLE,16,10,usa/nfl-2021-2022/baltimore-ravens-cleveland-browns-GboURHQ2/
CLE,DET,13,10,usa/nfl-2021-2022/cleveland-browns-detroit-lions-f7TjqvcT/
NE,CLE,45,7,usa/nfl-2021-2022/new-england-patriots-cleveland-browns-SbfkuYaQ/
CIN,CLE,16,41,usa/nfl-2021-2022/cincinnati-bengals-cleveland-browns-n9KC8ZOl/
CLE,PIT,10,15,usa/nfl-2021-2022/cleveland-browns-pittsburgh-steelers-zq0rYwVo/
CLE,DEN,17,14,usa/nfl-2021-2022/cleveland-browns-denver-broncos-no0W5Log/
CLE,ARI,14,37,usa/nfl-2021-2022/cleveland-browns-arizona-cardinals-bT5HlKGI/
LAC,CLE,47,42,usa/nfl-2021-2022/los-angeles-chargers-cleveland-browns-0foFt5Is/
MIN,CLE,7,14,usa/nfl-2021-2022/minnesota-vikings-cleveland-browns-2uJTYGK3/
CLE,CHI,26,6,usa/nfl-2021-2022/cleveland-browns-chicago-bears-rHNL5IjH/
