team_1,team_2,score_1,score_2,game_url
SEA,SF,24,36,usa/nfl/seattle-seahawks-san-francisco-49ers-zVzCbKIF/
SEA,NYG,20,29,usa/nfl/seattle-seahawks-new-york-giants-EssAvaRq/
DET,SEA,42,29,usa/nfl/detroit-lions-seattle-seahawks-Y3PJXjEa/
SEA,MIA,24,3,usa/nfl/seattle-seahawks-miami-dolphins-8pCqh3wg/
NE,SEA,20,23,usa/nfl/new-england-patriots-seattle-seahawks-txHCYHt3/
SEA,DEN,26,20,usa/nfl/seattle-seahawks-denver-broncos-6NAwKcAC/
SEA,CLE,37,33,usa/nfl/seattle-seahawks-cleveland-browns-pv3KqU3M/
TEN,SEA,16,15,usa/nfl/tennessee-titans-seattle-seahawks-tWPeKhJD/
LAC,SEA,3,16,usa/nfl/los-angeles-chargers-seattle-seahawks-0IZr62b3/
ARI,SEA,20,21,usa/nfl-2023-2024/arizona-cardinals-seattle-seahawks-SfOi8g4G/
SEA,PIT,23,30,usa/nfl-2023-2024/seattle-seahawks-pittsburgh-steelers-0rXzCy5i/
TEN,SEA,17,20,usa/nfl-2023-2024/tennessee-titans-seattle-seahawks-Ay7Icops/
SEA,PHI,20,17,usa/nfl-2023-2024/seattle-seahawks-philadelphia-eagles-WGvIUnGf/
SF,SEA,28,16,usa/nfl-2023-2024/san-francisco-49ers-seattle-seahawks-xS4fxvI3/
DAL,SEA,41,35,usa/nfl-2023-2024/dallas-cowboys-seattle-seahawks-n3eYD3Zo/
SEA,SF,13,31,usa/nfl-2023-2024/seattle-seahawks-san-francisco-49ers-SbGvbfOI/
LAR,SEA,17,16,usa/nfl-2023-2024/los-angeles-rams-seattle-seahawks-4dPJ2I9m/
SEA,WSH,29,26,usa/nfl-2023-2024/seattle-seahawks-washington-commanders-6mpohSeS/
BAL,SEA,37,3,usa/nfl-2023-2024/baltimore-ravens-seattle-seahawks-69gITiDA/
SEA,CLE,24,20,usa/nfl-2023-2024/seattle-seahawks-cleveland-browns-hnVlSvx6/
SEA,ARI,20,10,usa/nfl-2023-2024/seattle-seahawks-arizona-cardinals-AoIONPpK/
CIN,SEA,17,13,usa/nfl-2023-2024/cincinnati-bengals-seattle-seahawks-jHZ3cTWE/
NYG,SEA,3,24,usa/nfl-2023-2024/new-york-giants-seattle-seahawks-tAYi5xJH/
SEA,CAR,37,27,usa/nfl-2023-2024/seattle-seahawks-carolina-panthers-h6oTuMk6/
DET,SEA,31,37,usa/nfl-2023-2024/detroit-lions-seattle-seahawks-CEEwZDxM/
SEA,LAR,13,30,usa/nfl-2023-2024/seattle-seahawks-los-angeles-rams-IeVzFhoj/
GB,SEA,19,15,usa/nfl-2023-2024/green-bay-packers-seattle-seahawks-hjc870ZT/
SEA,DAL,22,14,usa/nfl-2023-2024/seattle-seahawks-dallas-cowboys-v1f8xLY3/
SEA,MIN,24,13,usa/nfl-2023-2024/seattle-seahawks-minnesota-vikings-WbDHFcRj/
SF,SEA,41,23,usa/nfl-2022-2023/san-francisco-49ers-seattle-seahawks-QZNgL70C/
SEA,LAR,19,16,usa/nfl-2022-2023/seattle-seahawks-los-angeles-rams-ri8LQKti/
SEA,NYJ,23,6,usa/nfl-2022-2023/seattle-seahawks-new-york-jets-Eypc0lgb/
KC,SEA,24,10,usa/nfl-2022-2023/kansas-city-chiefs-seattle-seahawks-KbAQHAPO/
SEA,SF,13,21,usa/nfl-2022-2023/seattle-seahawks-san-francisco-49ers-p0SfRNdL/
SEA,CAR,24,30,usa/nfl-2022-2023/seattle-seahawks-carolina-panthers-lK31TnNp/
LAR,SEA,23,27,usa/nfl-2022-2023/los-angeles-rams-seattle-seahawks-SSeXaunl/
SEA,LV,34,40,usa/nfl-2022-2023/seattle-seahawks-las-vegas-raiders-8fcBfpA8/
TB,SEA,21,16,usa/nfl-2022-2023/tampa-bay-buccaneers-seattle-seahawks-4YjuBcbp/
ARI,SEA,21,31,usa/nfl-2022-2023/arizona-cardinals-seattle-seahawks-tYM5MabP/
SEA,NYG,27,13,usa/nfl-2022-2023/seattle-seahawks-new-york-giants-E5gqnJMC/
LAC,SEA,23,37,usa/nfl-2022-2023/los-angeles-chargers-seattle-seahawks-IcAHfj9F/
SEA,ARI,19,9,usa/nfl-2022-2023/seattle-seahawks-arizona-cardinals-hjTtxNyi/
NO,SEA,39,32,usa/nfl-2022-2023/new-orleans-saints-seattle-seahawks-nem8yjot/
DET,SEA,45,48,usa/nfl-2022-2023/detroit-lions-seattle-seahawks-nZwWPJnR/
SEA,ATL,23,27,usa/nfl-2022-2023/seattle-seahawks-atlanta-falcons-WpvS7KQr/
SF,SEA,27,7,usa/nfl-2022-2023/san-francisco-49ers-seattle-seahawks-bJvGu2sj/
SEA,DEN,17,16,usa/nfl-2022-2023/seattle-seahawks-denver-broncos-dE66kOhO/
DAL,SEA,27,26,usa/nfl-2022-2023/dallas-cowboys-seattle-seahawks-WChBwK5S/
SEA,CHI,11,27,usa/nfl-2022-2023/seattle-seahawks-chicago-bears-xSYlQ9VB/
PIT,SEA,32,25,usa/nfl-2022-2023/pittsburgh-steelers-seattle-seahawks-vHO9ZD8P/
ARI,SEA,30,38,usa/nfl-2021-2022/arizona-cardinals-seattle-seahawks-0dbHQuAI/
SEA,DET,51,29,usa/nfl-2021-2022/seattle-seahawks-detroit-lions-84MnPSYD/
SEA,CHI,24,25,usa/nfl-2021-2022/seattle-seahawks-chicago-bears-48BTAxE3/
LAR,SEA,20,10,usa/nfl-2021-2022/los-angeles-rams-seattle-seahawks-KnxxtIET/
HOU,SEA,13,33,usa/nfl-2021-2022/houston-texans-seattle-seahawks-dntmvnGP/
SEA,SF,30,23,usa/nfl-2021-2022/seattle-seahawks-san-francisco-49ers-GIsoKQOg/
WSH,SEA,17,15,usa/nfl-2021-2022/washington-commanders-seattle-seahawks-SYlYQyt9/
SEA,ARI,13,23,usa/nfl-2021-2022/seattle-seahawks-arizona-cardinals-0pjIaasA/
GB,SEA,17,0,usa/nfl-2021-2022/green-bay-packers-seattle-seahawks-YaZTXkh0/
SEA,JAX,31,7,usa/nfl-2021-2022/seattle-seahawks-jacksonville-jaguars-bP9XBmEq/
SEA,NO,10,13,usa/nfl-2021-2022/seattle-seahawks-new-orleans-saints-GvXLGx0B/
PIT,SEA,23,20,usa/nfl-2021-2022/pittsburgh-steelers-seattle-seahawks-SrpV7sHt/
SEA,LAR,17,26,usa/nfl-2021-2022/seattle-seahawks-los-angeles-rams-S287pEJF/
SF,SEA,21,28,usa/nfl-2021-2022/san-francisco-49ers-seattle-seahawks-WGO4QhSq/
MIN,SEA,30,17,usa/nfl-2021-2022/minnesota-vikings-seattle-seahawks-K2ljLcj4/
SEA,TEN,30,33,usa/nfl-2021-2022/seattle-seahawks-tennessee-titans-CYWu5o06/
IND,SEA,16,28,usa/nfl-2021-2022/indianapolis-colts-seattle-seahawks-OERMd2jk/
SEA,LAC,27,0,usa/nfl-2021-2022/seattle-seahawks-los-angeles-chargers-6eUoe3xO/
SEA,DEN,3,30,usa/nfl-2021-2022/seattle-seahawks-denver-broncos-lYdB5dfE/
LV,SEA,20,7,usa/nfl-2021-2022/las-vegas-raiders-seattle-seahawks-YRTUuCFM/
SEA,LAR,20,30,usa/nfl-2020-2021/seattle-seahawks-los-angeles-rams-QmkInpvk/
SF,SEA,23,26,usa/nfl-2020-2021/san-francisco-49ers-seattle-seahawks-voEIfFSD/
SEA,LAR,20,9,usa/nfl-2020-2021/seattle-seahawks-los-angeles-rams-GrucUIE8/
WSH,SEA,15,20,usa/nfl-2020-2021/washington-commanders-seattle-seahawks-vP0lWJSb/
SEA,NYJ,40,3,usa/nfl-2020-2021/seattle-seahawks-new-york-jets-Yq3U5NEg/
SEA,NYG,12,17,usa/nfl-2020-2021/seattle-seahawks-new-york-giants-KMIVlVw2/
PHI,SEA,17,23,usa/nfl-2020-2021/philadelphia-eagles-seattle-seahawks-pjopwYvj/
SEA,ARI,28,21,usa/nfl-2020-2021/seattle-seahawks-arizona-cardinals-xMaXOsKu/
LAR,SEA,23,16,usa/nfl-2020-2021/los-angeles-rams-seattle-seahawks-IsjDJnr0/
BUF,SEA,44,34,usa/nfl-2020-2021/buffalo-bills-seattle-seahawks-dSPKFqQR/
SEA,SF,37,27,usa/nfl-2020-2021/seattle-seahawks-san-francisco-49ers-SfSSfrl2/
ARI,SEA,37,34,usa/nfl-2020-2021/arizona-cardinals-seattle-seahawks-0Mq13Fz5/
SEA,MIN,27,26,usa/nfl-2020-2021/seattle-seahawks-minnesota-vikings-KSBMMcxJ/
MIA,SEA,23,31,usa/nfl-2020-2021/miami-dolphins-seattle-seahawks-EkgMGV9S/
SEA,DAL,38,31,usa/nfl-2020-2021/seattle-seahawks-dallas-cowboys-691j3CuT/
SEA,NE,35,30,usa/nfl-2020-2021/seattle-seahawks-new-england-patriots-tvpvJIJh/
ATL,SEA,25,38,usa/nfl-2020-2021/atlanta-falcons-seattle-seahawks-YVeJdV6L/
GB,SEA,28,23,usa/nfl-2019-2020/green-bay-packers-seattle-seahawks-roosgBnl/
PHI,SEA,9,17,usa/nfl-2019-2020/philadelphia-eagles-seattle-seahawks-xplww60k/
SEA,SF,21,26,usa/nfl-2019-2020/seattle-seahawks-san-francisco-49ers-OUqLOrG4/
SEA,ARI,13,27,usa/nfl-2019-2020/seattle-seahawks-arizona-cardinals-EFd9Ewy0/
CAR,SEA,24,30,usa/nfl-2019-2020/carolina-panthers-seattle-seahawks-WE7DnUoj/
LAR,SEA,28,12,usa/nfl-2019-2020/los-angeles-rams-seattle-seahawks-I7RxgW8M/
SEA,MIN,37,30,usa/nfl-2019-2020/seattle-seahawks-minnesota-vikings-vNVroHAo/
