team_1,team_2,score_1,score_2,game_url
ATL,TB,36,30,usa/nfl/atlanta-falcons-tampa-bay-buccaneers-fJDSVUrC/
TB,PHI,33,16,usa/nfl/tampa-bay-buccaneers-philadelphia-eagles-fy7bSexK/
TB,DEN,7,26,usa/nfl/tampa-bay-buccaneers-denver-broncos-x4SPyrgC/
DET,TB,16,20,usa/nfl/detroit-lions-tampa-bay-buccaneers-xrZpKIR9/
TB,WSH,37,20,usa/nfl/tampa-bay-buccaneers-washington-commanders-jDXA1kfo/
TB,MIA,24,14,usa/nfl/tampa-bay-buccaneers-miami-dolphins-Ik44Ii5N/
JAX,TB,20,7,usa/nfl/jacksonville-jaguars-tampa-bay-buccaneers-fwtCMr0s/
CIN,TB,14,17,usa/nfl/cincinnati-bengals-tampa-bay-buccaneers-6cRG2TiB/
DET,TB,31,23,usa/nfl-2023-2024/detroit-lions-tampa-bay-buccaneers-jqIgpo8U/
TB,PHI,32,9,usa/nfl-2023-2024/tampa-bay-buccaneers-philadelphia-eagles-QJcTgAND/
CAR,TB,0,9,usa/nfl-2023-2024/carolina-panthers-tampa-bay-buccaneers-zLRa6XYS/
TB,NO,13,23,usa/nfl-2023-2024/tampa-bay-buccaneers-new-orleans-saints-pzkllYCp/
TB,JAX,30,12,usa/nfl-2023-2024/tampa-bay-buccaneers-jacksonville-jaguars-lS5Md5am/
GB,TB,20,34,usa/nfl-2023-2024/green-bay-packers-tampa-bay-buccaneers-UmInF7G7/
ATL,TB,25,29,usa/nfl-2023-2024/atlanta-falcons-tampa-bay-buccaneers-OOvLNv3A/
TB,CAR,21,18,usa/nfl-2023-2024/tampa-bay-buccaneers-carolina-panthers-b7xf9ulH/
IND,TB,27,20,usa/nfl-2023-2024/indianapolis-colts-tampa-bay-buccaneers-f9Wf0p5n/
SF,TB,27,14,usa/nfl-2023-2024/san-francisco-49ers-tampa-bay-buccaneers-QDhnLQPE/
TB,TEN,20,6,usa/nfl-2023-2024/tampa-bay-buccaneers-tennessee-titans-4OmUeAd3/
HOU,TB,39,37,usa/nfl-2023-2024/houston-texans-tampa-bay-buccaneers-vaoVQkcT/
BUF,TB,24,18,usa/nfl-2023-2024/buffalo-bills-tampa-bay-buccaneers-KKi8F1h0/
TB,ATL,13,16,usa/nfl-2023-2024/tampa-bay-buccaneers-atlanta-falcons-4lVx0MhD/
TB,DET,6,20,usa/nfl-2023-2024/tampa-bay-buccaneers-detroit-lions-M5Dnk5ve/
NO,TB,9,26,usa/nfl-2023-2024/new-orleans-saints-tampa-bay-buccaneers-0jHMkcJU/
TB,PHI,11,25,usa/nfl-2023-2024/tampa-bay-buccaneers-philadelphia-eagles-tSRN13CP/
TB,CHI,27,17,usa/nfl-2023-2024/tampa-bay-buccaneers-chicago-bears-AkfESBFk/
MIN,TB,17,20,usa/nfl-2023-2024/minnesota-vikings-tampa-bay-buccaneers-dIbuQIgi/
TB,BAL,26,20,usa/nfl-2023-2024/tampa-bay-buccaneers-baltimore-ravens-4rtQPskb/
NYJ,TB,6,13,usa/nfl-2023-2024/new-york-jets-tampa-bay-buccaneers-dx53w1Jc/
TB,PIT,17,27,usa/nfl-2023-2024/tampa-bay-buccaneers-pittsburgh-steelers-YNXtMalN/
TB,DAL,14,31,usa/nfl-2022-2023/tampa-bay-buccaneers-dallas-cowboys-rBIbKRFI/
ATL,TB,30,17,usa/nfl-2022-2023/atlanta-falcons-tampa-bay-buccaneers-pYwJCX0B/
TB,CAR,30,24,usa/nfl-2022-2023/tampa-bay-buccaneers-carolina-panthers-4626wRoo/
ARI,TB,16,19,usa/nfl-2022-2023/arizona-cardinals-tampa-bay-buccaneers-GQP4VTgO/
TB,CIN,23,34,usa/nfl-2022-2023/tampa-bay-buccaneers-cincinnati-bengals-OjmUuNBE/
SF,TB,35,7,usa/nfl-2022-2023/san-francisco-49ers-tampa-bay-buccaneers-xzcqhWao/
TB,NO,17,16,usa/nfl-2022-2023/tampa-bay-buccaneers-new-orleans-saints-8riheH0J/
CLE,TB,23,17,usa/nfl-2022-2023/cleveland-browns-tampa-bay-buccaneers-nXGtu5AL/
TB,SEA,21,16,usa/nfl-2022-2023/tampa-bay-buccaneers-seattle-seahawks-4YjuBcbp/
TB,LAR,16,13,usa/nfl-2022-2023/tampa-bay-buccaneers-los-angeles-rams-GQDXHJ6t/
TB,BAL,22,27,usa/nfl-2022-2023/tampa-bay-buccaneers-baltimore-ravens-Obkdm81k/
CAR,TB,21,3,usa/nfl-2022-2023/carolina-panthers-tampa-bay-buccaneers-xvkrtifM/
PIT,TB,20,18,usa/nfl-2022-2023/pittsburgh-steelers-tampa-bay-buccaneers-M7xBsqET/
TB,ATL,21,15,usa/nfl-2022-2023/tampa-bay-buccaneers-atlanta-falcons-fLjGZTFh/
TB,KC,31,41,usa/nfl-2022-2023/tampa-bay-buccaneers-kansas-city-chiefs-UB89wwHQ/
TB,GB,12,14,usa/nfl-2022-2023/tampa-bay-buccaneers-green-bay-packers-E9TW6vtk/
