date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
29-09-2024,TB,PHI,33,16,1,NFL,usa/nfl/tampa-bay-buccaneers-philadelphia-eagles-fy7bSexK/,100,-121
22-09-2024,TB,DEN,7,26,0,NFL,usa/nfl/tampa-bay-buccaneers-denver-broncos-x4SPyrgC/,-263,211
15-09-2024,DET,TB,16,20,0,NFL,usa/nfl/detroit-lions-tampa-bay-buccaneers-xrZpKIR9/,-375,290
08-09-2024,TB,WSH,37,20,1,NFL,usa/nfl/tampa-bay-buccaneers-washington-commanders-jDXA1kfo/,-207,170
23-08-2024,TB,MIA,24,14,1,NFL,usa/nfl/tampa-bay-buccaneers-miami-dolphins-Ik44Ii5N/,-183,142
17-08-2024,JAX,TB,20,7,1,NFL,usa/nfl/jacksonville-jaguars-tampa-bay-buccaneers-fwtCMr0s/,-191,148
10-08-2024,CIN,TB,14,17,0,NFL,usa/nfl/cincinnati-bengals-tampa-bay-buccaneers-6cRG2TiB/,-256,192
21-01-2024,DET,TB,31,23,1,NFL_2023/2024,usa/nfl-2023-2024/detroit-lions-tampa-bay-buccaneers-jqIgpo8U/,-279,223
15-01-2024,TB,PHI,32,9,1,NFL_2023/2024,usa/nfl-2023-2024/tampa-bay-buccaneers-philadelphia-eagles-QJcTgAND/,132,-158
07-01-2024,CAR,TB,0,9,0,NFL_2023/2024,usa/nfl-2023-2024/carolina-panthers-tampa-bay-buccaneers-zLRa6XYS/,191,-235
31-12-2023,TB,NO,13,23,0,NFL_2023/2024,usa/nfl-2023-2024/tampa-bay-buccaneers-new-orleans-saints-pzkllYCp/,-149,124
24-12-2023,TB,JAX,30,12,1,NFL_2023/2024,usa/nfl-2023-2024/tampa-bay-buccaneers-jacksonville-jaguars-lS5Md5am/,106,-128
17-12-2023,GB,TB,20,34,0,NFL_2023/2024,usa/nfl-2023-2024/green-bay-packers-tampa-bay-buccaneers-UmInF7G7/,-200,164
10-12-2023,ATL,TB,25,29,0,NFL_2023/2024,usa/nfl-2023-2024/atlanta-falcons-tampa-bay-buccaneers-OOvLNv3A/,-127,106
03-12-2023,TB,CAR,21,18,1,NFL_2023/2024,usa/nfl-2023-2024/tampa-bay-buccaneers-carolina-panthers-b7xf9ulH/,-203,168
26-11-2023,IND,TB,27,20,1,NFL_2023/2024,usa/nfl-2023-2024/indianapolis-colts-tampa-bay-buccaneers-f9Wf0p5n/,-148,122
19-11-2023,SF,TB,27,14,1,NFL_2023/2024,usa/nfl-2023-2024/san-francisco-49ers-tampa-bay-buccaneers-QDhnLQPE/,-822,548
12-11-2023,TB,TEN,20,6,1,NFL_2023/2024,usa/nfl-2023-2024/tampa-bay-buccaneers-tennessee-titans-4OmUeAd3/,-144,120
05-11-2023,HOU,TB,39,37,1,NFL_2023/2024,usa/nfl-2023-2024/houston-texans-tampa-bay-buccaneers-vaoVQkcT/,-150,126
26-10-2023,BUF,TB,24,18,1,NFL_2023/2024,usa/nfl-2023-2024/buffalo-bills-tampa-bay-buccaneers-KKi8F1h0/,-488,360
22-10-2023,TB,ATL,13,16,0,NFL_2023/2024,usa/nfl-2023-2024/tampa-bay-buccaneers-atlanta-falcons-4lVx0MhD/,-149,124
15-10-2023,TB,DET,6,20,0,NFL_2023/2024,usa/nfl-2023-2024/tampa-bay-buccaneers-detroit-lions-M5Dnk5ve/,135,-162
01-10-2023,NO,TB,9,26,0,NFL_2023/2024,usa/nfl-2023-2024/new-orleans-saints-tampa-bay-buccaneers-0jHMkcJU/,-217,176
25-09-2023,TB,PHI,11,25,0,NFL_2023/2024,usa/nfl-2023-2024/tampa-bay-buccaneers-philadelphia-eagles-tSRN13CP/,208,-256
17-09-2023,TB,CHI,27,17,1,NFL_2023/2024,usa/nfl-2023-2024/tampa-bay-buccaneers-chicago-bears-AkfESBFk/,-134,112
10-09-2023,MIN,TB,17,20,0,NFL_2023/2024,usa/nfl-2023-2024/minnesota-vikings-tampa-bay-buccaneers-dIbuQIgi/,-208,171
26-08-2023,TB,BAL,26,20,1,NFL_2023/2024,usa/nfl-2023-2024/tampa-bay-buccaneers-baltimore-ravens-4rtQPskb/,-134,104
19-08-2023,NYJ,TB,6,13,0,NFL_2023/2024,usa/nfl-2023-2024/new-york-jets-tampa-bay-buccaneers-dx53w1Jc/,-162,129
11-08-2023,TB,PIT,17,27,0,NFL_2023/2024,usa/nfl-2023-2024/tampa-bay-buccaneers-pittsburgh-steelers-YNXtMalN/,131,-168
16-01-2023,TB,DAL,14,31,0,NFL_2022/2023,usa/nfl-2022-2023/tampa-bay-buccaneers-dallas-cowboys-rBIbKRFI/,118,-140
08-01-2023,ATL,TB,30,17,1,NFL_2022/2023,usa/nfl-2022-2023/atlanta-falcons-tampa-bay-buccaneers-pYwJCX0B/,-251,205
01-01-2023,TB,CAR,30,24,1,NFL_2022/2023,usa/nfl-2022-2023/tampa-bay-buccaneers-carolina-panthers-4626wRoo/,-191,158
25-12-2022,ARI,TB,16,19,0,NFL_2022/2023,usa/nfl-2022-2023/arizona-cardinals-tampa-bay-buccaneers-GQP4VTgO/,282,-360
18-12-2022,TB,CIN,23,34,0,NFL_2022/2023,usa/nfl-2022-2023/tampa-bay-buccaneers-cincinnati-bengals-OjmUuNBE/,154,-185
11-12-2022,SF,TB,35,7,1,NFL_2022/2023,usa/nfl-2022-2023/san-francisco-49ers-tampa-bay-buccaneers-xzcqhWao/,-194,162
05-12-2022,TB,NO,17,16,1,NFL_2022/2023,usa/nfl-2022-2023/tampa-bay-buccaneers-new-orleans-saints-8riheH0J/,-192,159
27-11-2022,CLE,TB,23,17,1,NFL_2022/2023,usa/nfl-2022-2023/cleveland-browns-tampa-bay-buccaneers-nXGtu5AL/,146,-175
13-11-2022,TB,SEA,21,16,1,NFL_2022/2023,usa/nfl-2022-2023/tampa-bay-buccaneers-seattle-seahawks-4YjuBcbp/,-147,120
06-11-2022,TB,LAR,16,13,1,NFL_2022/2023,usa/nfl-2022-2023/tampa-bay-buccaneers-los-angeles-rams-GQDXHJ6t/,-160,132
27-10-2022,TB,BAL,22,27,0,NFL_2022/2023,usa/nfl-2022-2023/tampa-bay-buccaneers-baltimore-ravens-Obkdm81k/,-131,109
23-10-2022,CAR,TB,21,3,1,NFL_2022/2023,usa/nfl-2022-2023/carolina-panthers-tampa-bay-buccaneers-xvkrtifM/,506,-743
16-10-2022,PIT,TB,20,18,1,NFL_2022/2023,usa/nfl-2022-2023/pittsburgh-steelers-tampa-bay-buccaneers-M7xBsqET/,332,-433
09-10-2022,TB,ATL,21,15,1,NFL_2022/2023,usa/nfl-2022-2023/tampa-bay-buccaneers-atlanta-falcons-fLjGZTFh/,-500,377
02-10-2022,TB,KC,31,41,0,NFL_2022/2023,usa/nfl-2022-2023/tampa-bay-buccaneers-kansas-city-chiefs-UB89wwHQ/,-130,109
25-09-2022,TB,GB,12,14,0,NFL_2022/2023,usa/nfl-2022-2023/tampa-bay-buccaneers-green-bay-packers-E9TW6vtk/,-125,104
18-09-2022,NO,TB,10,20,0,NFL_2022/2023,usa/nfl-2022-2023/new-orleans-saints-tampa-bay-buccaneers-W4OZaWS4/,118,-143
11-09-2022,DAL,TB,3,19,0,NFL_2022/2023,usa/nfl-2022-2023/dallas-cowboys-tampa-bay-buccaneers-Sv22j4wI/,115,-138
27-08-2022,IND,TB,27,10,1,NFL_2022/2023,usa/nfl-2022-2023/indianapolis-colts-tampa-bay-buccaneers-GI9nyn1R/,-175,133
20-08-2022,TEN,TB,13,3,1,NFL_2022/2023,usa/nfl-2022-2023/tennessee-titans-tampa-bay-buccaneers-8AuLS2iA/,-169,129
13-08-2022,TB,MIA,24,26,0,NFL_2022/2023,usa/nfl-2022-2023/tampa-bay-buccaneers-miami-dolphins-tQAyVXGt/,-120,-108
23-01-2022,TB,LAR,27,30,0,NFL_2021/2022,usa/nfl-2021-2022/tampa-bay-buccaneers-los-angeles-rams-j1is1ngq/,-149,127
16-01-2022,TB,PHI,31,15,1,NFL_2021/2022,usa/nfl-2021-2022/tampa-bay-buccaneers-philadelphia-eagles-fRiA1lbf/,-330,265
09-01-2022,TB,CAR,41,17,1,NFL_2021/2022,usa/nfl-2021-2022/tampa-bay-buccaneers-carolina-panthers-EP7sE2QC/,-508,385
02-01-2022,NYJ,TB,24,28,0,NFL_2021/2022,usa/nfl-2021-2022/new-york-jets-tampa-bay-buccaneers-4CJMm6C7/,596,-901
26-12-2021,CAR,TB,6,32,0,NFL_2021/2022,usa/nfl-2021-2022/carolina-panthers-tampa-bay-buccaneers-Ofw7gyqT/,378,-500
19-12-2021,TB,NO,0,9,0,NFL_2021/2022,usa/nfl-2021-2022/tampa-bay-buccaneers-new-orleans-saints-MeO3yxNp/,-565,427
12-12-2021,TB,BUF,33,27,1,NFL_2021/2022,usa/nfl-2021-2022/tampa-bay-buccaneers-buffalo-bills-O2DvU1hI/,-171,148
05-12-2021,ATL,TB,17,30,0,NFL_2021/2022,usa/nfl-2021-2022/atlanta-falcons-tampa-bay-buccaneers-l4R4veA8/,391,-513
28-11-2021,IND,TB,31,38,0,NFL_2021/2022,usa/nfl-2021-2022/indianapolis-colts-tampa-bay-buccaneers-2DCmFvsc/,128,-150
22-11-2021,TB,NYG,30,10,1,NFL_2021/2022,usa/nfl-2021-2022/tampa-bay-buccaneers-new-york-giants-jZrVdcRS/,-534,402
14-11-2021,WSH,TB,29,19,1,NFL_2021/2022,usa/nfl-2021-2022/washington-commanders-tampa-bay-buccaneers-pGEjKWN0/,343,-438
31-10-2021,NO,TB,36,27,1,NFL_2021/2022,usa/nfl-2021-2022/new-orleans-saints-tampa-bay-buccaneers-Wx8uARrd/,164,-193
24-10-2021,TB,CHI,38,3,1,NFL_2021/2022,usa/nfl-2021-2022/tampa-bay-buccaneers-chicago-bears-KCwDIbVb/,-690,495
14-10-2021,PHI,TB,22,28,0,NFL_2021/2022,usa/nfl-2021-2022/philadelphia-eagles-tampa-bay-buccaneers-21jwy1nJ/,242,-297
10-10-2021,TB,MIA,45,17,1,NFL_2021/2022,usa/nfl-2021-2022/tampa-bay-buccaneers-miami-dolphins-z9sixjRe/,-606,445
03-10-2021,NE,TB,17,19,0,NFL_2021/2022,usa/nfl-2021-2022/new-england-patriots-tampa-bay-buccaneers-Kx5anzk3/,228,-277
26-09-2021,LAR,TB,34,24,1,NFL_2021/2022,usa/nfl-2021-2022/los-angeles-rams-tampa-bay-buccaneers-xvqeKH5A/,-107,-110
19-09-2021,TB,ATL,48,25,1,NFL_2021/2022,usa/nfl-2021-2022/tampa-bay-buccaneers-atlanta-falcons-YsYy6Rp0/,-777,538
09-09-2021,TB,DAL,31,29,1,NFL_2021/2022,usa/nfl-2021-2022/tampa-bay-buccaneers-dallas-cowboys-reAisNj2/,-440,344
28-08-2021,HOU,TB,16,23,0,NFL_2021/2022,usa/nfl-2021-2022/houston-texans-tampa-bay-buccaneers-OET6fWoD/,168,-211
21-08-2021,TB,TEN,3,34,0,NFL_2021/2022,usa/nfl-2021-2022/tampa-bay-buccaneers-tennessee-titans-Asb76xu8/,-113,-111
14-08-2021,TB,CIN,14,19,0,NFL_2021/2022,usa/nfl-2021-2022/tampa-bay-buccaneers-cincinnati-bengals-b9D9YT7d/,-264,206
07-02-2021,TB,KC,31,9,1,NFL_2020/2021,usa/nfl-2020-2021/tampa-bay-buccaneers-kansas-city-chiefs-254G7rIq/,124,-131
24-01-2021,GB,TB,26,31,0,NFL_2020/2021,usa/nfl-2020-2021/green-bay-packers-tampa-bay-buccaneers-2D6QilM6/,-179,154
17-01-2021,NO,TB,20,30,0,NFL_2020/2021,usa/nfl-2020-2021/new-orleans-saints-tampa-bay-buccaneers-MocBtN7R/,-141,120
09-01-2021,WSH,TB,23,31,0,NFL_2020/2021,usa/nfl-2020-2021/washington-commanders-tampa-bay-buccaneers-C4iUqrO7/,367,-483
03-01-2021,TB,ATL,44,27,1,NFL_2020/2021,usa/nfl-2020-2021/tampa-bay-buccaneers-atlanta-falcons-80rJZDjl/,-338,272
26-12-2020,DET,TB,7,47,0,NFL_2020/2021,usa/nfl-2020-2021/detroit-lions-tampa-bay-buccaneers-4SqCoaSo/,457,-640
20-12-2020,ATL,TB,27,31,0,NFL_2020/2021,usa/nfl-2020-2021/atlanta-falcons-tampa-bay-buccaneers-SpXVDxDU/,223,-271
13-12-2020,TB,MIN,26,14,1,NFL_2020/2021,usa/nfl-2020-2021/tampa-bay-buccaneers-minnesota-vikings-82JkD5MJ/,-311,250
29-11-2020,TB,KC,24,27,0,NFL_2020/2021,usa/nfl-2020-2021/tampa-bay-buccaneers-kansas-city-chiefs-E7fErfHS/,151,-177
23-11-2020,TB,LAR,24,27,0,NFL_2020/2021,usa/nfl-2020-2021/tampa-bay-buccaneers-los-angeles-rams-WIgFZbYc/,-210,175
15-11-2020,CAR,TB,23,46,0,NFL_2020/2021,usa/nfl-2020-2021/carolina-panthers-tampa-bay-buccaneers-QqBYQUkQ/,215,-263
08-11-2020,TB,NO,3,38,0,NFL_2020/2021,usa/nfl-2020-2021/tampa-bay-buccaneers-new-orleans-saints-hCjPOM2r/,-180,150
02-11-2020,NYG,TB,23,25,0,NFL_2020/2021,usa/nfl-2020-2021/new-york-giants-tampa-bay-buccaneers-6wX7Iot9/,504,-714
25-10-2020,LV,TB,20,45,0,NFL_2020/2021,usa/nfl-2020-2021/las-vegas-raiders-tampa-bay-buccaneers-pCAxpRZq/,164,-199
18-10-2020,TB,GB,38,10,1,NFL_2020/2021,usa/nfl-2020-2021/tampa-bay-buccaneers-green-bay-packers-hxIBhbMn/,125,-150
08-10-2020,CHI,TB,20,19,1,NFL_2020/2021,usa/nfl-2020-2021/chicago-bears-tampa-bay-buccaneers-CrtTCM8f/,165,-197
04-10-2020,TB,LAC,38,31,1,NFL_2020/2021,usa/nfl-2020-2021/tampa-bay-buccaneers-los-angeles-chargers-lrplCkIq/,-357,284
27-09-2020,DEN,TB,10,28,0,NFL_2020/2021,usa/nfl-2020-2021/denver-broncos-tampa-bay-buccaneers-Ye3r5YAG/,217,-266
20-09-2020,TB,CAR,31,17,1,NFL_2020/2021,usa/nfl-2020-2021/tampa-bay-buccaneers-carolina-panthers-j9LL0y4O/,-359,283
13-09-2020,NO,TB,34,23,1,NFL_2020/2021,usa/nfl-2020-2021/new-orleans-saints-tampa-bay-buccaneers-YiXg98jR/,-191,159
29-12-2019,TB,ATL,22,28,0,NFL_2019/2020,usa/nfl-2019-2020/tampa-bay-buccaneers-atlanta-falcons-dfjSUbLt/,-117,-102
21-12-2019,TB,HOU,20,23,0,NFL_2019/2020,usa/nfl-2019-2020/tampa-bay-buccaneers-houston-texans-8EDQM1TJ/,132,-156
15-12-2019,DET,TB,17,38,0,NFL_2019/2020,usa/nfl-2019-2020/detroit-lions-tampa-bay-buccaneers-ja4pkN7l/,203,-248
08-12-2019,TB,IND,38,35,1,NFL_2019/2020,usa/nfl-2019-2020/tampa-bay-buccaneers-indianapolis-colts-OAXfrFf4/,-169,142
01-12-2019,JAX,TB,11,28,0,NFL_2019/2020,usa/nfl-2019-2020/jacksonville-jaguars-tampa-bay-buccaneers-p0A9WHeh/,132,-157
24-11-2019,ATL,TB,22,35,0,NFL_2019/2020,usa/nfl-2019-2020/atlanta-falcons-tampa-bay-buccaneers-UBYaG55f/,-189,159
