date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
29-09-2024,ARI,WSH,14,42,0,NFL,usa/nfl/arizona-cardinals-washington-commanders-QJcUMZas/,-182,150
23-09-2024,CIN,WSH,33,38,0,NFL,usa/nfl/cincinnati-bengals-washington-commanders-xvqZ2KiB/,-348,270
15-09-2024,WSH,NYG,21,18,1,NFL,usa/nfl/washington-commanders-new-york-giants-r1DTUZuS/,-123,102
08-09-2024,TB,WSH,37,20,1,NFL,usa/nfl/tampa-bay-buccaneers-washington-commanders-jDXA1kfo/,-207,170
25-08-2024,WSH,NE,20,10,1,NFL,usa/nfl/washington-commanders-new-england-patriots-hpQo0kl3/,230,-313
17-08-2024,MIA,WSH,13,6,1,NFL,usa/nfl/miami-dolphins-washington-commanders-v7TvOzKl/,-255,192
10-08-2024,NYJ,WSH,20,17,1,NFL,usa/nfl/new-york-jets-washington-commanders-S66slUxI/,135,-173
07-01-2024,WSH,DAL,10,38,0,NFL_2023/2024,usa/nfl-2023-2024/washington-commanders-dallas-cowboys-pGhAC8e2/,536,-795
31-12-2023,WSH,SF,10,27,0,NFL_2023/2024,usa/nfl-2023-2024/washington-commanders-san-francisco-49ers-OQmhmhSj/,590,-923
24-12-2023,NYJ,WSH,30,28,1,NFL_2023/2024,usa/nfl-2023-2024/new-york-jets-washington-commanders-IqFj2RyQ/,-162,135
17-12-2023,LAR,WSH,28,20,1,NFL_2023/2024,usa/nfl-2023-2024/los-angeles-rams-washington-commanders-b3tAW8or/,-309,245
03-12-2023,WSH,MIA,15,45,0,NFL_2023/2024,usa/nfl-2023-2024/washington-commanders-miami-dolphins-6Xu27JIT/,320,-408
23-11-2023,DAL,WSH,45,10,1,NFL_2023/2024,usa/nfl-2023-2024/dallas-cowboys-washington-commanders-YyHzaz9C/,-743,511
19-11-2023,WSH,NYG,19,31,0,NFL_2023/2024,usa/nfl-2023-2024/washington-commanders-new-york-giants-nNgrM6A8/,-383,298
12-11-2023,SEA,WSH,29,26,1,NFL_2023/2024,usa/nfl-2023-2024/seattle-seahawks-washington-commanders-6mpohSeS/,-261,211
05-11-2023,NE,WSH,17,20,0,NFL_2023/2024,usa/nfl-2023-2024/new-england-patriots-washington-commanders-dvYdM95p/,-152,126
29-10-2023,WSH,PHI,31,38,0,NFL_2023/2024,usa/nfl-2023-2024/washington-commanders-philadelphia-eagles-bPVpTKMa/,253,-321
