team_1,team_2,score_1,score_2,game_url
BOS,LAK,2,1,usa/nhl/boston-bruins-los-angeles-kings-rajUlyLH/
BOS,MTL,6,4,usa/nhl/boston-bruins-montreal-canadiens-6PwITFtm/
FLA,BOS,6,4,usa/nhl/florida-panthers-boston-bruins-hUeRatCL/
WSH,BOS,2,0,usa/nhl/washington-capitals-boston-bruins-EDcaJ2Rk/
LAK,BOS,4,1,usa/nhl/los-angeles-kings-boston-bruins-WhfzPO3S/
BOS,PHI,4,1,usa/nhl/boston-bruins-philadelphia-flyers-8YV9CfE5/
PHI,BOS,3,2,usa/nhl/philadelphia-flyers-boston-bruins-4tZhGxFt/
NYR,BOS,5,2,usa/nhl/new-york-rangers-boston-bruins-n9hvHF4b/
BOS,WSH,4,2,usa/nhl/boston-bruins-washington-capitals-2D2JS643/
BOS,NYR,2,3,usa/nhl/boston-bruins-new-york-rangers-zVOLbYlU/
BOS,FLA,1,2,usa/nhl-2023-2024/boston-bruins-florida-panthers-6wVkZ4Cr/
FLA,BOS,1,2,usa/nhl-2023-2024/florida-panthers-boston-bruins-OA1pa31D/
BOS,FLA,2,3,usa/nhl-2023-2024/boston-bruins-florida-panthers-O2XYaMRP/
BOS,FLA,2,6,usa/nhl-2023-2024/boston-bruins-florida-panthers-ddumxJZI/
FLA,BOS,6,1,usa/nhl-2023-2024/florida-panthers-boston-bruins-zsivvu56/
FLA,BOS,1,5,usa/nhl-2023-2024/florida-panthers-boston-bruins-UqlWu1zf/
BOS,TOR,2,1,usa/nhl-2023-2024/boston-bruins-toronto-maple-leafs-phOcbFfS/
TOR,BOS,2,1,usa/nhl-2023-2024/toronto-maple-leafs-boston-bruins-p8rVQSXi/
BOS,TOR,1,2,usa/nhl-2023-2024/boston-bruins-toronto-maple-leafs-0xEBcIi5/
TOR,BOS,1,3,usa/nhl-2023-2024/toronto-maple-leafs-boston-bruins-2RBcmfcS/
TOR,BOS,2,4,usa/nhl-2023-2024/toronto-maple-leafs-boston-bruins-f18kkGSF/
BOS,TOR,2,3,usa/nhl-2023-2024/boston-bruins-toronto-maple-leafs-YoKtixb3/
BOS,TOR,5,1,usa/nhl-2023-2024/boston-bruins-toronto-maple-leafs-fNFcUgPh/
BOS,OTT,1,3,usa/nhl-2023-2024/boston-bruins-ottawa-senators-OEHWFG8i/
WSH,BOS,2,0,usa/nhl-2023-2024/washington-capitals-boston-bruins-E91SMUKr/
PIT,BOS,4,6,usa/nhl-2023-2024/pittsburgh-penguins-boston-bruins-tdsk9Bjq/
BOS,CAR,1,4,usa/nhl-2023-2024/boston-bruins-carolina-hurricanes-MHscjcp4/
BOS,FLA,3,2,usa/nhl-2023-2024/boston-bruins-florida-panthers-0t6sdSGP/
CAR,BOS,1,4,usa/nhl-2023-2024/carolina-hurricanes-boston-bruins-AwbGywED/
NSH,BOS,0,3,usa/nhl-2023-2024/nashville-predators-boston-bruins-vy1Av6HQ/
WSH,BOS,2,3,usa/nhl-2023-2024/washington-capitals-boston-bruins-AsYOS8IE/
TB,BOS,3,1,usa/nhl-2023-2024/tampa-bay-lightning-boston-bruins-GKnGaAlS/
FLA,BOS,3,4,usa/nhl-2023-2024/florida-panthers-boston-bruins-0WnCsBSq/
PHI,BOS,3,2,usa/nhl-2023-2024/philadelphia-flyers-boston-bruins-GMcglMqa/
BOS,NYR,2,5,usa/nhl-2023-2024/boston-bruins-new-york-rangers-CUv7xPpm/
BOS,OTT,6,2,usa/nhl-2023-2024/boston-bruins-ottawa-senators-htrTqt5s/
BOS,PHI,6,5,usa/nhl-2023-2024/boston-bruins-philadelphia-flyers-QyBOpSL9/
MTL,BOS,1,2,usa/nhl-2023-2024/montreal-canadiens-boston-bruins-0APLkBy3/
BOS,PIT,5,1,usa/nhl-2023-2024/boston-bruins-pittsburgh-penguins-WvDAkB8U/
