team_1,team_2,score_1,score_2,game_url
BUF,FLA,5,2,usa/nhl/buffalo-sabres-florida-panthers-4EvwmFkU/
BUF,LA,1,3,usa/nhl/buffalo-sabres-los-angeles-kings-IVVaEuRE/
NJ,BUF,3,1,usa/nhl/new-jersey-devils-buffalo-sabres-6Lmvvak2/
BUF,NJ,1,4,usa/nhl/buffalo-sabres-new-jersey-devils-lMfqrfvq/
BUF,DET,4,3,usa/nhl/buffalo-sabres-detroit-red-wings-OxtR6KLr/
CBJ,BUF,6,3,usa/nhl/columbus-blue-jackets-buffalo-sabres-UmAhQbLE/
OTT,BUF,2,3,usa/nhl/ottawa-senators-buffalo-sabres-4hafCtbL/
PIT,BUF,2,3,usa/nhl/pittsburgh-penguins-buffalo-sabres-GWIajay2/
BUF,CBJ,6,1,usa/nhl/buffalo-sabres-columbus-blue-jackets-xfN62eT7/
BUF,PIT,7,3,usa/nhl/buffalo-sabres-pittsburgh-penguins-UFKihL6k/
TB,BUF,2,4,usa/nhl-2023-2024/tampa-bay-lightning-buffalo-sabres-xlA0RACR/
FLA,BUF,3,2,usa/nhl-2023-2024/florida-panthers-buffalo-sabres-GEcAGgb9/
BUF,WSH,4,2,usa/nhl-2023-2024/buffalo-sabres-washington-capitals-Us7z4GE3/
DAL,BUF,3,2,usa/nhl-2023-2024/dallas-stars-buffalo-sabres-lUYDnFqT/
DET,BUF,3,1,usa/nhl-2023-2024/detroit-red-wings-buffalo-sabres-04pQm4O5/
BUF,PHI,4,2,usa/nhl-2023-2024/buffalo-sabres-philadelphia-flyers-UsVthbbf/
BUF,WSH,6,2,usa/nhl-2023-2024/buffalo-sabres-washington-capitals-WYJJHrAD/
BUF,TOR,0,3,usa/nhl-2023-2024/buffalo-sabres-toronto-maple-leafs-4v4uJX1H/
BUF,NJ,5,2,usa/nhl-2023-2024/buffalo-sabres-new-jersey-devils-UNCkE93L/
BUF,OTT,2,6,usa/nhl-2023-2024/buffalo-sabres-ottawa-senators-r9R85EXH/
CGY,BUF,1,4,usa/nhl-2023-2024/calgary-flames-buffalo-sabres-KCVIFbeP/
EDM,BUF,8,3,usa/nhl-2023-2024/edmonton-oilers-buffalo-sabres-rRKv2uRP/
VAN,BUF,3,2,usa/nhl-2023-2024/vancouver-canucks-buffalo-sabres-KhZqtb46/
SEA,BUF,2,6,usa/nhl-2023-2024/seattle-kraken-buffalo-sabres-Ol25URhQ/
DET,BUF,4,1,usa/nhl-2023-2024/detroit-red-wings-buffalo-sabres-bPZTOpaj/
BUF,NYI,4,0,usa/nhl-2023-2024/buffalo-sabres-new-york-islanders-Gn5jBRUj/
BUF,DET,7,3,usa/nhl-2023-2024/buffalo-sabres-detroit-red-wings-dM62Miwh/
BUF,EDM,3,2,usa/nhl-2023-2024/buffalo-sabres-edmonton-oilers-Eky8qhaN/
NSH,BUF,4,2,usa/nhl-2023-2024/nashville-predators-buffalo-sabres-8IJwcyAt/
TOR,BUF,2,1,usa/nhl-2023-2024/toronto-maple-leafs-buffalo-sabres-WC6UVYUN/
BUF,WPG,2,5,usa/nhl-2023-2024/buffalo-sabres-winnipeg-jets-vaqcV1vD/
BUF,VGK,7,2,usa/nhl-2023-2024/buffalo-sabres-vegas-golden-knights-MH5OkVQt/
TB,BUF,2,3,usa/nhl-2023-2024/tampa-bay-lightning-buffalo-sabres-W4bmh3Vs/
FLA,BUF,3,2,usa/nhl-2023-2024/florida-panthers-buffalo-sabres-txBpeWoM/
BUF,CAR,3,2,usa/nhl-2023-2024/buffalo-sabres-carolina-hurricanes-ITfoxiup/
CBJ,BUF,1,2,usa/nhl-2023-2024/columbus-blue-jackets-buffalo-sabres-t2fyUgmN/
MTL,BUF,2,3,usa/nhl-2023-2024/montreal-canadiens-buffalo-sabres-CfpgKSCS/
BUF,ANA,3,4,usa/nhl-2023-2024/buffalo-sabres-anaheim-ducks-vcKJF3SC/
MIN,BUF,2,3,usa/nhl-2023-2024/minnesota-wild-buffalo-sabres-IRsm2pbD/
BUF,FLA,0,4,usa/nhl-2023-2024/buffalo-sabres-florida-panthers-6TedCULK/
BUF,LA,7,0,usa/nhl-2023-2024/buffalo-sabres-los-angeles-kings-08QNcV6R/
BUF,DAL,1,2,usa/nhl-2023-2024/buffalo-sabres-dallas-stars-OhxdmNnh/
SJ,BUF,2,5,usa/nhl-2023-2024/san-jose-sharks-buffalo-sabres-M112XDyP/
LA,BUF,3,5,usa/nhl-2023-2024/los-angeles-kings-buffalo-sabres-vJqCMdN6/
ANA,BUF,4,2,usa/nhl-2023-2024/anaheim-ducks-buffalo-sabres-t8ZWV00K/
BUF,TB,1,3,usa/nhl-2023-2024/buffalo-sabres-tampa-bay-lightning-rJSPrWWu/
BUF,CHI,3,0,usa/nhl-2023-2024/buffalo-sabres-chicago-blackhawks-dSXyB9HO/
BUF,SJ,3,0,usa/nhl-2023-2024/buffalo-sabres-san-jose-sharks-Us3hDvse/
BUF,VAN,0,1,usa/nhl-2023-2024/buffalo-sabres-vancouver-canucks-GSjImWQT/
BUF,OTT,5,3,usa/nhl-2023-2024/buffalo-sabres-ottawa-senators-db6lfGsn/
BUF,SEA,2,5,usa/nhl-2023-2024/buffalo-sabres-seattle-kraken-E7UoEaAi/
PIT,BUF,1,3,usa/nhl-2023-2024/pittsburgh-penguins-buffalo-sabres-044Ca0eb/
MTL,BUF,1,6,usa/nhl-2023-2024/montreal-canadiens-buffalo-sabres-xxj0onaE/
OTT,BUF,5,1,usa/nhl-2023-2024/ottawa-senators-buffalo-sabres-8tztRdd2/
BUF,CBJ,3,2,usa/nhl-2023-2024/buffalo-sabres-columbus-blue-jackets-6uEutFb8/
BUF,BOS,1,4,usa/nhl-2023-2024/buffalo-sabres-boston-bruins-xlxWP28A/
NYR,BUF,4,3,usa/nhl-2023-2024/new-york-rangers-buffalo-sabres-xlG0AN8N/
BUF,TOR,9,3,usa/nhl-2023-2024/buffalo-sabres-toronto-maple-leafs-CEOSNWqg/
BUF,CBJ,4,9,usa/nhl-2023-2024/buffalo-sabres-columbus-blue-jackets-jccunmQ5/
ARI,BUF,2,0,usa/nhl-2023-2024/arizona-coyotes-buffalo-sabres-G8rJHeNJ/
VGK,BUF,2,5,usa/nhl-2023-2024/vegas-golden-knights-buffalo-sabres-Ym9FczWm/
COL,BUF,5,1,usa/nhl-2023-2024/colorado-avalanche-buffalo-sabres-vRmtqyHf/
BUF,ARI,5,2,usa/nhl-2023-2024/buffalo-sabres-arizona-coyotes-EPD7Uy21/
BUF,MTL,2,3,usa/nhl-2023-2024/buffalo-sabres-montreal-canadiens-YXh3H0nt/
BOS,BUF,1,3,usa/nhl-2023-2024/boston-bruins-buffalo-sabres-nysINTlH/
BUF,DET,3,5,usa/nhl-2023-2024/buffalo-sabres-detroit-red-wings-tGBq9UZN/
BUF,NSH,1,2,usa/nhl-2023-2024/buffalo-sabres-nashville-predators-l2MFFEjt/
CAR,BUF,6,2,usa/nhl-2023-2024/carolina-hurricanes-buffalo-sabres-ruhjH6Am/
NYR,BUF,1,5,usa/nhl-2023-2024/new-york-rangers-buffalo-sabres-YTf7ne5d/
NJ,BUF,7,2,usa/nhl-2023-2024/new-jersey-devils-buffalo-sabres-v7JBcLDc/
BUF,PIT,3,2,usa/nhl-2023-2024/buffalo-sabres-pittsburgh-penguins-IsE1uvbT/
WSH,BUF,4,3,usa/nhl-2023-2024/washington-capitals-buffalo-sabres-YeJHumhC/
CHI,BUF,2,3,usa/nhl-2023-2024/chicago-blackhawks-buffalo-sabres-6LazT986/
WPG,BUF,3,2,usa/nhl-2023-2024/winnipeg-jets-buffalo-sabres-vFNuKa7o/
BUF,BOS,2,5,usa/nhl-2023-2024/buffalo-sabres-boston-bruins-zkRj0jbM/
PIT,BUF,4,0,usa/nhl-2023-2024/pittsburgh-penguins-buffalo-sabres-dpmEnXTM/
BUF,MIN,3,2,usa/nhl-2023-2024/buffalo-sabres-minnesota-wild-GQRvYXET/
CAR,BUF,3,2,usa/nhl-2023-2024/carolina-hurricanes-buffalo-sabres-AqgVlKwm/
TOR,BUF,4,6,usa/nhl-2023-2024/toronto-maple-leafs-buffalo-sabres-nPGHbhu8/
BUF,PHI,1,5,usa/nhl-2023-2024/buffalo-sabres-philadelphia-flyers-OUPTWoI1/
PHI,BUF,2,5,usa/nhl-2023-2024/philadelphia-flyers-buffalo-sabres-j1wbJSm2/
BUF,COL,4,0,usa/nhl-2023-2024/buffalo-sabres-colorado-avalanche-fL4G6k4d/
NJ,BUF,5,4,usa/nhl-2023-2024/new-jersey-devils-buffalo-sabres-fiwLHFCc/
OTT,BUF,4,6,usa/nhl-2023-2024/ottawa-senators-buffalo-sabres-jss1XfPB/
BUF,MTL,1,3,usa/nhl-2023-2024/buffalo-sabres-montreal-canadiens-rHwgZGfa/
BUF,NYI,3,1,usa/nhl-2023-2024/buffalo-sabres-new-york-islanders-G8CXk6Nm/
BUF,CGY,3,4,usa/nhl-2023-2024/buffalo-sabres-calgary-flames-MsR2Oats/
BUF,TB,3,2,usa/nhl-2023-2024/buffalo-sabres-tampa-bay-lightning-MXBPM7g1/
NYI,BUF,3,2,usa/nhl-2023-2024/new-york-islanders-buffalo-sabres-OIBgxSyi/
BUF,NYR,1,5,usa/nhl-2023-2024/buffalo-sabres-new-york-rangers-IH6uVAUN/
BUF,PIT,4,7,usa/nhl-2023-2024/buffalo-sabres-pittsburgh-penguins-MHwGvXkH/
CBJ,BUF,5,3,usa/nhl-2023-2024/columbus-blue-jackets-buffalo-sabres-6c1wqns3/
BUF,CBJ,4,3,usa/nhl-2023-2024/buffalo-sabres-columbus-blue-jackets-8CrzpSRd/
PIT,BUF,3,1,usa/nhl-2023-2024/pittsburgh-penguins-buffalo-sabres-vglBuDzB/
TOR,BUF,5,2,usa/nhl-2023-2024/toronto-maple-leafs-buffalo-sabres-pY3DvCYJ/
BUF,BOS,4,1,usa/nhl-2023-2024/buffalo-sabres-boston-bruins-SInPn07c/
WSH,BUF,3,4,usa/nhl-2023-2024/washington-capitals-buffalo-sabres-674iLrkd/
CBJ,BUF,2,5,usa/nhl-2022-2023/columbus-blue-jackets-buffalo-sabres-0ClNm4Of/
