date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
12-10-2024,BUF,FLA,5,2,1,NHL,usa/nhl/buffalo-sabres-florida-panthers-4EvwmFkU/#home-away;1,-104,-112
10-10-2024,BUF,LA,1,3,0,NHL,usa/nhl/buffalo-sabres-los-angeles-kings-IVVaEuRE/#home-away;1,-110,-108
05-10-2024,NJ,BUF,3,1,1,NHL,usa/nhl/new-jersey-devils-buffalo-sabres-6Lmvvak2/#home-away;1,-139,117
04-10-2024,BUF,NJ,1,4,0,NHL,usa/nhl/buffalo-sabres-new-jersey-devils-lMfqrfvq/#home-away;1,126,-149
30-09-2024,BUF,DET,4,3,1,NHL,usa/nhl/buffalo-sabres-detroit-red-wings-OxtR6KLr/#home-away;1,-118,-125
28-09-2024,CBJ,BUF,6,3,1,NHL,usa/nhl/columbus-blue-jackets-buffalo-sabres-UmAhQbLE/#home-away;1,-583,397
26-09-2024,OTT,BUF,2,3,0,NHL,usa/nhl/ottawa-senators-buffalo-sabres-4hafCtbL/#home-away;1,-237,189
24-09-2024,PIT,BUF,2,3,0,NHL,usa/nhl/pittsburgh-penguins-buffalo-sabres-GWIajay2/#home-away;1,-219,175
23-09-2024,BUF,CBJ,6,1,1,NHL,usa/nhl/buffalo-sabres-columbus-blue-jackets-xfN62eT7/#home-away;1,-343,260
21-09-2024,BUF,PIT,7,3,1,NHL,usa/nhl/buffalo-sabres-pittsburgh-penguins-UFKihL6k/#home-away;1,-366,280
15-04-2024,TB,BUF,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/tampa-bay-lightning-buffalo-sabres-xlA0RACR/#home-away;1,-172,148
13-04-2024,FLA,BUF,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-buffalo-sabres-GEcAGgb9/#home-away;1,-220,187
11-04-2024,BUF,WSH,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-washington-capitals-Us7z4GE3/#home-away;1,-136,117
09-04-2024,DAL,BUF,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-buffalo-sabres-lUYDnFqT/#home-away;1,-220,186
07-04-2024,DET,BUF,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/detroit-red-wings-buffalo-sabres-04pQm4O5/#home-away;1,-126,107
05-04-2024,BUF,PHI,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-philadelphia-flyers-UsVthbbf/#home-away;1,-114,-103
02-04-2024,BUF,WSH,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-washington-capitals-WYJJHrAD/#home-away;1,-138,119
30-03-2024,BUF,TOR,0,3,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-toronto-maple-leafs-4v4uJX1H/#home-away;1,132,-153
29-03-2024,BUF,NJ,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-new-jersey-devils-UNCkE93L/#home-away;1,117,-136
27-03-2024,BUF,OTT,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-ottawa-senators-r9R85EXH/#home-away;1,-136,117
24-03-2024,CGY,BUF,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/calgary-flames-buffalo-sabres-KCVIFbeP/#home-away;1,117,-137
21-03-2024,EDM,BUF,8,3,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-buffalo-sabres-rRKv2uRP/#home-away;1,-235,198
19-03-2024,VAN,BUF,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-buffalo-sabres-KhZqtb46/#home-away;1,-201,171
18-03-2024,SEA,BUF,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-buffalo-sabres-Ol25URhQ/#home-away;1,-115,-102
16-03-2024,DET,BUF,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/detroit-red-wings-buffalo-sabres-bPZTOpaj/#home-away;1,105,-124
14-03-2024,BUF,NYI,4,0,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-new-york-islanders-Gn5jBRUj/#home-away;1,-103,-114
12-03-2024,BUF,DET,7,3,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-detroit-red-wings-dM62Miwh/#home-away;1,-126,108
09-03-2024,BUF,EDM,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-edmonton-oilers-Eky8qhaN/#home-away;1,156,-178
07-03-2024,NSH,BUF,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-buffalo-sabres-8IJwcyAt/#home-away;1,-176,150
06-03-2024,TOR,BUF,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/toronto-maple-leafs-buffalo-sabres-WC6UVYUN/#home-away;1,-182,156
03-03-2024,BUF,WPG,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-winnipeg-jets-vaqcV1vD/#home-away;1,-103,-115
02-03-2024,BUF,VGK,7,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-vegas-golden-knights-MH5OkVQt/#home-away;1,-107,-111
29-02-2024,TB,BUF,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/tampa-bay-lightning-buffalo-sabres-W4bmh3Vs/#home-away;1,-150,127
27-02-2024,FLA,BUF,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-buffalo-sabres-txBpeWoM/#home-away;1,-231,194
25-02-2024,BUF,CAR,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-carolina-hurricanes-ITfoxiup/#home-away;1,114,-135
23-02-2024,CBJ,BUF,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-buffalo-sabres-t2fyUgmN/#home-away;1,136,-159
21-02-2024,MTL,BUF,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/montreal-canadiens-buffalo-sabres-CfpgKSCS/#home-away;1,123,-144
19-02-2024,BUF,ANA,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-anaheim-ducks-vcKJF3SC/#home-away;1,-199,164
17-02-2024,MIN,BUF,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-buffalo-sabres-IRsm2pbD/#home-away;1,-141,119
15-02-2024,BUF,FLA,0,4,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-florida-panthers-6TedCULK/#home-away;1,148,-169
13-02-2024,BUF,LA,7,0,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-los-angeles-kings-08QNcV6R/#home-away;1,119,-141
06-02-2024,BUF,DAL,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-dallas-stars-OhxdmNnh/#home-away;1,134,-157
27-01-2024,SJ,BUF,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-buffalo-sabres-M112XDyP/#home-away;1,168,-200
24-01-2024,LA,BUF,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-buffalo-sabres-vJqCMdN6/#home-away;1,-193,163
23-01-2024,ANA,BUF,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-buffalo-sabres-t8ZWV00K/#home-away;1,149,-176
20-01-2024,BUF,TB,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-tampa-bay-lightning-rJSPrWWu/#home-away;1,-109,-109
18-01-2024,BUF,CHI,3,0,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-chicago-blackhawks-dSXyB9HO/#home-away;1,-278,228
15-01-2024,BUF,SJ,3,0,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-san-jose-sharks-Us3hDvse/#home-away;1,-276,229
13-01-2024,BUF,VAN,0,1,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-vancouver-canucks-GSjImWQT/#home-away;1,131,-152
11-01-2024,BUF,OTT,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-ottawa-senators-db6lfGsn/#home-away;1,-126,107
09-01-2024,BUF,SEA,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-seattle-kraken-E7UoEaAi/#home-away;1,-109,-107
06-01-2024,PIT,BUF,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-buffalo-sabres-044Ca0eb/#home-away;1,-162,140
04-01-2024,MTL,BUF,1,6,0,NHL_2023/2024,usa/nhl-2023-2024/montreal-canadiens-buffalo-sabres-xxj0onaE/#home-away;1,135,-156
31-12-2023,OTT,BUF,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-buffalo-sabres-8tztRdd2/#home-away;1,-150,130
30-12-2023,BUF,CBJ,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-columbus-blue-jackets-6uEutFb8/#home-away;1,-210,179
27-12-2023,BUF,BOS,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-boston-bruins-xlxWP28A/#home-away;1,139,-160
