team_1,team_2,score_1,score_2,game_url
COL,CBJ,4,6,usa/nhl/colorado-avalanche-columbus-blue-jackets-lzEUHZl4/
MIN,CBJ,3,2,usa/nhl/minnesota-wild-columbus-blue-jackets-hC2e3FID/
PIT,CBJ,7,3,usa/nhl/pittsburgh-penguins-columbus-blue-jackets-UoVY5UZa/
CBJ,PIT,1,3,usa/nhl/columbus-blue-jackets-pittsburgh-penguins-OlSQ7j5m/
STL,CBJ,1,3,usa/nhl/st-louis-blues-columbus-blue-jackets-6Rzor1Mt/
CBJ,WSH,2,3,usa/nhl/columbus-blue-jackets-washington-capitals-2NciJlOi/
CBJ,BUF,6,3,usa/nhl/columbus-blue-jackets-buffalo-sabres-UmAhQbLE/
WSH,CBJ,4,8,usa/nhl/washington-capitals-columbus-blue-jackets-AFe6eoWp/
CBJ,STL,3,0,usa/nhl/columbus-blue-jackets-st-louis-blues-8W8KRux0/
BUF,CBJ,6,1,usa/nhl/buffalo-sabres-columbus-blue-jackets-xfN62eT7/
CBJ,CAR,6,3,usa/nhl-2023-2024/columbus-blue-jackets-carolina-hurricanes-nNazL8ke/
NSH,CBJ,6,4,usa/nhl-2023-2024/nashville-predators-columbus-blue-jackets-02aMDirS/
FLA,CBJ,4,0,usa/nhl-2023-2024/florida-panthers-columbus-blue-jackets-8Y5v3zU9/
TB,CBJ,5,2,usa/nhl-2023-2024/tampa-bay-lightning-columbus-blue-jackets-AwzAmeUM/
CAR,CBJ,3,0,usa/nhl-2023-2024/carolina-hurricanes-columbus-blue-jackets-MJYYorgI/
CBJ,PHI,6,2,usa/nhl-2023-2024/columbus-blue-jackets-philadelphia-flyers-EmnIkQgg/
CBJ,NYI,2,4,usa/nhl-2023-2024/columbus-blue-jackets-new-york-islanders-Otnb0MjE/
CBJ,COL,4,1,usa/nhl-2023-2024/columbus-blue-jackets-colorado-avalanche-ljObM6er/
CBJ,PIT,4,3,usa/nhl-2023-2024/columbus-blue-jackets-pittsburgh-penguins-GriY5oB1/
PIT,CBJ,3,2,usa/nhl-2023-2024/pittsburgh-penguins-columbus-blue-jackets-URSjg8Re/
ARI,CBJ,6,2,usa/nhl-2023-2024/arizona-coyotes-columbus-blue-jackets-IRXA2C49/
VGK,CBJ,4,2,usa/nhl-2023-2024/vegas-golden-knights-columbus-blue-jackets-EHPJ4sUu/
COL,CBJ,6,1,usa/nhl-2023-2024/colorado-avalanche-columbus-blue-jackets-Kf4pjrFn/
