team_1,team_2,score_1,score_2,game_url
CGY,PHI,6,3,usa/nhl/calgary-flames-philadelphia-flyers-fLQ8xBPH/
VAN,CGY,5,6,usa/nhl/vancouver-canucks-calgary-flames-zwHpnOdE/
CGY,WPG,2,3,usa/nhl/calgary-flames-winnipeg-jets-hnizn7eB/
WPG,CGY,5,2,usa/nhl/winnipeg-jets-calgary-flames-6VhSmTQb/
CGY,SEA,4,3,usa/nhl/calgary-flames-seattle-kraken-p0IEkmHl/
CGY,VAN,4,2,usa/nhl/calgary-flames-vancouver-canucks-b1waTOXN/
VAN,CGY,4,3,usa/nhl/vancouver-canucks-calgary-flames-ULorX6Yb/
CGY,EDM,6,1,usa/nhl/calgary-flames-edmonton-oilers-fVwzcVOE/
EDM,CGY,3,6,usa/nhl/edmonton-oilers-calgary-flames-0Stre9gR/
SEA,CGY,1,6,usa/nhl/seattle-kraken-calgary-flames-vNemZRW7/
CGY,SJ,5,1,usa/nhl-2023-2024/calgary-flames-san-jose-sharks-rqnMi4M1/
VAN,CGY,4,1,usa/nhl-2023-2024/vancouver-canucks-calgary-flames-hf9mCY7G/
CGY,ARI,6,5,usa/nhl-2023-2024/calgary-flames-arizona-coyotes-viqEcZhN/
ANA,CGY,3,6,usa/nhl-2023-2024/anaheim-ducks-calgary-flames-Glhg2cvh/
LAK,CGY,4,1,usa/nhl-2023-2024/los-angeles-kings-calgary-flames-0tA6vfno/
SJ,CGY,2,3,usa/nhl-2023-2024/san-jose-sharks-calgary-flames-dQIGlvAh/
CGY,EDM,2,4,usa/nhl-2023-2024/calgary-flames-edmonton-oilers-neaYy1Qn/
WPG,CGY,5,2,usa/nhl-2023-2024/winnipeg-jets-calgary-flames-IJ9JKaeC/
CGY,ANA,3,5,usa/nhl-2023-2024/calgary-flames-anaheim-ducks-bw3zosiR/
CGY,LAK,4,2,usa/nhl-2023-2024/calgary-flames-los-angeles-kings-EDgFCVvo/
CHI,CGY,3,1,usa/nhl-2023-2024/chicago-blackhawks-calgary-flames-zqO07z35/
CGY,BUF,1,4,usa/nhl-2023-2024/calgary-flames-buffalo-sabres-KCVIFbeP/
VAN,CGY,4,2,usa/nhl-2023-2024/vancouver-canucks-calgary-flames-dvpOgHY5/
CGY,WSH,2,5,usa/nhl-2023-2024/calgary-flames-washington-capitals-GGKa18zF/
CGY,MTL,5,2,usa/nhl-2023-2024/calgary-flames-montreal-canadiens-KUzcsmqq/
CGY,VGK,4,1,usa/nhl-2023-2024/calgary-flames-vegas-golden-knights-dxJUmk6F/
CGY,COL,2,6,usa/nhl-2023-2024/calgary-flames-colorado-avalanche-xdhaY96S/
CAR,CGY,7,2,usa/nhl-2023-2024/carolina-hurricanes-calgary-flames-8G0rxh73/
FLA,CGY,5,1,usa/nhl-2023-2024/florida-panthers-calgary-flames-htzCrCET/
TB,CGY,3,6,usa/nhl-2023-2024/tampa-bay-lightning-calgary-flames-pAqimz0b/
CGY,SEA,2,4,usa/nhl-2023-2024/calgary-flames-seattle-kraken-lUA9zcGh/
CGY,PIT,4,3,usa/nhl-2023-2024/calgary-flames-pittsburgh-penguins-pxpgWsP6/
CGY,LAK,4,2,usa/nhl-2023-2024/calgary-flames-los-angeles-kings-OnqaCMp2/
EDM,CGY,3,6,usa/nhl-2023-2024/edmonton-oilers-calgary-flames-A3ihkmC2/
CGY,BOS,3,2,usa/nhl-2023-2024/calgary-flames-boston-bruins-GSCFyUs3/
CGY,WPG,6,3,usa/nhl-2023-2024/calgary-flames-winnipeg-jets-QwbXOjbc/
CGY,DET,0,5,usa/nhl-2023-2024/calgary-flames-detroit-red-wings-fei1Mcxa/
CGY,SJ,3,6,usa/nhl-2023-2024/calgary-flames-san-jose-sharks-2cCMTupP/
NYR,CGY,2,0,usa/nhl-2023-2024/new-york-rangers-calgary-flames-SAt78AdJ/
NYI,CGY,2,5,usa/nhl-2023-2024/new-york-islanders-calgary-flames-23esEESs/
NJ,CGY,3,5,usa/nhl-2023-2024/new-jersey-devils-calgary-flames-bVSKdDc7/
BOS,CGY,1,4,usa/nhl-2023-2024/boston-bruins-calgary-flames-W0tU6cLE/
CGY,CHI,1,0,usa/nhl-2023-2024/calgary-flames-chicago-blackhawks-UydVodqk/
CGY,CBJ,2,5,usa/nhl-2023-2024/calgary-flames-columbus-blue-jackets-WMFl8n0i/
CGY,EDM,1,3,usa/nhl-2023-2024/calgary-flames-edmonton-oilers-4Si1862d/
CGY,TOR,3,4,usa/nhl-2023-2024/calgary-flames-toronto-maple-leafs-QDEEHAuA/
CGY,ARI,3,2,usa/nhl-2023-2024/calgary-flames-arizona-coyotes-xhYJeTIj/
VGK,CGY,1,3,usa/nhl-2023-2024/vegas-golden-knights-calgary-flames-4poX4Xe4/
ARI,CGY,2,6,usa/nhl-2023-2024/arizona-coyotes-calgary-flames-M5iElCBN/
CGY,OTT,6,3,usa/nhl-2023-2024/calgary-flames-ottawa-senators-82RvzDdU/
CHI,CGY,4,3,usa/nhl-2023-2024/chicago-blackhawks-calgary-flames-44sBtcDn/
PHI,CGY,3,2,usa/nhl-2023-2024/philadelphia-flyers-calgary-flames-OYNmxrM0/
NSH,CGY,3,6,usa/nhl-2023-2024/nashville-predators-calgary-flames-K0u5p6EK/
MIN,CGY,1,3,usa/nhl-2023-2024/minnesota-wild-calgary-flames-tj6cRQ7r/
CGY,PHI,4,3,usa/nhl-2023-2024/calgary-flames-philadelphia-flyers-Kv4UXSUE/
CGY,SEA,1,2,usa/nhl-2023-2024/calgary-flames-seattle-kraken-MBheFacj/
LAK,CGY,5,3,usa/nhl-2023-2024/los-angeles-kings-calgary-flames-jNIGMs5G/
ANA,CGY,0,3,usa/nhl-2023-2024/anaheim-ducks-calgary-flames-6ZrD2MDp/
CGY,FLA,3,1,usa/nhl-2023-2024/calgary-flames-florida-panthers-fNP97BaC/
CGY,TB,4,2,usa/nhl-2023-2024/calgary-flames-tampa-bay-lightning-bLuJ3gue/
MIN,CGY,3,2,usa/nhl-2023-2024/minnesota-wild-calgary-flames-6RGujzBe/
VGK,CGY,5,4,usa/nhl-2023-2024/vegas-golden-knights-calgary-flames-Wn1eBps4/
COL,CGY,6,5,usa/nhl-2023-2024/colorado-avalanche-calgary-flames-4xsyAzoU/
CGY,NJ,2,4,usa/nhl-2023-2024/calgary-flames-new-jersey-devils-dCHcdHGU/
CGY,CAR,3,2,usa/nhl-2023-2024/calgary-flames-carolina-hurricanes-4d3l0aH5/
CGY,MIN,2,5,usa/nhl-2023-2024/calgary-flames-minnesota-wild-beK58N9P/
CGY,VAN,3,4,usa/nhl-2023-2024/calgary-flames-vancouver-canucks-QiPBntm6/
CGY,DAL,4,3,usa/nhl-2023-2024/calgary-flames-dallas-stars-AL2tX0mJ/
CGY,VGK,2,1,usa/nhl-2023-2024/calgary-flames-vegas-golden-knights-2iiudgK2/
COL,CGY,3,1,usa/nhl-2023-2024/colorado-avalanche-calgary-flames-8lYHvhkS/
DAL,CGY,4,7,usa/nhl-2023-2024/dallas-stars-calgary-flames-fBa9rzj3/
NSH,CGY,4,2,usa/nhl-2023-2024/nashville-predators-calgary-flames-EivzUzyA/
SEA,CGY,3,4,usa/nhl-2023-2024/seattle-kraken-calgary-flames-hngu8gEj/
CGY,NYI,4,5,usa/nhl-2023-2024/calgary-flames-new-york-islanders-McFdGH6A/
CGY,VAN,5,2,usa/nhl-2023-2024/calgary-flames-vancouver-canucks-O2mWadMT/
MTL,CGY,1,2,usa/nhl-2023-2024/montreal-canadiens-calgary-flames-EDm750hh/
OTT,CGY,4,1,usa/nhl-2023-2024/ottawa-senators-calgary-flames-Khuu2Ro0/
TOR,CGY,5,4,usa/nhl-2023-2024/toronto-maple-leafs-calgary-flames-6TPZ4T1s/
CGY,NSH,4,2,usa/nhl-2023-2024/calgary-flames-nashville-predators-bN28l8H0/
SEA,CGY,3,6,usa/nhl-2023-2024/seattle-kraken-calgary-flames-0SKLcCfE/
