date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
27-09-2024,DET,CHI,2,0,1,NHL,usa/nhl/detroit-red-wings-chicago-blackhawks-rDHPJR5N/,-156,371
25-09-2024,CHI,DET,2,4,0,NHL,usa/nhl/chicago-blackhawks-detroit-red-wings-noOGLmyB/,109,335
18-04-2024,LAK,CHI,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-chicago-blackhawks-r1H6N1Bg/,-230,423
16-04-2024,VGK,CHI,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-chicago-blackhawks-rkgqJnK7/,-228,425
14-04-2024,CHI,CAR,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-carolina-hurricanes-88MmUCS8/,481,428
12-04-2024,CHI,NSH,1,5,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-nashville-predators-ShHFfCyj/,312,365
10-04-2024,STL,CHI,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-chicago-blackhawks-zL7W4dac/,-144,351
07-04-2024,CHI,MIN,0,4,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-minnesota-wild-veqUnOwC/,268,347
06-04-2024,CHI,DAL,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-dallas-stars-ILh9inPt/,430,393
02-04-2024,NYI,CHI,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-chicago-blackhawks-dCB5un2K/,-143,354
30-03-2024,PHI,CHI,1,5,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-chicago-blackhawks-Uoex55Q7/,-178,383
28-03-2024,OTT,CHI,2,0,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-chicago-blackhawks-vyLH3h2U/,-111,342
26-03-2024,CHI,CGY,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-calgary-flames-zqO07z35/,223,337
23-03-2024,SJ,CHI,4,5,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-chicago-blackhawks-xdlEqbbU/,161,310
21-03-2024,ANA,CHI,4,0,1,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-chicago-blackhawks-EgyOYtpC/,128,317
19-03-2024,LAK,CHI,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-chicago-blackhawks-0jBlKsVI/,-202,393
17-03-2024,CHI,SJ,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-san-jose-sharks-CjYGNeKD/,-110,337
15-03-2024,CHI,LAK,0,5,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-los-angeles-kings-G0pPPQqp/,342,368
12-03-2024,CHI,ANA,7,2,1,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-anaheim-ducks-6DFGHTiN/,125,321
10-03-2024,CHI,ARI,7,4,1,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-arizona-coyotes-6ivt5j8H/,253,342
09-03-2024,WSH,CHI,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/washington-capitals-chicago-blackhawks-A5rL9Egn/,-135,346
05-03-2024,ARI,CHI,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-chicago-blackhawks-EcBBg23l/,-159,375
04-03-2024,COL,CHI,5,0,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-chicago-blackhawks-lGRW0pBE/,-237,432
02-03-2024,CHI,CBJ,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-columbus-blue-jackets-WIu1mRtF/,192,331
29-02-2024,CHI,COL,0,5,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-colorado-avalanche-4Idejs0f/,342,375
25-02-2024,CHI,DET,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-detroit-red-wings-QgbgzV9d/,220,332
23-02-2024,CHI,WPG,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-winnipeg-jets-6H5SYRRL/,351,351
21-02-2024,CHI,PHI,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-philadelphia-flyers-nuZ1FfYT/,307,349
19-02-2024,CAR,CHI,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-chicago-blackhawks-QiPwLb4h/,-236,419
17-02-2024,CHI,OTT,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-ottawa-senators-CW1dNwNh/,252,351
15-02-2024,CHI,PIT,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-pittsburgh-penguins-G2oW5Sbl/,242,330
13-02-2024,CHI,VAN,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-vancouver-canucks-xM9PQiCm/,345,354
09-02-2024,CHI,NYR,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-new-york-rangers-IP8XnEh9/,384,377
