date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
12-10-2024,COL,CBJ,4,6,0,NHL,usa/nhl/colorado-avalanche-columbus-blue-jackets-lzEUHZl4/#home-away;1,-338,268
09-10-2024,VGK,COL,8,4,1,NHL,usa/nhl/vegas-golden-knights-colorado-avalanche-QyqEjxZ7/#home-away;1,-113,-104
03-10-2024,VGK,COL,1,3,0,NHL,usa/nhl/vegas-golden-knights-colorado-avalanche-0hzVPAmT/#home-away;1,-155,127
01-10-2024,COL,VGK,1,6,0,NHL,usa/nhl/colorado-avalanche-vegas-golden-knights-YPGLThl4/#home-away;1,-308,239
27-09-2024,DAL,COL,4,2,1,NHL,usa/nhl/dallas-stars-colorado-avalanche-EiMO6Psp/#home-away;1,-376,285
23-09-2024,COL,DAL,2,3,0,NHL,usa/nhl/colorado-avalanche-dallas-stars-G4IQ8CDU/#home-away;1,-115,-107
17-05-2024,COL,DAL,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-nBFAwaiC/#home-away;1,-114,-103
15-05-2024,DAL,COL,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-colorado-avalanche-zo7Df9yP/#home-away;1,-150,129
13-05-2024,COL,DAL,1,5,0,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-rupYRkMa/#home-away;1,-118,101
11-05-2024,COL,DAL,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-ARoQTBim/#home-away;1,-133,114
09-05-2024,DAL,COL,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-colorado-avalanche-js5gZXTP/#home-away;1,-133,114
07-05-2024,DAL,COL,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-colorado-avalanche-OzD7BUyJ/#home-away;1,-123,105
30-04-2024,WPG,COL,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-colorado-avalanche-djYXeAu2/#home-away;1,-101,-116
28-04-2024,COL,WPG,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-winnipeg-jets-Qq3IWPY9/#home-away;1,-156,134
26-04-2024,COL,WPG,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-winnipeg-jets-4UE9Yo4c/#home-away;1,-159,137
23-04-2024,WPG,COL,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-colorado-avalanche-viNNArCj/#home-away;1,106,-124
21-04-2024,WPG,COL,7,6,1,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-colorado-avalanche-MNvEK7X0/#home-away;1,-108,-108
18-04-2024,COL,EDM,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-edmonton-oilers-dnjQjOy8/#home-away;1,-265,220
14-04-2024,VGK,COL,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-colorado-avalanche-UHNqVhD2/#home-away;1,-108,-108
13-04-2024,COL,WPG,0,7,0,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-winnipeg-jets-ABic1Hgb/#home-away;1,-150,129
09-04-2024,COL,MIN,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-minnesota-wild-tMQurZip/#home-away;1,-192,164
07-04-2024,COL,DAL,4,7,0,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-rRrgiwVc/#home-away;1,-126,108
05-04-2024,EDM,COL,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-colorado-avalanche-Ct9NJJAI/#home-away;1,-140,121
04-04-2024,MIN,COL,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-colorado-avalanche-K8u7b0LQ/#home-away;1,143,-164
01-04-2024,CBJ,COL,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-colorado-avalanche-ljObM6er/#home-away;1,282,-347
