date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
27-09-2024,DAL,COL,4,2,1,NHL,usa/nhl/dallas-stars-colorado-avalanche-EiMO6Psp/,-231,399
25-09-2024,DAL,MIN,5,2,1,NHL,usa/nhl/dallas-stars-minnesota-wild-Yw4N3ivB/,-231,404
23-09-2024,COL,DAL,2,3,0,NHL,usa/nhl/colorado-avalanche-dallas-stars-G4IQ8CDU/,122,323
21-09-2024,DAL,STL,2,1,1,NHL,usa/nhl/dallas-stars-st-louis-blues-YDfxF2hf/,-141,358
02-06-2024,EDM,DAL,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-dallas-stars-8YcOfvqo/,119,310
31-05-2024,DAL,EDM,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-edmonton-oilers-vLKhPvx9/,130,307
29-05-2024,EDM,DAL,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-dallas-stars-GYZ6qwQj/,119,320
27-05-2024,EDM,DAL,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-dallas-stars-W0bzka2T/,129,313
25-05-2024,DAL,EDM,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-edmonton-oilers-OzeSjLXG/,116,319
23-05-2024,DAL,EDM,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-edmonton-oilers-S81Jhs34/,126,317
17-05-2024,COL,DAL,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-nBFAwaiC/,133,318
15-05-2024,DAL,COL,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-colorado-avalanche-zo7Df9yP/,106,323
13-05-2024,COL,DAL,1,5,0,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-rupYRkMa/,135,321
11-05-2024,COL,DAL,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-ARoQTBim/,116,331
09-05-2024,DAL,COL,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-colorado-avalanche-js5gZXTP/,118,322
07-05-2024,DAL,COL,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-colorado-avalanche-OzD7BUyJ/,130,321
05-05-2024,DAL,VGK,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-vegas-golden-knights-AgKrIVvI/,112,299
03-05-2024,VGK,DAL,2,0,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-dallas-stars-WlKszvF4/,153,311
01-05-2024,DAL,VGK,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-vegas-golden-knights-OtflqzGD/,103,321
29-04-2024,VGK,DAL,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-dallas-stars-K6tiG4lT/,163,313
27-04-2024,VGK,DAL,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-dallas-stars-ngrqIQJG/,149,315
24-04-2024,DAL,VGK,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-vegas-golden-knights-jRlzKnk4/,100,321
22-04-2024,DAL,VGK,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-vegas-golden-knights-4AjSL8Ki/,113,313
17-04-2024,DAL,STL,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-st-louis-blues-fw0UtjCE/,-157,373
13-04-2024,DAL,SEA,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-seattle-kraken-Yk85HZr3/,-144,349
11-04-2024,DAL,WPG,0,3,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-winnipeg-jets-bXNvqzvU/,-111,327
09-04-2024,DAL,BUF,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-buffalo-sabres-lUYDnFqT/,-133,349
07-04-2024,COL,DAL,4,7,0,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-rRrgiwVc/,127,331
06-04-2024,CHI,DAL,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-dallas-stars-ILh9inPt/,430,393
03-04-2024,DAL,EDM,5,0,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-edmonton-oilers-CpqBvuUf/,122,327
30-03-2024,SEA,DAL,0,3,0,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-dallas-stars-r9oWQnmR/,215,326
28-03-2024,VAN,DAL,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-dallas-stars-8CAWKgX4/,165,311
26-03-2024,SJ,DAL,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-dallas-stars-xUmC0jZL/,476,428
24-03-2024,ARI,DAL,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-dallas-stars-rcHz1aT4/,270,362
22-03-2024,DAL,PIT,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-pittsburgh-penguins-QX4tiOat/,-121,353
20-03-2024,DAL,ARI,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-arizona-coyotes-Sd3zroNP/,-176,389
16-03-2024,DAL,LAK,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-los-angeles-kings-WzwdSJ5r/,-103,328
14-03-2024,DAL,NJ,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-new-jersey-devils-6RfkWS6G/,-121,351
12-03-2024,DAL,FLA,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-florida-panthers-AoM7JkNA/,139,316
09-03-2024,LAK,DAL,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-dallas-stars-bRzY6Cw5/,139,319
08-03-2024,ANA,DAL,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-dallas-stars-pOAbhDOB/,383,397
05-03-2024,SJ,DAL,6,7,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-dallas-stars-8KAFhMIf/,513,430
02-03-2024,DAL,SJ,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-san-jose-sharks-pMq5nodL/,-335,514
29-02-2024,DAL,WPG,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-winnipeg-jets-6qvcXNMR/,119,313
27-02-2024,COL,DAL,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-jB0KlUOk/,114,338
26-02-2024,DAL,NYI,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-new-york-islanders-t2ttbY13/,-106,344
24-02-2024,CAR,DAL,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-dallas-stars-htOgny3i/,118,316
22-02-2024,OTT,DAL,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-dallas-stars-0KUSDQkd/,213,340
20-02-2024,NYR,DAL,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-dallas-stars-4rOsKIJb/,114,334
19-02-2024,BOS,DAL,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-dallas-stars-ImJNENsJ/,114,317
17-02-2024,DAL,EDM,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-edmonton-oilers-bTchOJ7n/,124,345
