team_1,team_2,score_1,score_2,game_url
EDM,CHI,2,5,usa/nhl/edmonton-oilers-chicago-blackhawks-2oUGzkfU/
EDM,WPG,0,6,usa/nhl/edmonton-oilers-winnipeg-jets-I1n0vCw8/
VAN,EDM,4,1,usa/nhl/vancouver-canucks-edmonton-oilers-bPiNThq4/
SEA,EDM,6,2,usa/nhl/seattle-kraken-edmonton-oilers-0d0tk3RG/
EDM,VAN,3,2,usa/nhl/edmonton-oilers-vancouver-canucks-C8gFVEEi/
EDM,SEA,5,4,usa/nhl/edmonton-oilers-seattle-kraken-vDAKlTl2/
WPG,EDM,6,1,usa/nhl/winnipeg-jets-edmonton-oilers-fiP9VoBU/
CGY,EDM,6,1,usa/nhl/calgary-flames-edmonton-oilers-fVwzcVOE/
EDM,CGY,3,6,usa/nhl/edmonton-oilers-calgary-flames-0Stre9gR/
EDM,WPG,3,2,usa/nhl/edmonton-oilers-winnipeg-jets-bPV0X7tI/
FLA,EDM,2,1,usa/nhl-2023-2024/florida-panthers-edmonton-oilers-ro9gcXlC/
EDM,FLA,5,1,usa/nhl-2023-2024/edmonton-oilers-florida-panthers-h4AMJeNH/
FLA,EDM,3,5,usa/nhl-2023-2024/florida-panthers-edmonton-oilers-Qo6jnIyh/
EDM,FLA,8,1,usa/nhl-2023-2024/edmonton-oilers-florida-panthers-lhmVlZPk/
EDM,FLA,3,4,usa/nhl-2023-2024/edmonton-oilers-florida-panthers-I9dafe2S/
FLA,EDM,4,1,usa/nhl-2023-2024/florida-panthers-edmonton-oilers-df8jdHXF/
FLA,EDM,3,0,usa/nhl-2023-2024/florida-panthers-edmonton-oilers-jc5rbw33/
EDM,DAL,2,1,usa/nhl-2023-2024/edmonton-oilers-dallas-stars-8YcOfvqo/
DAL,EDM,1,3,usa/nhl-2023-2024/dallas-stars-edmonton-oilers-vLKhPvx9/
EDM,DAL,5,2,usa/nhl-2023-2024/edmonton-oilers-dallas-stars-GYZ6qwQj/
EDM,DAL,3,5,usa/nhl-2023-2024/edmonton-oilers-dallas-stars-W0bzka2T/
DAL,EDM,3,1,usa/nhl-2023-2024/dallas-stars-edmonton-oilers-OzeSjLXG/
DAL,EDM,2,3,usa/nhl-2023-2024/dallas-stars-edmonton-oilers-S81Jhs34/
VAN,EDM,2,3,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-jsVzT6qT/
EDM,VAN,5,1,usa/nhl-2023-2024/edmonton-oilers-vancouver-canucks-QJRpfL6b/
VAN,EDM,3,2,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-2DUxfLeC/
EDM,VAN,3,2,usa/nhl-2023-2024/edmonton-oilers-vancouver-canucks-6yQyZZAd/
EDM,VAN,3,4,usa/nhl-2023-2024/edmonton-oilers-vancouver-canucks-bBMTzdtp/
VAN,EDM,3,4,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-EwoctIIM/
VAN,EDM,5,4,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-b3vbVeFk/
EDM,LA,4,3,usa/nhl-2023-2024/edmonton-oilers-los-angeles-kings-IoxjYs7T/
LA,EDM,0,1,usa/nhl-2023-2024/los-angeles-kings-edmonton-oilers-jPmWyLAk/
LA,EDM,1,6,usa/nhl-2023-2024/los-angeles-kings-edmonton-oilers-Ktc0ssmS/
EDM,LA,4,5,usa/nhl-2023-2024/edmonton-oilers-los-angeles-kings-bR8iq3IF/
EDM,LA,7,4,usa/nhl-2023-2024/edmonton-oilers-los-angeles-kings-j15qoPm3/
COL,EDM,5,1,usa/nhl-2023-2024/colorado-avalanche-edmonton-oilers-dnjQjOy8/
ARI,EDM,5,2,usa/nhl-2023-2024/arizona-coyotes-edmonton-oilers-AVmEgQik/
EDM,SJ,9,2,usa/nhl-2023-2024/edmonton-oilers-san-jose-sharks-zaOliXVj/
EDM,VAN,1,3,usa/nhl-2023-2024/edmonton-oilers-vancouver-canucks-pUqAbFwH/
EDM,ARI,2,3,usa/nhl-2023-2024/edmonton-oilers-arizona-coyotes-2olk3wPo/
