date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
12-10-2024,BUF,FLA,5,2,1,NHL,usa/nhl/buffalo-sabres-florida-panthers-4EvwmFkU/#home-away;1,-104,-112
10-10-2024,OTT,FLA,3,1,1,NHL,usa/nhl/ottawa-senators-florida-panthers-QRgJRgBa/#home-away;1,116,-137
08-10-2024,FLA,BOS,6,4,1,NHL,usa/nhl/florida-panthers-boston-bruins-hUeRatCL/#home-away;1,-161,137
05-10-2024,LA,FLA,2,4,0,NHL,usa/nhl/los-angeles-kings-florida-panthers-pbDPEPIU/#home-away;1,121,-150
02-10-2024,TB,FLA,1,2,0,NHL,usa/nhl/tampa-bay-lightning-florida-panthers-2ojVGpSp/#home-away;1,-333,261
30-09-2024,FLA,TB,1,3,0,NHL,usa/nhl/florida-panthers-tampa-bay-lightning-W2aaM64N/#home-away;1,-146,119
28-09-2024,FLA,CAR,5,4,1,NHL,usa/nhl/florida-panthers-carolina-hurricanes-rqbpDsAC/#home-away;1,-201,161
27-09-2024,CAR,FLA,8,2,1,NHL,usa/nhl/carolina-hurricanes-florida-panthers-MT9yF3u0/#home-away;1,-511,364
25-09-2024,TB,FLA,8,7,1,NHL,usa/nhl/tampa-bay-lightning-florida-panthers-hdCX77kU/#home-away;1,-118,-105
22-09-2024,FLA,NSH,3,2,1,NHL,usa/nhl/florida-panthers-nashville-predators-j7WPxSl4/#home-away;1,-280,198
24-06-2024,FLA,EDM,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-edmonton-oilers-ro9gcXlC/#home-away;1,-108,-110
21-06-2024,EDM,FLA,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-florida-panthers-h4AMJeNH/#home-away;1,-120,100
18-06-2024,FLA,EDM,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-edmonton-oilers-Qo6jnIyh/#home-away;1,-159,135
15-06-2024,EDM,FLA,8,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-florida-panthers-lhmVlZPk/#home-away;1,-120,101
13-06-2024,EDM,FLA,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-florida-panthers-I9dafe2S/#home-away;1,-141,120
10-06-2024,FLA,EDM,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-edmonton-oilers-df8jdHXF/#home-away;1,-122,103
08-06-2024,FLA,EDM,3,0,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-edmonton-oilers-jc5rbw33/#home-away;1,-145,123
01-06-2024,FLA,NYR,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-new-york-rangers-ruABZXTQ/#home-away;1,-168,144
30-05-2024,NYR,FLA,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-florida-panthers-xx4sCo4L/#home-away;1,109,-129
28-05-2024,FLA,NYR,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-new-york-rangers-fTduxnge/#home-away;1,-164,140
26-05-2024,FLA,NYR,4,5,0,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-new-york-rangers-YD8Ww8Or/#home-away;1,-163,140
24-05-2024,NYR,FLA,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-florida-panthers-Im31qU0L/#home-away;1,-105,-112
22-05-2024,NYR,FLA,0,3,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-florida-panthers-ML9hojW8/#home-away;1,100,-118
17-05-2024,BOS,FLA,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-florida-panthers-6wVkZ4Cr/#home-away;1,120,-141
14-05-2024,FLA,BOS,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-boston-bruins-OA1pa31D/#home-away;1,-215,180
12-05-2024,BOS,FLA,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-florida-panthers-O2XYaMRP/#home-away;1,141,-166
10-05-2024,BOS,FLA,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-florida-panthers-ddumxJZI/#home-away;1,111,-131
08-05-2024,FLA,BOS,6,1,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-boston-bruins-zsivvu56/#home-away;1,-162,139
06-05-2024,FLA,BOS,1,5,0,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-boston-bruins-UqlWu1zf/#home-away;1,-162,138
29-04-2024,FLA,TB,6,1,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-tampa-bay-lightning-EJW4km1D/#home-away;1,-182,155
27-04-2024,TB,FLA,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/tampa-bay-lightning-florida-panthers-84YO3Fs9/#home-away;1,111,-129
25-04-2024,TB,FLA,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/tampa-bay-lightning-florida-panthers-hdjxtCk2/#home-away;1,-114,-103
23-04-2024,FLA,TB,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-tampa-bay-lightning-KrhUsYKk/#home-away;1,-186,159
21-04-2024,FLA,TB,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-tampa-bay-lightning-8SAwPbmD/#home-away;1,-184,157
16-04-2024,FLA,TOR,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-toronto-maple-leafs-25GzFzOc/#home-away;1,-161,138
13-04-2024,FLA,BUF,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-buffalo-sabres-GEcAGgb9/#home-away;1,-220,187
11-04-2024,FLA,CBJ,4,0,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-columbus-blue-jackets-8Y5v3zU9/#home-away;1,-400,322
09-04-2024,FLA,OTT,2,0,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-ottawa-senators-C2pbWdfO/#home-away;1,-240,203
06-04-2024,BOS,FLA,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-florida-panthers-0t6sdSGP/#home-away;1,-118,101
04-04-2024,OTT,FLA,0,6,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-florida-panthers-4G5FLut6/#home-away;1,128,-149
