date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
12-10-2024,BOS,LA,2,1,1,NHL,usa/nhl/boston-bruins-los-angeles-kings-rajUlyLH/#home-away;1,-156,132
10-10-2024,BUF,LA,1,3,0,NHL,usa/nhl/buffalo-sabres-los-angeles-kings-IVVaEuRE/#home-away;1,-110,-108
05-10-2024,LA,FLA,2,4,0,NHL,usa/nhl/los-angeles-kings-florida-panthers-pbDPEPIU/#home-away;1,121,-150
03-10-2024,LA,BOS,4,1,1,NHL,usa/nhl/los-angeles-kings-boston-bruins-WhfzPO3S/#home-away;1,-116,-108
30-09-2024,ANA,LA,0,4,0,NHL,usa/nhl/anaheim-ducks-los-angeles-kings-SG7AmKWF/#home-away;1,161,-203
28-09-2024,LA,ANA,3,2,1,NHL,usa/nhl/los-angeles-kings-anaheim-ducks-z9k3kt23/#home-away;1,-219,174
25-09-2024,VGK,LA,2,3,0,NHL,usa/nhl/vegas-golden-knights-los-angeles-kings-jsaVIyzn/#home-away;1,108,-133
01-05-2024,EDM,LA,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-los-angeles-kings-IoxjYs7T/#home-away;1,-193,165
28-04-2024,LA,EDM,0,1,0,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-edmonton-oilers-jPmWyLAk/#home-away;1,143,-165
26-04-2024,LA,EDM,1,6,0,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-edmonton-oilers-Ktc0ssmS/#home-away;1,127,-148
24-04-2024,EDM,LA,4,5,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-los-angeles-kings-bR8iq3IF/#home-away;1,-187,160
22-04-2024,EDM,LA,7,4,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-los-angeles-kings-j15qoPm3/#home-away;1,-174,149
18-04-2024,LA,CHI,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-chicago-blackhawks-r1H6N1Bg/#home-away;1,-407,327
15-04-2024,LA,MIN,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-minnesota-wild-8W0WLlzk/#home-away;1,-160,138
13-04-2024,LA,ANA,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-anaheim-ducks-Kntg8V5k/#home-away;1,-394,315
11-04-2024,LA,CGY,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-calgary-flames-0tA6vfno/#home-away;1,-190,162
09-04-2024,ANA,LA,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-los-angeles-kings-KCPqsg7j/#home-away;1,239,-292
06-04-2024,LA,VAN,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-vancouver-canucks-0b3xyLug/#home-away;1,-116,-101
04-04-2024,SJ,LA,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-los-angeles-kings-jiWxgvql/#home-away;1,250,-305
03-04-2024,LA,SEA,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-seattle-kraken-WnaCxJb7/#home-away;1,-187,160
01-04-2024,WPG,LA,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-los-angeles-kings-CM0Omq78/#home-away;1,-121,103
30-03-2024,CGY,LA,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/calgary-flames-los-angeles-kings-EDgFCVvo/#home-away;1,137,-158
28-03-2024,EDM,LA,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-los-angeles-kings-EkBSLZHb/#home-away;1,-162,140
25-03-2024,VAN,LA,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-los-angeles-kings-GrHlAxJn/#home-away;1,-125,107
23-03-2024,LA,TB,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-tampa-bay-lightning-OhpApvqO/#home-away;1,-130,111
20-03-2024,LA,MIN,6,0,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-minnesota-wild-Ywt3w5Vt/#home-away;1,-156,135
19-03-2024,LA,CHI,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-chicago-blackhawks-0jBlKsVI/#home-away;1,-362,293
16-03-2024,DAL,LA,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-los-angeles-kings-WzwdSJ5r/#home-away;1,-169,146
15-03-2024,CHI,LA,0,5,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-los-angeles-kings-G0pPPQqp/#home-away;1,231,-278
11-03-2024,LA,NYI,3,0,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-new-york-islanders-IV7bNXNo/#home-away;1,-139,120
