team_1,team_2,score_1,score_2,game_url
MIN,SEA,4,5,usa/nhl/minnesota-wild-seattle-kraken-tAAMJeKi/
MIN,CBJ,3,2,usa/nhl/minnesota-wild-columbus-blue-jackets-hC2e3FID/
CHI,MIN,1,6,usa/nhl/chicago-blackhawks-minnesota-wild-OrPGGolI/
MIN,CHI,7,2,usa/nhl/minnesota-wild-chicago-blackhawks-GIL8I7J5/
MIN,DAL,2,4,usa/nhl/minnesota-wild-dallas-stars-6i2V1V8N/
MIN,WPG,8,5,usa/nhl/minnesota-wild-winnipeg-jets-pG4Jkkdn/
DAL,MIN,5,2,usa/nhl/dallas-stars-minnesota-wild-Yw4N3ivB/
WPG,MIN,2,5,usa/nhl/winnipeg-jets-minnesota-wild-QBXhZTB5/
MIN,SEA,3,4,usa/nhl-2023-2024/minnesota-wild-seattle-kraken-zyEbPNts/
LA,MIN,1,3,usa/nhl-2023-2024/los-angeles-kings-minnesota-wild-8W0WLlzk/
SJ,MIN,2,6,usa/nhl-2023-2024/san-jose-sharks-minnesota-wild-E9uc7kLe/
VGK,MIN,7,2,usa/nhl-2023-2024/vegas-golden-knights-minnesota-wild-6qGJgWjd/
COL,MIN,5,2,usa/nhl-2023-2024/colorado-avalanche-minnesota-wild-tMQurZip/
CHI,MIN,0,4,usa/nhl-2023-2024/chicago-blackhawks-minnesota-wild-veqUnOwC/
MIN,WPG,2,4,usa/nhl-2023-2024/minnesota-wild-winnipeg-jets-jX7RIwQO/
MIN,COL,2,5,usa/nhl-2023-2024/minnesota-wild-colorado-avalanche-K8u7b0LQ/
MIN,OTT,3,2,usa/nhl-2023-2024/minnesota-wild-ottawa-senators-Kn4WoNyL/
MIN,VGK,1,2,usa/nhl-2023-2024/minnesota-wild-vegas-golden-knights-QgbL8mRr/
MIN,SJ,3,1,usa/nhl-2023-2024/minnesota-wild-san-jose-sharks-8IRfhSt2/
LA,MIN,6,0,usa/nhl-2023-2024/los-angeles-kings-minnesota-wild-Ywt3w5Vt/
ANA,MIN,0,4,usa/nhl-2023-2024/anaheim-ducks-minnesota-wild-MaCpLNFC/
MIN,ANA,2,0,usa/nhl-2023-2024/minnesota-wild-anaheim-ducks-pIggVnMM/
MIN,ARI,4,1,usa/nhl-2023-2024/minnesota-wild-arizona-coyotes-OlQBI9xH/
MIN,NSH,4,3,usa/nhl-2023-2024/minnesota-wild-nashville-predators-xIZy6WhB/
COL,MIN,2,1,usa/nhl-2023-2024/colorado-avalanche-minnesota-wild-2aLggg95/
ARI,MIN,2,5,usa/nhl-2023-2024/arizona-coyotes-minnesota-wild-js9rdePn/
MIN,SJ,4,3,usa/nhl-2023-2024/minnesota-wild-san-jose-sharks-0foxu3le/
NSH,MIN,6,1,usa/nhl-2023-2024/nashville-predators-minnesota-wild-QRciiNpl/
MIN,CAR,2,3,usa/nhl-2023-2024/minnesota-wild-carolina-hurricanes-x8dGkA9q/
SEA,MIN,2,5,usa/nhl-2023-2024/seattle-kraken-minnesota-wild-l8H2pFX3/
EDM,MIN,2,4,usa/nhl-2023-2024/edmonton-oilers-minnesota-wild-p84WXosS/
WPG,MIN,6,3,usa/nhl-2023-2024/winnipeg-jets-minnesota-wild-GSjpMlrG/
MIN,VAN,10,7,usa/nhl-2023-2024/minnesota-wild-vancouver-canucks-YqBo1m6j/
MIN,BUF,2,3,usa/nhl-2023-2024/minnesota-wild-buffalo-sabres-IRsm2pbD/
ARI,MIN,1,3,usa/nhl-2023-2024/arizona-coyotes-minnesota-wild-pE7mEji8/
VGK,MIN,3,5,usa/nhl-2023-2024/vegas-golden-knights-minnesota-wild-4tXEaixF/
MIN,PIT,3,2,usa/nhl-2023-2024/minnesota-wild-pittsburgh-penguins-xEizlfw3/
CHI,MIN,1,2,usa/nhl-2023-2024/chicago-blackhawks-minnesota-wild-CSmCqunH/
MIN,ANA,2,3,usa/nhl-2023-2024/minnesota-wild-anaheim-ducks-t6UOlF6a/
MIN,NSH,2,3,usa/nhl-2023-2024/minnesota-wild-nashville-predators-KWHYwbhs/
MIN,WSH,5,3,usa/nhl-2023-2024/minnesota-wild-washington-capitals-2HzTWtoE/
CAR,MIN,2,5,usa/nhl-2023-2024/carolina-hurricanes-minnesota-wild-6uMdy6VT/
FLA,MIN,4,6,usa/nhl-2023-2024/florida-panthers-minnesota-wild-4hcFOSoO/
TB,MIN,7,3,usa/nhl-2023-2024/tampa-bay-lightning-minnesota-wild-UF2jUWHn/
MIN,NYI,5,0,usa/nhl-2023-2024/minnesota-wild-new-york-islanders-Ofarz2l8/
MIN,ARI,0,6,usa/nhl-2023-2024/minnesota-wild-arizona-coyotes-OtK9L2ZE/
MIN,PHI,3,4,usa/nhl-2023-2024/minnesota-wild-philadelphia-flyers-4W3z73KL/
DAL,MIN,7,2,usa/nhl-2023-2024/dallas-stars-minnesota-wild-6y2b9yPM/
MIN,DAL,0,4,usa/nhl-2023-2024/minnesota-wild-dallas-stars-n1x0jdIp/
CBJ,MIN,3,4,usa/nhl-2023-2024/columbus-blue-jackets-minnesota-wild-6s580tth/
MIN,TB,1,4,usa/nhl-2023-2024/minnesota-wild-tampa-bay-lightning-bD9Ta9ks/
MIN,CGY,1,3,usa/nhl-2023-2024/minnesota-wild-calgary-flames-tj6cRQ7r/
MIN,WPG,2,3,usa/nhl-2023-2024/minnesota-wild-winnipeg-jets-UkyxSxsd/
WPG,MIN,4,2,usa/nhl-2023-2024/winnipeg-jets-minnesota-wild-IcxbZKlM/
MIN,DET,6,3,usa/nhl-2023-2024/minnesota-wild-detroit-red-wings-Wlf47fhq/
MIN,BOS,3,2,usa/nhl-2023-2024/minnesota-wild-boston-bruins-jXDlDPO4/
MIN,MTL,4,3,usa/nhl-2023-2024/minnesota-wild-montreal-canadiens-23HuLUTB/
BOS,MIN,3,4,usa/nhl-2023-2024/boston-bruins-minnesota-wild-dzbymTAa/
PIT,MIN,4,3,usa/nhl-2023-2024/pittsburgh-penguins-minnesota-wild-084Slktm/
MIN,VAN,2,1,usa/nhl-2023-2024/minnesota-wild-vancouver-canucks-8j1vBymL/
MIN,CGY,3,2,usa/nhl-2023-2024/minnesota-wild-calgary-flames-6RGujzBe/
SEA,MIN,0,3,usa/nhl-2023-2024/seattle-kraken-minnesota-wild-6aAaWcXl/
EDM,MIN,4,3,usa/nhl-2023-2024/edmonton-oilers-minnesota-wild-ILIgcc1O/
VAN,MIN,2,0,usa/nhl-2023-2024/vancouver-canucks-minnesota-wild-xA1dbwnI/
CGY,MIN,2,5,usa/nhl-2023-2024/calgary-flames-minnesota-wild-beK58N9P/
MIN,CHI,4,1,usa/nhl-2023-2024/minnesota-wild-chicago-blackhawks-UH53CrPI/
NSH,MIN,1,6,usa/nhl-2023-2024/nashville-predators-minnesota-wild-8AyGFgZr/
DET,MIN,4,1,usa/nhl-2023-2024/detroit-red-wings-minnesota-wild-UeCOfJcG/
MIN,COL,2,3,usa/nhl-2023-2024/minnesota-wild-colorado-avalanche-EDaXZHLj/
MIN,TOR,3,4,usa/nhl-2023-2024/minnesota-wild-toronto-maple-leafs-dG79DFjT/
OTT,MIN,2,1,usa/nhl-2023-2024/ottawa-senators-minnesota-wild-hIRqJJMi/
MIN,DAL,3,8,usa/nhl-2023-2024/minnesota-wild-dallas-stars-69ZZ3Ybc/
BUF,MIN,3,2,usa/nhl-2023-2024/buffalo-sabres-minnesota-wild-GQRvYXET/
NYR,MIN,4,1,usa/nhl-2023-2024/new-york-rangers-minnesota-wild-6ZIQxd0b/
NYI,MIN,2,4,usa/nhl-2023-2024/new-york-islanders-minnesota-wild-OncZmvgg/
MIN,NYR,5,4,usa/nhl-2023-2024/minnesota-wild-new-york-rangers-8boanRHl/
MIN,NJ,3,5,usa/nhl-2023-2024/minnesota-wild-new-jersey-devils-G4MLY7mk/
NJ,MIN,4,3,usa/nhl-2023-2024/new-jersey-devils-minnesota-wild-WxlaVYtc/
WSH,MIN,3,2,usa/nhl-2023-2024/washington-capitals-minnesota-wild-xGSPGZR3/
PHI,MIN,6,2,usa/nhl-2023-2024/philadelphia-flyers-minnesota-wild-fgUdD0LB/
MIN,EDM,7,4,usa/nhl-2023-2024/minnesota-wild-edmonton-oilers-QaZDUh9U/
MIN,CBJ,4,5,usa/nhl-2023-2024/minnesota-wild-columbus-blue-jackets-0dEqm476/
MIN,LA,3,7,usa/nhl-2023-2024/minnesota-wild-los-angeles-kings-Moiby78f/
MTL,MIN,2,5,usa/nhl-2023-2024/montreal-canadiens-minnesota-wild-Sv8u7bB6/
TOR,MIN,7,4,usa/nhl-2023-2024/toronto-maple-leafs-minnesota-wild-Chm5FM3Q/
MIN,FLA,2,0,usa/nhl-2023-2024/minnesota-wild-florida-panthers-2uubmhph/
MIN,DAL,4,0,usa/nhl-2023-2024/minnesota-wild-dallas-stars-Qe5oWpoO/
CHI,MIN,2,3,usa/nhl-2023-2024/chicago-blackhawks-minnesota-wild-WY5sXQVH/
MIN,CHI,3,2,usa/nhl-2023-2024/minnesota-wild-chicago-blackhawks-IV1wY6GB/
MIN,COL,4,2,usa/nhl-2023-2024/minnesota-wild-colorado-avalanche-SxeOIzB7/
DAL,MIN,6,1,usa/nhl-2023-2024/dallas-stars-minnesota-wild-GbXEubIK/
COL,MIN,3,4,usa/nhl-2023-2024/colorado-avalanche-minnesota-wild-EZjKJGe1/
MIN,DAL,1,4,usa/nhl-2022-2023/minnesota-wild-dallas-stars-SnUvpKh4/
DAL,MIN,4,0,usa/nhl-2022-2023/dallas-stars-minnesota-wild-Y9UvORHH/
MIN,DAL,2,3,usa/nhl-2022-2023/minnesota-wild-dallas-stars-QVF27AyJ/
MIN,DAL,5,1,usa/nhl-2022-2023/minnesota-wild-dallas-stars-EeCb8jMC/
DAL,MIN,7,3,usa/nhl-2022-2023/dallas-stars-minnesota-wild-IRmh5Q93/
DAL,MIN,2,3,usa/nhl-2022-2023/dallas-stars-minnesota-wild-A1ll66fc/
