date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
27-09-2024,MIN,WPG,8,5,1,NHL,usa/nhl/minnesota-wild-winnipeg-jets-pG4Jkkdn/,-132,342
25-09-2024,DAL,MIN,5,2,1,NHL,usa/nhl/dallas-stars-minnesota-wild-Yw4N3ivB/,-231,404
21-09-2024,WPG,MIN,2,5,0,NHL,usa/nhl/winnipeg-jets-minnesota-wild-QBXhZTB5/,-126,337
18-04-2024,MIN,SEA,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-seattle-kraken-zyEbPNts/,-108,341
15-04-2024,LAK,MIN,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-minnesota-wild-8W0WLlzk/,-101,328
13-04-2024,SJ,MIN,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-minnesota-wild-E9uc7kLe/,275,343
12-04-2024,VGK,MIN,7,2,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-minnesota-wild-6qGJgWjd/,-107,335
09-04-2024,COL,MIN,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-minnesota-wild-tMQurZip/,-117,348
07-04-2024,CHI,MIN,0,4,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-minnesota-wild-veqUnOwC/,268,347
06-04-2024,MIN,WPG,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-winnipeg-jets-jX7RIwQO/,178,320
04-04-2024,MIN,COL,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-colorado-avalanche-K8u7b0LQ/,214,341
02-04-2024,MIN,OTT,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-ottawa-senators-Kn4WoNyL/,114,332
30-03-2024,MIN,VGK,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-vegas-golden-knights-QgbL8mRr/,156,314
28-03-2024,MIN,SJ,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-san-jose-sharks-8IRfhSt2/,-210,412
23-03-2024,MIN,STL,4,5,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-st-louis-blues-fDdcmta5/,109,319
20-03-2024,LAK,MIN,6,0,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-minnesota-wild-Ywt3w5Vt/,104,318
19-03-2024,ANA,MIN,0,4,0,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-minnesota-wild-MaCpLNFC/,290,343
16-03-2024,STL,MIN,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-minnesota-wild-ARy0RwLl/,167,324
14-03-2024,MIN,ANA,2,0,1,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-anaheim-ducks-pIggVnMM/,-174,387
12-03-2024,MIN,ARI,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-arizona-coyotes-OlQBI9xH/,-126,347
10-03-2024,MIN,NSH,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-nashville-predators-xIZy6WhB/,122,319
08-03-2024,COL,MIN,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-minnesota-wild-2aLggg95/,-142,368
07-03-2024,ARI,MIN,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-minnesota-wild-js9rdePn/,188,337
03-03-2024,MIN,SJ,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-san-jose-sharks-0foxu3le/,-206,411
02-03-2024,STL,MIN,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-minnesota-wild-vqq9o5BR/,167,333
29-02-2024,NSH,MIN,6,1,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-minnesota-wild-QRciiNpl/,138,323
27-02-2024,MIN,CAR,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-carolina-hurricanes-x8dGkA9q/,184,326
24-02-2024,SEA,MIN,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-minnesota-wild-l8H2pFX3/,108,320
23-02-2024,EDM,MIN,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-minnesota-wild-p84WXosS/,-117,355
20-02-2024,WPG,MIN,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-minnesota-wild-GSjpMlrG/,108,323
19-02-2024,MIN,VAN,10,7,1,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-vancouver-canucks-YqBo1m6j/,161,321
17-02-2024,MIN,BUF,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-buffalo-sabres-IRsm2pbD/,110,329
14-02-2024,ARI,MIN,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-minnesota-wild-pE7mEji8/,153,321
12-02-2024,VGK,MIN,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-minnesota-wild-4tXEaixF/,105,325
09-02-2024,MIN,PIT,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-pittsburgh-penguins-xEizlfw3/,172,329
07-02-2024,CHI,MIN,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-minnesota-wild-CSmCqunH/,259,332
27-01-2024,MIN,ANA,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-anaheim-ducks-t6UOlF6a/,-136,348
25-01-2024,MIN,NSH,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-nashville-predators-KWHYwbhs/,134,320
23-01-2024,MIN,WSH,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-washington-capitals-2HzTWtoE/,-103,329
21-01-2024,CAR,MIN,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-minnesota-wild-6uMdy6VT/,-115,344
19-01-2024,FLA,MIN,4,6,0,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-minnesota-wild-4hcFOSoO/,-126,348
18-01-2024,TB,MIN,7,3,1,NHL_2023/2024,usa/nhl-2023-2024/tampa-bay-lightning-minnesota-wild-UF2jUWHn/,113,332
