date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
12-10-2024,MTL,OTT,4,1,1,NHL,usa/nhl/montreal-canadiens-ottawa-senators-bgXavXf5/#home-away;1,136,-161
10-10-2024,BOS,MTL,6,4,1,NHL,usa/nhl/boston-bruins-montreal-canadiens-6PwITFtm/#home-away;1,-312,250
09-10-2024,MTL,TOR,1,0,1,NHL,usa/nhl/montreal-canadiens-toronto-maple-leafs-AyqhtY8e/#home-away;1,166,-199
05-10-2024,OTT,MTL,4,2,1,NHL,usa/nhl/ottawa-senators-montreal-canadiens-n52SaHUa/#home-away;1,-152,123
01-10-2024,MTL,OTT,3,4,0,NHL,usa/nhl/montreal-canadiens-ottawa-senators-rcuSWI0D/#home-away;1,173,-210
28-09-2024,MTL,TOR,1,2,0,NHL,usa/nhl/montreal-canadiens-toronto-maple-leafs-EHmBz11l/#home-away;1,-272,213
26-09-2024,TOR,MTL,2,1,1,NHL,usa/nhl/toronto-maple-leafs-montreal-canadiens-KGVxg9HF/#home-away;1,-337,256
24-09-2024,MTL,NJ,3,0,1,NHL,usa/nhl/montreal-canadiens-new-jersey-devils-YaXUfVn3/#home-away;1,-167,136
23-09-2024,MTL,PHI,5,0,1,NHL,usa/nhl/montreal-canadiens-philadelphia-flyers-h4frXRfd/#home-away;1,-187,151
16-04-2024,MTL,DET,4,5,0,NHL_2023/2024,usa/nhl-2023-2024/montreal-canadiens-detroit-red-wings-pU5uEfw4/#home-away;1,175,-206
15-04-2024,DET,MTL,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/detroit-red-wings-montreal-canadiens-jRnIdg8T/#home-away;1,-230,196
13-04-2024,OTT,MTL,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-montreal-canadiens-l2j10y94/#home-away;1,-163,141
11-04-2024,NYI,MTL,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-montreal-canadiens-4d9ypGON/#home-away;1,-224,190
