date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
27-09-2024,NYI,NJ,5,1,1,NHL,usa/nhl/new-york-islanders-new-jersey-devils-SrnqRgTb/,225,338,236,351
25-09-2024,NJ,WSH,3,5,0,NHL,usa/nhl/new-jersey-devils-washington-capitals-QsKZ078N/,-161,362,-143,383
24-09-2024,MTL,NJ,3,0,1,NHL,usa/nhl/montreal-canadiens-new-jersey-devils-YaXUfVn3/,-113,339,-101,363
22-09-2024,NJ,NYI,2,4,0,NHL,usa/nhl/new-jersey-devils-new-york-islanders-fVmyTFbn/,-127,338,-118,363
15-04-2024,NJ,NYI,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-new-york-islanders-GYLiTWsF/,162,317,174,358
13-04-2024,PHI,NJ,1,0,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-new-jersey-devils-Sl1EFDDF/,124,326,133,358
11-04-2024,TOR,NJ,5,6,0,NHL_2023/2024,usa/nhl-2023-2024/toronto-maple-leafs-new-jersey-devils-Q5AXpd9H/,-120,352,-114,384
09-04-2024,NJ,TOR,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-toronto-maple-leafs-0bP7j0ut/,168,329,179,373
07-04-2024,NJ,NSH,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-nashville-predators-nakpga0o/,159,330,167,368
06-04-2024,OTT,NJ,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-new-jersey-devils-hYaUxsBt/,168,332,179,373
03-04-2024,NYR,NJ,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-new-jersey-devils-tpmxzQPs/,-123,344,102,362
02-04-2024,NJ,PIT,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-pittsburgh-penguins-px81tSnE/,-103,338,108,363
29-03-2024,BUF,NJ,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-new-jersey-devils-UNCkE93L/,175,349,190,400
26-03-2024,TOR,NJ,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/toronto-maple-leafs-new-jersey-devils-ETZi9dYh/,103,343,110,384
24-03-2024,NYI,NJ,0,4,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-new-jersey-devils-AqJS2Lbh/,111,335,120,375
23-03-2024,NJ,OTT,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-ottawa-senators-zPeFew4g/,-101,339,106,368
21-03-2024,NJ,WPG,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-winnipeg-jets-GKShvxZI/,169,325,181,363
19-03-2024,NJ,PIT,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-pittsburgh-penguins-8MwxP5Gm/,148,325,158,353
17-03-2024,VGK,NJ,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-new-jersey-devils-0GUCOy57/,-115,345,-108,390
16-03-2024,ARI,NJ,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-new-jersey-devils-4MMFnlic/,203,335,215,378
14-03-2024,DAL,NJ,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-new-jersey-devils-6RfkWS6G/,-121,351,-110,394
11-03-2024,NYR,NJ,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-new-jersey-devils-4SJGbloo/,111,332,118,365
09-03-2024,NJ,CAR,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-carolina-hurricanes-hlE6jigO/,190,333,202,359
07-03-2024,NJ,STL,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-st-louis-blues-rw3SkK2D/,-109,342,100,380
05-03-2024,NJ,FLA,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-florida-panthers-IkWz04QK/,157,341,168,380
