date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
12-10-2024,DET,NSH,3,0,1,NHL,usa/nhl/detroit-red-wings-nashville-predators-fwKn7Izn/#home-away;1,122,-143
10-10-2024,NSH,DAL,3,4,0,NHL,usa/nhl/nashville-predators-dallas-stars-6e4m5yl1/#home-away;1,112,-132
05-10-2024,NSH,CAR,3,5,0,NHL,usa/nhl/nashville-predators-carolina-hurricanes-UHR7DBLh/#home-away;1,-320,245
02-10-2024,CAR,NSH,4,6,0,NHL,usa/nhl/carolina-hurricanes-nashville-predators-GABiBLvP/#home-away;1,213,-271
28-09-2024,NSH,TB,6,0,1,NHL,usa/nhl/nashville-predators-tampa-bay-lightning-C0qbOSZA/#home-away;1,-235,186
22-09-2024,FLA,NSH,3,2,1,NHL,usa/nhl/florida-panthers-nashville-predators-j7WPxSl4/#home-away;1,-280,198
03-05-2024,NSH,VAN,0,1,0,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-vancouver-canucks-CIYsuJh2/#home-away;1,-125,105
30-04-2024,VAN,NSH,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-nashville-predators-8ObtNnv1/#home-away;1,-128,109
28-04-2024,NSH,VAN,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-vancouver-canucks-Q7o5NLed/#home-away;1,-150,129
26-04-2024,NSH,VAN,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-vancouver-canucks-hfmcPsRq/#home-away;1,-118,100
23-04-2024,VAN,NSH,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-nashville-predators-Y96QU33M/#home-away;1,-128,108
21-04-2024,VAN,NSH,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-nashville-predators-82yNkdKr/#home-away;1,-150,129
15-04-2024,PIT,NSH,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-nashville-predators-fPKeSjcL/#home-away;1,-113,-104
13-04-2024,NSH,CBJ,6,4,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-columbus-blue-jackets-02aMDirS/#home-away;1,-284,235
12-04-2024,CHI,NSH,1,5,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-nashville-predators-ShHFfCyj/#home-away;1,210,-248
09-04-2024,NSH,WPG,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-winnipeg-jets-vkOBkKfn/#home-away;1,-107,-109
07-04-2024,NJ,NSH,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-nashville-predators-nakpga0o/#home-away;1,106,-124
06-04-2024,NYI,NSH,2,0,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-nashville-predators-hvoMlp9a/#home-away;1,-105,-111
02-04-2024,NSH,BOS,0,3,0,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-boston-bruins-vy1Av6HQ/#home-away;1,-108,-109
30-03-2024,COL,NSH,7,4,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-nashville-predators-MLiU6Ree/#home-away;1,-177,151
28-03-2024,ARI,NSH,8,4,1,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-nashville-predators-zPJtGVY8/#home-away;1,130,-151
26-03-2024,NSH,VGK,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-vegas-golden-knights-O4Y63hk3/#home-away;1,-148,127
23-03-2024,NSH,DET,1,0,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-detroit-red-wings-2wd1n0EB/#home-away;1,-166,143
21-03-2024,FLA,NSH,0,3,0,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-nashville-predators-2JXJZMU5/#home-away;1,-166,142
19-03-2024,NSH,SJ,8,2,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-san-jose-sharks-GnspNqo0/#home-away;1,-485,376
