date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
09-10-2024,PIT,NYR,0,6,0,NHL,usa/nhl/pittsburgh-penguins-new-york-rangers-pSz6hb4e/#home-away;1,124,-147
04-10-2024,NYI,NYR,5,2,1,NHL,usa/nhl/new-york-islanders-new-york-rangers-hSWMRWIG/#home-away;1,-111,-112
01-10-2024,NYR,NJ,5,4,1,NHL,usa/nhl/new-york-rangers-new-jersey-devils-h6enFgZA/#home-away;1,-490,353
30-09-2024,NJ,NYR,3,1,1,NHL,usa/nhl/new-jersey-devils-new-york-rangers-0CIDVEJi/#home-away;1,133,-164
26-09-2024,NYR,BOS,5,2,1,NHL,usa/nhl/new-york-rangers-boston-bruins-n9hvHF4b/#home-away;1,-183,148
24-09-2024,NYR,NYI,6,4,1,NHL,usa/nhl/new-york-rangers-new-york-islanders-p4zR7BRp/#home-away;1,-238,188
22-09-2024,BOS,NYR,2,3,0,NHL,usa/nhl/boston-bruins-new-york-rangers-zVOLbYlU/#home-away;1,-102,-122
01-06-2024,FLA,NYR,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-new-york-rangers-ruABZXTQ/#home-away;1,-168,144
30-05-2024,NYR,FLA,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-florida-panthers-xx4sCo4L/#home-away;1,109,-129
28-05-2024,FLA,NYR,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-new-york-rangers-fTduxnge/#home-away;1,-164,140
26-05-2024,FLA,NYR,4,5,0,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-new-york-rangers-YD8Ww8Or/#home-away;1,-163,140
24-05-2024,NYR,FLA,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-florida-panthers-Im31qU0L/#home-away;1,-105,-112
22-05-2024,NYR,FLA,0,3,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-florida-panthers-ML9hojW8/#home-away;1,100,-118
16-05-2024,CAR,NYR,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-new-york-rangers-OSYhcFLF/#home-away;1,-161,138
13-05-2024,NYR,CAR,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-carolina-hurricanes-CMEWhIid/#home-away;1,-106,-111
11-05-2024,CAR,NYR,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-new-york-rangers-z3SEjIlC/#home-away;1,-153,131
09-05-2024,CAR,NYR,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-new-york-rangers-G0CDhvKa/#home-away;1,-159,136
07-05-2024,NYR,CAR,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-carolina-hurricanes-rmE5f0km/#home-away;1,102,-121
05-05-2024,NYR,CAR,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-carolina-hurricanes-8d6icu1E/#home-away;1,-104,-115
28-04-2024,WSH,NYR,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/washington-capitals-new-york-rangers-YTQAfB4e/#home-away;1,170,-200
26-04-2024,WSH,NYR,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/washington-capitals-new-york-rangers-02D3dXZr/#home-away;1,156,-183
23-04-2024,NYR,WSH,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-washington-capitals-GUyX1gCL/#home-away;1,-287,237
21-04-2024,NYR,WSH,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-washington-capitals-Y7RlWFft/#home-away;1,-279,232
15-04-2024,NYR,OTT,4,0,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-ottawa-senators-d8PphDGp/#home-away;1,-214,182
13-04-2024,NYR,NYI,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-new-york-islanders-fa91IFTd/#home-away;1,-171,145
11-04-2024,NYR,PHI,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-philadelphia-flyers-zexy2fqG/#home-away;1,-207,176
09-04-2024,NYI,NYR,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-new-york-rangers-SEp5lyFG/#home-away;1,107,-126
07-04-2024,NYR,MTL,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-montreal-canadiens-MDioZbA5/#home-away;1,-370,300
05-04-2024,DET,NYR,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/detroit-red-wings-new-york-rangers-AiwkjxT6/#home-away;1,108,-128
03-04-2024,NYR,NJ,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-new-jersey-devils-tpmxzQPs/#home-away;1,-213,180
01-04-2024,NYR,PIT,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-pittsburgh-penguins-2gS2LQAl/#home-away;1,-190,162
30-03-2024,ARI,NYR,5,8,0,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-new-york-rangers-rVhQ77tk/#home-away;1,147,-173
28-03-2024,COL,NYR,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-new-york-rangers-dYKxHBJ2/#home-away;1,-145,124
26-03-2024,NYR,PHI,6,5,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-philadelphia-flyers-U5iGtVsj/#home-away;1,-181,154
23-03-2024,NYR,FLA,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-florida-panthers-tUf5oKTH/#home-away;1,-115,-102
21-03-2024,BOS,NYR,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-new-york-rangers-CUv7xPpm/#home-away;1,-150,130
19-03-2024,NYR,WPG,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-winnipeg-jets-z5XXr0Km/#home-away;1,-123,105
17-03-2024,NYR,NYI,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-new-york-islanders-6gV8PHk1/#home-away;1,-152,131
16-03-2024,PIT,NYR,4,7,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-new-york-rangers-xGYXN4Ed/#home-away;1,-103,-114
14-03-2024,TB,NYR,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/tampa-bay-lightning-new-york-rangers-lj0pX8iA/#home-away;1,-109,-107
12-03-2024,CAR,NYR,0,1,0,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-new-york-rangers-xYNaLBhb/#home-away;1,-179,152
11-03-2024,NYR,NJ,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-new-jersey-devils-4SJGbloo/#home-away;1,-142,122
04-03-2024,NYR,FLA,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-florida-panthers-8KlpwsJ7/#home-away;1,108,-129
02-03-2024,TOR,NYR,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/toronto-maple-leafs-new-york-rangers-WYukXN90/#home-away;1,-129,109
28-02-2024,NYR,CBJ,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-columbus-blue-jackets-CQlTn8g2/#home-away;1,-256,214
25-02-2024,CBJ,NYR,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-new-york-rangers-n3akyBfj/#home-away;1,146,-172
24-02-2024,PHI,NYR,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-new-york-rangers-QZV7OXAp/#home-away;1,118,-139
22-02-2024,NJ,NYR,1,5,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-new-york-rangers-bJ2KXylb/#home-away;1,-110,-108
20-02-2024,NYR,DAL,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-dallas-stars-4rOsKIJb/#home-away;1,-137,117
18-02-2024,NYI,NYR,5,6,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-new-york-rangers-QX4EI5rf/#home-away;1,122,-144
15-02-2024,NYR,MTL,7,4,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-montreal-canadiens-SA2xOkd6/#home-away;1,-252,217
12-02-2024,NYR,CGY,2,0,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-calgary-flames-SAt78AdJ/#home-away;1,-159,136
09-02-2024,CHI,NYR,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-new-york-rangers-IP8XnEh9/#home-away;1,250,-308
07-02-2024,NYR,TB,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-tampa-bay-lightning-rgq8pLWA/#home-away;1,-121,101
05-02-2024,NYR,COL,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-colorado-avalanche-UVxhl3Xo/#home-away;1,-107,-111
27-01-2024,OTT,NYR,2,7,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-new-york-rangers-IwI05ppA/#home-away;1,-115,-103
26-01-2024,NYR,VGK,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-vegas-golden-knights-bNGxwI7m/#home-away;1,-159,136
23-01-2024,SJ,NYR,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-new-york-rangers-OWOyVKFQ/#home-away;1,276,-345
21-01-2024,ANA,NYR,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-new-york-rangers-EcZiVT99/#home-away;1,185,-221
20-01-2024,LA,NYR,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-new-york-rangers-OGWixnGN/#home-away;1,-129,109
