date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
12-10-2024,CGY,PHI,6,3,1,NHL,usa/nhl/calgary-flames-philadelphia-flyers-fLQ8xBPH/#home-away;1,-130,110
11-10-2024,VAN,PHI,2,3,0,NHL,usa/nhl/vancouver-canucks-philadelphia-flyers-pWQqrFet/#home-away;1,-198,165
03-10-2024,PHI,NJ,5,4,1,NHL,usa/nhl/philadelphia-flyers-new-jersey-devils-UmKIAYrI/#home-away;1,-155,128
01-10-2024,BOS,PHI,4,1,1,NHL,usa/nhl/boston-bruins-philadelphia-flyers-8YV9CfE5/#home-away;1,-163,135
30-09-2024,NYI,PHI,4,3,1,NHL,usa/nhl/new-york-islanders-philadelphia-flyers-08S1EGqg/#home-away;1,-295,229
28-09-2024,PHI,BOS,3,2,1,NHL,usa/nhl/philadelphia-flyers-boston-bruins-4tZhGxFt/#home-away;1,-205,164
26-09-2024,PHI,NYI,2,0,1,NHL,usa/nhl/philadelphia-flyers-new-york-islanders-lUbqdZTO/#home-away;1,-143,116
23-09-2024,MTL,PHI,5,0,1,NHL,usa/nhl/montreal-canadiens-philadelphia-flyers-h4frXRfd/#home-away;1,-187,151
22-09-2024,WSH,PHI,2,6,0,NHL,usa/nhl/washington-capitals-philadelphia-flyers-fV5zbeaC/#home-away;1,136,-167
16-04-2024,PHI,WSH,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-washington-capitals-4bfuKS41/#home-away;1,-134,114
13-04-2024,PHI,NJ,1,0,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-new-jersey-devils-Sl1EFDDF/#home-away;1,-128,109
11-04-2024,NYR,PHI,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-philadelphia-flyers-zexy2fqG/#home-away;1,-207,176
09-04-2024,MTL,PHI,9,3,1,NHL_2023/2024,usa/nhl-2023-2024/montreal-canadiens-philadelphia-flyers-Oxl2VG9U/#home-away;1,120,-140
06-04-2024,CBJ,PHI,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-philadelphia-flyers-EmnIkQgg/#home-away;1,144,-166
05-04-2024,BUF,PHI,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-philadelphia-flyers-UsVthbbf/#home-away;1,-114,-103
01-04-2024,PHI,NYI,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-new-york-islanders-dGR6KpQf/#home-away;1,-123,105
30-03-2024,PHI,CHI,1,5,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-chicago-blackhawks-Uoex55Q7/#home-away;1,-303,246
28-03-2024,MTL,PHI,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/montreal-canadiens-philadelphia-flyers-QXGD4YnO/#home-away;1,139,-161
26-03-2024,NYR,PHI,6,5,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-philadelphia-flyers-U5iGtVsj/#home-away;1,-181,154
24-03-2024,PHI,FLA,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-florida-panthers-lzIW1uEb/#home-away;1,130,-151
23-03-2024,PHI,BOS,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-boston-bruins-GMcglMqa/#home-away;1,115,-134
21-03-2024,CAR,PHI,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-philadelphia-flyers-t4qByq0g/#home-away;1,-256,215
19-03-2024,PHI,TOR,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-toronto-maple-leafs-nuyxrKZg/#home-away;1,110,-129
16-03-2024,BOS,PHI,6,5,1,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-philadelphia-flyers-QyBOpSL9/#home-away;1,-197,168
14-03-2024,PHI,TOR,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-toronto-maple-leafs-rZEQlVj9/#home-away;1,-104,-114
12-03-2024,PHI,SJ,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-san-jose-sharks-GOM3KV74/#home-away;1,-365,289
09-03-2024,TB,PHI,7,0,1,NHL_2023/2024,usa/nhl-2023-2024/tampa-bay-lightning-philadelphia-flyers-WEqHAfvt/#home-away;1,-144,125
07-03-2024,FLA,PHI,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-philadelphia-flyers-4n4Oj0m7/#home-away;1,-246,208
02-03-2024,PHI,OTT,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-ottawa-senators-AJitZqul/#home-away;1,-133,113
01-03-2024,WSH,PHI,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/washington-capitals-philadelphia-flyers-f7k8mupD/#home-away;1,123,-149
27-02-2024,PHI,TB,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-tampa-bay-lightning-KS9lfj1S/#home-away;1,113,-134
25-02-2024,PIT,PHI,7,6,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-philadelphia-flyers-GK8JtXWS/#home-away;1,-179,152
24-02-2024,PHI,NYR,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-new-york-rangers-QZV7OXAp/#home-away;1,118,-139
21-02-2024,CHI,PHI,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-philadelphia-flyers-nuZ1FfYT/#home-away;1,207,-247
17-02-2024,NJ,PHI,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-philadelphia-flyers-SdPwP75Q/#home-away;1,-140,119
15-02-2024,TOR,PHI,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/toronto-maple-leafs-philadelphia-flyers-zy6pMTQI/#home-away;1,-149,130
12-02-2024,PHI,ARI,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-arizona-coyotes-AJXA0XM8/#home-away;1,-153,131
10-02-2024,PHI,SEA,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-seattle-kraken-ImiKwAFe/#home-away;1,-110,-108
08-02-2024,PHI,WPG,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-winnipeg-jets-CYWOeXCD/#home-away;1,108,-129
06-02-2024,FLA,PHI,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-philadelphia-flyers-Mweans2b/#home-away;1,-196,166
27-01-2024,PHI,BOS,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-boston-bruins-QZ7gZZ6C/#home-away;1,133,-156
25-01-2024,DET,PHI,3,0,1,NHL_2023/2024,usa/nhl-2023-2024/detroit-red-wings-philadelphia-flyers-nqmKKzhJ/#home-away;1,-114,-104
23-01-2024,PHI,TB,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-tampa-bay-lightning-zBrs9wg7/#home-away;1,-107,-111
21-01-2024,PHI,OTT,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-ottawa-senators-6XVqXkuc/#home-away;1,-152,130
20-01-2024,PHI,COL,4,7,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-colorado-avalanche-M9RTsjnn/#home-away;1,-106,-113
18-01-2024,PHI,DAL,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-dallas-stars-niDoVC2t/#home-away;1,116,-137
13-01-2024,WPG,PHI,0,2,0,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-philadelphia-flyers-jssT5Dtb/#home-away;1,-215,182
12-01-2024,MIN,PHI,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-philadelphia-flyers-4W3z73KL/#home-away;1,-105,-111
10-01-2024,PHI,MTL,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-montreal-canadiens-pO2pedSu/#home-away;1,-182,156
08-01-2024,PHI,PIT,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-pittsburgh-penguins-tKaXfxAT/#home-away;1,108,-128
06-01-2024,PHI,CGY,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-calgary-flames-OYNmxrM0/#home-away;1,-107,-110
04-01-2024,PHI,CBJ,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-columbus-blue-jackets-vTSd5VRJ/#home-away;1,-180,153
02-01-2024,EDM,PHI,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-philadelphia-flyers-lG95P4xe/#home-away;1,-180,154
31-12-2023,CGY,PHI,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/calgary-flames-philadelphia-flyers-Kv4UXSUE/#home-away;1,-147,126
29-12-2023,SEA,PHI,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-philadelphia-flyers-IPKcHVL7/#home-away;1,-137,117
28-12-2023,VAN,PHI,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-philadelphia-flyers-lIpsw3kc/#home-away;1,-151,130
22-12-2023,DET,PHI,7,6,1,NHL_2023/2024,usa/nhl-2023-2024/detroit-red-wings-philadelphia-flyers-MiMXG7Pu/#home-away;1,-130,110
21-12-2023,PHI,NSH,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-nashville-predators-CQQMbQ9B/#home-away;1,-114,-104
19-12-2023,NJ,PHI,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-philadelphia-flyers-nPjlpRfI/#home-away;1,-162,138
16-12-2023,PHI,DET,1,0,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-detroit-red-wings-861SfYF6/#home-away;1,-125,106
14-12-2023,PHI,WSH,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-washington-capitals-zgsksFo7/#home-away;1,-131,112
12-12-2023,NSH,PHI,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-philadelphia-flyers-h69cia9E/#home-away;1,-136,116
09-12-2023,COL,PHI,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-philadelphia-flyers-bZxMi83c/#home-away;1,-171,148
07-12-2023,ARI,PHI,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-philadelphia-flyers-6uErvkZc/#home-away;1,-103,-114
04-12-2023,PHI,PIT,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-pittsburgh-penguins-viFSCCza/#home-away;1,100,-117
02-12-2023,PIT,PHI,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-philadelphia-flyers-x2ifGQPg/#home-away;1,-169,146
30-11-2023,PHI,NJ,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-new-jersey-devils-lQfqLFBL/#home-away;1,117,-136
28-11-2023,PHI,CAR,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-carolina-hurricanes-Mky28xSF/#home-away;1,141,-162
25-11-2023,NYI,PHI,0,1,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-philadelphia-flyers-YTIFduT3/#home-away;1,-148,128
24-11-2023,PHI,NYR,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-new-york-rangers-EkHpqMb4/#home-away;1,125,-143
22-11-2023,NYI,PHI,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-philadelphia-flyers-jXDMv77I/#home-away;1,-149,129
19-11-2023,PHI,CBJ,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-columbus-blue-jackets-Ag6RUVwf/#home-away;1,-166,143
18-11-2023,PHI,VGK,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-vegas-golden-knights-SGLcFjv7/#home-away;1,134,-155
15-11-2023,CAR,PHI,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-philadelphia-flyers-jLmMFVc9/#home-away;1,-227,192
