date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
12-10-2024,TOR,PIT,4,2,1,NHL,usa/nhl/toronto-maple-leafs-pittsburgh-penguins-QuZitgQh/#home-away;1,-190,158
10-10-2024,DET,PIT,3,6,0,NHL,usa/nhl/detroit-red-wings-pittsburgh-penguins-EcP8CJeR/#home-away;1,-148,126
09-10-2024,PIT,NYR,0,6,0,NHL,usa/nhl/pittsburgh-penguins-new-york-rangers-pSz6hb4e/#home-away;1,124,-147
04-10-2024,PIT,CBJ,7,3,1,NHL,usa/nhl/pittsburgh-penguins-columbus-blue-jackets-UoVY5UZa/#home-away;1,-318,244
03-10-2024,CBJ,PIT,1,3,0,NHL,usa/nhl/columbus-blue-jackets-pittsburgh-penguins-OlSQ7j5m/#home-away;1,-269,213
01-10-2024,PIT,DET,1,2,0,NHL,usa/nhl/pittsburgh-penguins-detroit-red-wings-Ag48Jc5l/#home-away;1,-377,293
30-09-2024,DET,PIT,1,5,0,NHL,usa/nhl/detroit-red-wings-pittsburgh-penguins-jkXs3xL7/#home-away;1,-286,210
29-09-2024,OTT,PIT,2,5,0,NHL,usa/nhl/ottawa-senators-pittsburgh-penguins-ENIxPJsR/#home-away;1,-108,-115
24-09-2024,PIT,BUF,2,3,0,NHL,usa/nhl/pittsburgh-penguins-buffalo-sabres-GWIajay2/#home-away;1,-219,175
21-09-2024,BUF,PIT,7,3,1,NHL,usa/nhl/buffalo-sabres-pittsburgh-penguins-UFKihL6k/#home-away;1,-366,280
17-04-2024,NYI,PIT,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-pittsburgh-penguins-dhsRsWd8/#home-away;1,111,-130
15-04-2024,PIT,NSH,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-nashville-predators-fPKeSjcL/#home-away;1,-113,-104
13-04-2024,PIT,BOS,4,6,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-boston-bruins-tdsk9Bjq/#home-away;1,113,-133
11-04-2024,PIT,DET,6,5,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-detroit-red-wings-Eoyu1EbM/#home-away;1,-158,136
08-04-2024,TOR,PIT,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/toronto-maple-leafs-pittsburgh-penguins-jmdkYIPB/#home-away;1,-140,120
06-04-2024,PIT,TB,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-tampa-bay-lightning-Mk7wc81J/#home-away;1,-103,-114
04-04-2024,WSH,PIT,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/washington-capitals-pittsburgh-penguins-xpj2at6K/#home-away;1,-104,-113
02-04-2024,NJ,PIT,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-pittsburgh-penguins-px81tSnE/#home-away;1,-168,145
01-04-2024,NYR,PIT,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-pittsburgh-penguins-2gS2LQAl/#home-away;1,-190,162
30-03-2024,CBJ,PIT,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-pittsburgh-penguins-GriY5oB1/#home-away;1,151,-177
28-03-2024,PIT,CBJ,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-columbus-blue-jackets-URSjg8Re/#home-away;1,-236,198
26-03-2024,PIT,CAR,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-carolina-hurricanes-8djKukcd/#home-away;1,163,-191
24-03-2024,COL,PIT,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-pittsburgh-penguins-h8ON31qn/#home-away;1,-244,207
22-03-2024,DAL,PIT,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-pittsburgh-penguins-QX4tiOat/#home-away;1,-194,165
19-03-2024,NJ,PIT,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-pittsburgh-penguins-8MwxP5Gm/#home-away;1,-105,-112
17-03-2024,PIT,DET,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-detroit-red-wings-GObcWmOD/#home-away;1,-137,118
16-03-2024,PIT,NYR,4,7,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-new-york-rangers-xGYXN4Ed/#home-away;1,-103,-114
14-03-2024,PIT,SJ,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-san-jose-sharks-Aa1tYlx4/#home-away;1,-338,275
12-03-2024,OTT,PIT,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-pittsburgh-penguins-rZheZkiM/#home-away;1,105,-123
10-03-2024,PIT,EDM,0,4,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-edmonton-oilers-Eg1vwYic/#home-away;1,140,-161
09-03-2024,BOS,PIT,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-pittsburgh-penguins-WvDAkB8U/#home-away;1,-196,170
07-03-2024,PIT,WSH,0,6,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-washington-capitals-dtiAE3uE/#home-away;1,-169,145
05-03-2024,PIT,CBJ,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-columbus-blue-jackets-dtVvaOuR/#home-away;1,-244,206
03-03-2024,EDM,PIT,6,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-pittsburgh-penguins-GGC1xJot/#home-away;1,-194,164
02-03-2024,CGY,PIT,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/calgary-flames-pittsburgh-penguins-pxpgWsP6/#home-away;1,-124,104
29-02-2024,SEA,PIT,2,0,1,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-pittsburgh-penguins-Mgi0k1F0/#home-away;1,-114,-104
27-02-2024,VAN,PIT,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-pittsburgh-penguins-x4nty6N2/#home-away;1,-150,129
25-02-2024,PIT,PHI,7,6,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-philadelphia-flyers-GK8JtXWS/#home-away;1,-179,152
22-02-2024,PIT,MTL,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-montreal-canadiens-2P8BxASd/#home-away;1,-282,231
20-02-2024,PIT,NYI,4,5,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-new-york-islanders-YHSoJxZ4/#home-away;1,-129,109
18-02-2024,PIT,LA,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-los-angeles-kings-bo3MGqD6/#home-away;1,-133,112
15-02-2024,CHI,PIT,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-pittsburgh-penguins-G2oW5Sbl/#home-away;1,163,-186
14-02-2024,PIT,FLA,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-florida-panthers-Wd46k7E7/#home-away;1,115,-135
10-02-2024,WPG,PIT,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-pittsburgh-penguins-bVljChcf/#home-away;1,-150,128
09-02-2024,MIN,PIT,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-pittsburgh-penguins-xEizlfw3/#home-away;1,112,-133
06-02-2024,PIT,WPG,3,0,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-winnipeg-jets-CAlx5yjR/#home-away;1,-109,-109
27-01-2024,PIT,MTL,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-montreal-canadiens-bkZc44aG/#home-away;1,-222,186
26-01-2024,PIT,FLA,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-florida-panthers-tn6sxxNg/#home-away;1,114,-135
22-01-2024,ARI,PIT,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-pittsburgh-penguins-nkjUBu9l/#home-away;1,138,-161
20-01-2024,VGK,PIT,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-pittsburgh-penguins-pQXmwS0H/#home-away;1,115,-135
15-01-2024,PIT,SEA,3,0,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-seattle-kraken-2obnZL3E/#home-away;1,-147,126
13-01-2024,CAR,PIT,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-pittsburgh-penguins-E5gA01ck/#home-away;1,-138,118
11-01-2024,PIT,VAN,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-vancouver-canucks-nma1iER4/#home-away;1,-128,108
11-01-2024,PHI,PIT,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-pittsburgh-penguins-tKaXfxAT/#home-away;1,-128,108
06-01-2024,PIT,BUF,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-buffalo-sabres-044Ca0eb/#home-away;1,-162,140
04-01-2024,BOS,PIT,5,6,0,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-pittsburgh-penguins-nZuBsSZC/#home-away;1,-146,125
