date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
27-09-2024,SEA,VAN,3,1,1,NHL,usa/nhl/seattle-kraken-vancouver-canucks-2ZqjVp3B/,120,320,127,336
24-09-2024,VAN,SEA,3,1,1,NHL,usa/nhl/vancouver-canucks-seattle-kraken-zNhZYS3n/,107,340,110,362
22-09-2024,SEA,CGY,1,6,0,NHL,usa/nhl/seattle-kraken-calgary-flames-vNemZRW7/,-158,358,-147,380
18-04-2024,MIN,SEA,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-seattle-kraken-zyEbPNts/,-108,341,100,374
16-04-2024,WPG,SEA,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-seattle-kraken-bX9qDEhA/,-137,342,-125,378
14-04-2024,STL,SEA,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-seattle-kraken-SCq169z2/,122,319,125,358
13-04-2024,DAL,SEA,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-seattle-kraken-Yk85HZr3/,-144,349,-130,394
11-04-2024,SEA,SJ,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-san-jose-sharks-88zq0YDS/,-169,377,-139,403
09-04-2024,SEA,ARI,5,0,1,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-arizona-coyotes-MH3S5xpi/,114,326,120,363
05-04-2024,ANA,SEA,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-seattle-kraken-4ExgkdrD/,215,328,229,358
03-04-2024,LAK,SEA,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-seattle-kraken-WnaCxJb7/,-112,322,-104,363
01-04-2024,SJ,SEA,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-seattle-kraken-hrLFIOf7/,279,336,300,378
30-03-2024,SEA,DAL,0,3,0,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-dallas-stars-r9oWQnmR/,215,326,225,363
28-03-2024,SEA,ANA,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-anaheim-ducks-Im9oFklF/,-127,339,-119,379
26-03-2024,SEA,ANA,4,0,1,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-anaheim-ducks-dIWE1WJF/,-119,335,-110,373
24-03-2024,SEA,MTL,1,5,0,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-montreal-canadiens-MLHpBI3t/,101,325,110,358
