date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
12-10-2024,SJ,ANA,0,2,0,NHL,usa/nhl/san-jose-sharks-anaheim-ducks-rZ6wGDJG/#home-away;1,115,-136
05-10-2024,VGK,SJ,5,6,0,NHL,usa/nhl/vegas-golden-knights-san-jose-sharks-pQB1KlBj/#home-away;1,-352,269
04-10-2024,SJ,ANA,2,3,0,NHL,usa/nhl/san-jose-sharks-anaheim-ducks-vgnABTo2/#home-away;1,114,-140
26-09-2024,ANA,SJ,2,3,0,NHL,usa/nhl/anaheim-ducks-san-jose-sharks-YuH9DkHk/#home-away;1,-265,207
24-09-2024,SJ,ANA,3,4,0,NHL,usa/nhl/san-jose-sharks-anaheim-ducks-xAVwJBgS/#home-away;1,-197,158
22-09-2024,SJ,VGK,2,4,0,NHL,usa/nhl/san-jose-sharks-vegas-golden-knights-v3VC0fKH/#home-away;1,-197,157
18-04-2024,CGY,SJ,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/calgary-flames-san-jose-sharks-rqnMi4M1/#home-away;1,-282,238
15-04-2024,EDM,SJ,9,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-san-jose-sharks-zaOliXVj/#home-away;1,-568,428
13-04-2024,SJ,MIN,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-minnesota-wild-E9uc7kLe/#home-away;1,181,-214
11-04-2024,SEA,SJ,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-san-jose-sharks-88zq0YDS/#home-away;1,-289,236
09-04-2024,SJ,CGY,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-calgary-flames-dQIGlvAh/#home-away;1,180,-213
07-04-2024,SJ,ARI,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-arizona-coyotes-Ye12UFNp/#home-away;1,187,-220
04-04-2024,SJ,LA,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-los-angeles-kings-jiWxgvql/#home-away;1,250,-305
01-04-2024,SJ,SEA,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-seattle-kraken-hrLFIOf7/#home-away;1,184,-217
28-03-2024,MIN,SJ,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-san-jose-sharks-8IRfhSt2/#home-away;1,-388,313
26-03-2024,SJ,DAL,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-dallas-stars-xUmC0jZL/#home-away;1,322,-413
23-03-2024,SJ,CHI,4,5,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-chicago-blackhawks-xdlEqbbU/#home-away;1,105,-123
21-03-2024,SJ,TB,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-tampa-bay-lightning-n7ZVWKEO/#home-away;1,285,-355
19-03-2024,NSH,SJ,8,2,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-san-jose-sharks-GnspNqo0/#home-away;1,-485,376
17-03-2024,CHI,SJ,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-san-jose-sharks-CjYGNeKD/#home-away;1,-175,150
16-03-2024,CBJ,SJ,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-san-jose-sharks-vuFSqnyG/#home-away;1,-200,169
14-03-2024,PIT,SJ,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-san-jose-sharks-Aa1tYlx4/#home-away;1,-338,275
12-03-2024,PHI,SJ,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-san-jose-sharks-GOM3KV74/#home-away;1,-365,289
09-03-2024,SJ,OTT,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-ottawa-senators-2FLswjxi/#home-away;1,195,-223
07-03-2024,SJ,NYI,2,7,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-new-york-islanders-UX7neFvg/#home-away;1,261,-321
05-03-2024,SJ,DAL,6,7,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-dallas-stars-8KAFhMIf/#home-away;1,337,-435
03-03-2024,MIN,SJ,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-san-jose-sharks-0foxu3le/#home-away;1,-342,276
02-03-2024,DAL,SJ,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-san-jose-sharks-pMq5nodL/#home-away;1,-656,468
29-02-2024,SJ,ANA,4,6,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-anaheim-ducks-0pj4lLU6/#home-away;1,111,-136
27-02-2024,SJ,NJ,2,7,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-new-jersey-devils-YZkPmlvd/#home-away;1,223,-272
24-02-2024,SJ,NSH,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-nashville-predators-SbG6qZnA/#home-away;1,201,-240
19-02-2024,SJ,VGK,0,4,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-vegas-golden-knights-rTZYLvkn/#home-away;1,223,-272
17-02-2024,SJ,CBJ,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-columbus-blue-jackets-U5B5KRDs/#home-away;1,130,-153
15-02-2024,CGY,SJ,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/calgary-flames-san-jose-sharks-2cCMTupP/#home-away;1,-330,273
14-02-2024,WPG,SJ,1,0,1,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-san-jose-sharks-pnDXOVt0/#home-away;1,-471,365
31-01-2024,ANA,SJ,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-san-jose-sharks-juvlkqIu/#home-away;1,-188,159
30-01-2024,SJ,SEA,2,0,1,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-seattle-kraken-AoMuoX5O/#home-away;1,202,-241
27-01-2024,SJ,BUF,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-buffalo-sabres-M112XDyP/#home-away;1,168,-200
23-01-2024,SJ,NYR,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-new-york-rangers-OWOyVKFQ/#home-away;1,276,-345
22-01-2024,LA,SJ,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-san-jose-sharks-tCkYAaOf/#home-away;1,-388,309
20-01-2024,SJ,ANA,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-anaheim-ducks-jkJpv8oB/#home-away;1,110,-131
16-01-2024,CHI,SJ,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-san-jose-sharks-xQHzDVnC/#home-away;1,-150,127
15-01-2024,BUF,SJ,3,0,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-san-jose-sharks-Us3hDvse/#home-away;1,-276,229
13-01-2024,OTT,SJ,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-san-jose-sharks-IywpqjZp/#home-away;1,-245,207
11-01-2024,MTL,SJ,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/montreal-canadiens-san-jose-sharks-IDfchfCb/#home-away;1,-163,141
09-01-2024,TOR,SJ,7,1,1,NHL_2023/2024,usa/nhl-2023-2024/toronto-maple-leafs-san-jose-sharks-vNZNwec5/#home-away;1,-450,347
06-01-2024,SJ,TOR,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-toronto-maple-leafs-Y35va5TD/#home-away;1,240,-294
04-01-2024,SJ,WPG,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-winnipeg-jets-S6Uvv4il/#home-away;1,229,-278
02-01-2024,SJ,DET,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-detroit-red-wings-j7n2ql50/#home-away;1,166,-195
31-12-2023,COL,SJ,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-san-jose-sharks-dW7PVUz1/#home-away;1,-397,318
28-12-2023,SJ,EDM,0,5,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-edmonton-oilers-S8qoxN43/#home-away;1,342,-442
27-12-2023,LA,SJ,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-san-jose-sharks-bFl2SeU8/#home-away;1,-357,291
23-12-2023,VAN,SJ,7,4,1,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-san-jose-sharks-UDHKL1KM/#home-away;1,-309,253
21-12-2023,SJ,ARI,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-arizona-coyotes-bsTYeOgU/#home-away;1,131,-153
19-12-2023,SJ,LA,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-los-angeles-kings-0Mq13let/#home-away;1,220,-268
17-12-2023,COL,SJ,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-san-jose-sharks-86NcADFg/#home-away;1,-284,235
15-12-2023,ARI,SJ,1,0,1,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-san-jose-sharks-vR9BbGGs/#home-away;1,-187,160
12-12-2023,SJ,WPG,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-winnipeg-jets-EBj0A4dA/#home-away;1,173,-202
10-12-2023,VGK,SJ,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-san-jose-sharks-pj93VHne/#home-away;1,-329,267
10-12-2023,DET,SJ,5,6,0,NHL_2023/2024,usa/nhl-2023-2024/detroit-red-wings-san-jose-sharks-0voMMm4N/#home-away;1,-329,267
05-12-2023,NYI,SJ,4,5,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-san-jose-sharks-dSogTXKu/#home-away;1,-314,257
03-12-2023,NYR,SJ,6,5,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-san-jose-sharks-rL97B2vP/#home-away;1,-431,335
01-12-2023,NJ,SJ,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-san-jose-sharks-MXsWBBY7/#home-away;1,-476,370
30-11-2023,BOS,SJ,3,0,1,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-san-jose-sharks-29hXNHR2/#home-away;1,-538,414
27-11-2023,SJ,WSH,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-washington-capitals-QNsgAbc3/#home-away;1,208,-245
25-11-2023,SJ,VAN,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-vancouver-canucks-EVApzCcq/#home-away;1,231,-278
24-11-2023,SJ,MTL,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-montreal-canadiens-lE8JLCrj/#home-away;1,129,-147
22-11-2023,SEA,SJ,7,1,1,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-san-jose-sharks-hzTyorUi/#home-away;1,-310,259
20-11-2023,VAN,SJ,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-san-jose-sharks-U3xOWxii/#home-away;1,-397,319
14-11-2023,SJ,FLA,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-florida-panthers-YqgHGBr3/#home-away;1,244,-299
12-11-2023,ANA,SJ,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-san-jose-sharks-EZxr2CT9/#home-away;1,-189,163
10-11-2023,VGK,SJ,5,0,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-san-jose-sharks-S4ecjFUc/#home-away;1,-549,419
09-11-2023,SJ,EDM,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-edmonton-oilers-U7Y799gQ/#home-away;1,280,-345
07-11-2023,SJ,PHI,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-philadelphia-flyers-nklfqG7O/#home-away;1,175,-207
04-11-2023,SJ,PIT,2,10,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-pittsburgh-penguins-2Lp3ooXf/#home-away;1,217,-256
02-11-2023,SJ,VAN,1,10,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-vancouver-canucks-lAlLgrxq/#home-away;1,201,-238
29-10-2023,WSH,SJ,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/washington-capitals-san-jose-sharks-ATn3Uhd3/#home-away;1,-222,186
27-10-2023,CAR,SJ,3,0,1,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-san-jose-sharks-tlZGIeci/#home-away;1,-446,350
26-10-2023,TB,SJ,6,0,1,NHL_2023/2024,usa/nhl-2023-2024/tampa-bay-lightning-san-jose-sharks-lfnVfh5p/#home-away;1,-296,242
24-10-2023,FLA,SJ,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-san-jose-sharks-nT4JasiC/#home-away;1,-238,208
21-10-2023,NSH,SJ,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-san-jose-sharks-rL3lnOMC/#home-away;1,-248,211
19-10-2023,SJ,BOS,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-boston-bruins-21Wdd8pK/#home-away;1,233,-284
17-10-2023,SJ,CAR,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-carolina-hurricanes-CCHEqV0E/#home-away;1,252,-305
14-10-2023,SJ,COL,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-colorado-avalanche-4U2Wqvec/#home-away;1,245,-298
12-10-2023,SJ,VGK,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-vegas-golden-knights-OfT6oWE4/#home-away;1,211,-250
05-10-2023,LA,SJ,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-san-jose-sharks-I9l99BGd/#home-away;1,-214,168
03-10-2023,VGK,SJ,0,2,0,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-san-jose-sharks-S0X2DuZR/#home-away;1,-135,108
30-09-2023,SJ,LA,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-los-angeles-kings-Aqo1BXop/#home-away;1,-184,150
27-09-2023,ANA,SJ,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-san-jose-sharks-6afHHiUB/#home-away;1,-159,132
26-09-2023,SJ,ANA,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-anaheim-ducks-nclKi4Ak/#home-away;1,-160,132
