team_1,team_2,score_1,score_2,game_url
VAN,PHI,2,3,usa/nhl/vancouver-canucks-philadelphia-flyers-pWQqrFet/
VAN,CGY,5,6,usa/nhl/vancouver-canucks-calgary-flames-zwHpnOdE/
VAN,EDM,4,1,usa/nhl/vancouver-canucks-edmonton-oilers-bPiNThq4/
EDM,VAN,3,2,usa/nhl/edmonton-oilers-vancouver-canucks-C8gFVEEi/
CGY,VAN,4,2,usa/nhl/calgary-flames-vancouver-canucks-b1waTOXN/
SEA,VAN,3,1,usa/nhl/seattle-kraken-vancouver-canucks-2ZqjVp3B/
VAN,CGY,4,3,usa/nhl/vancouver-canucks-calgary-flames-ULorX6Yb/
VAN,SEA,3,1,usa/nhl/vancouver-canucks-seattle-kraken-zNhZYS3n/
VAN,EDM,2,3,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-jsVzT6qT/
EDM,VAN,5,1,usa/nhl-2023-2024/edmonton-oilers-vancouver-canucks-QJRpfL6b/
VAN,EDM,3,2,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-2DUxfLeC/
EDM,VAN,3,2,usa/nhl-2023-2024/edmonton-oilers-vancouver-canucks-6yQyZZAd/
EDM,VAN,3,4,usa/nhl-2023-2024/edmonton-oilers-vancouver-canucks-bBMTzdtp/
VAN,EDM,3,4,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-EwoctIIM/
VAN,EDM,5,4,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-b3vbVeFk/
NSH,VAN,0,1,usa/nhl-2023-2024/nashville-predators-vancouver-canucks-CIYsuJh2/
VAN,NSH,1,2,usa/nhl-2023-2024/vancouver-canucks-nashville-predators-8ObtNnv1/
NSH,VAN,3,4,usa/nhl-2023-2024/nashville-predators-vancouver-canucks-Q7o5NLed/
NSH,VAN,1,2,usa/nhl-2023-2024/nashville-predators-vancouver-canucks-hfmcPsRq/
VAN,NSH,1,4,usa/nhl-2023-2024/vancouver-canucks-nashville-predators-Y96QU33M/
VAN,NSH,4,2,usa/nhl-2023-2024/vancouver-canucks-nashville-predators-82yNkdKr/
WPG,VAN,4,2,usa/nhl-2023-2024/winnipeg-jets-vancouver-canucks-lMnIhp7e/
VAN,CGY,4,1,usa/nhl-2023-2024/vancouver-canucks-calgary-flames-hf9mCY7G/
EDM,VAN,1,3,usa/nhl-2023-2024/edmonton-oilers-vancouver-canucks-pUqAbFwH/
VAN,ARI,3,4,usa/nhl-2023-2024/vancouver-canucks-arizona-coyotes-UwHOnIv5/
VAN,VGK,4,3,usa/nhl-2023-2024/vancouver-canucks-vegas-golden-knights-UwegXxuI/
LAK,VAN,6,3,usa/nhl-2023-2024/los-angeles-kings-vancouver-canucks-0b3xyLug/
ARI,VAN,1,2,usa/nhl-2023-2024/arizona-coyotes-vancouver-canucks-jyrFwaq1/
VGK,VAN,6,3,usa/nhl-2023-2024/vegas-golden-knights-vancouver-canucks-4Ku3t1ar/
VAN,ANA,3,2,usa/nhl-2023-2024/vancouver-canucks-anaheim-ducks-GIXcyFHo/
VAN,DAL,1,3,usa/nhl-2023-2024/vancouver-canucks-dallas-stars-8CAWKgX4/
VAN,LAK,2,3,usa/nhl-2023-2024/vancouver-canucks-los-angeles-kings-GrHlAxJn/
VAN,CGY,4,2,usa/nhl-2023-2024/vancouver-canucks-calgary-flames-dvpOgHY5/
VAN,MTL,4,1,usa/nhl-2023-2024/vancouver-canucks-montreal-canadiens-l8c7caZt/
VAN,BUF,3,2,usa/nhl-2023-2024/vancouver-canucks-buffalo-sabres-KhZqtb46/
VAN,WSH,1,2,usa/nhl-2023-2024/vancouver-canucks-washington-capitals-6ow9voT1/
VAN,COL,3,4,usa/nhl-2023-2024/vancouver-canucks-colorado-avalanche-Y3XZR7qd/
VAN,WPG,5,0,usa/nhl-2023-2024/vancouver-canucks-winnipeg-jets-0jczvExi/
VGK,VAN,1,3,usa/nhl-2023-2024/vegas-golden-knights-vancouver-canucks-O0renfF4/
LAK,VAN,1,2,usa/nhl-2023-2024/los-angeles-kings-vancouver-canucks-hM7QWEFH/
ANA,VAN,1,2,usa/nhl-2023-2024/anaheim-ducks-vancouver-canucks-Ikr1ULgJ/
VAN,LAK,1,5,usa/nhl-2023-2024/vancouver-canucks-los-angeles-kings-8hQOSsVr/
VAN,PIT,3,4,usa/nhl-2023-2024/vancouver-canucks-pittsburgh-penguins-x4nty6N2/
VAN,BOS,3,2,usa/nhl-2023-2024/vancouver-canucks-boston-bruins-MmbAQ3Z1/
SEA,VAN,5,2,usa/nhl-2023-2024/seattle-kraken-vancouver-canucks-AkCJzlc9/
COL,VAN,3,1,usa/nhl-2023-2024/colorado-avalanche-vancouver-canucks-UVflL8cM/
MIN,VAN,10,7,usa/nhl-2023-2024/minnesota-wild-vancouver-canucks-YqBo1m6j/
VAN,WPG,2,4,usa/nhl-2023-2024/vancouver-canucks-winnipeg-jets-tCgDJeMH/
VAN,DET,4,1,usa/nhl-2023-2024/vancouver-canucks-detroit-red-wings-46blPaht/
CHI,VAN,2,4,usa/nhl-2023-2024/chicago-blackhawks-vancouver-canucks-xM9PQiCm/
WSH,VAN,2,3,usa/nhl-2023-2024/washington-capitals-vancouver-canucks-lKs39jsD/
