team_1,team_2,score_1,score_2,game_url
VGK,COL,8,4,usa/nhl/vegas-golden-knights-colorado-avalanche-QyqEjxZ7/
VGK,SJ,5,6,usa/nhl/vegas-golden-knights-san-jose-sharks-pQB1KlBj/
VGK,COL,1,3,usa/nhl/vegas-golden-knights-colorado-avalanche-0hzVPAmT/
COL,VGK,1,6,usa/nhl/colorado-avalanche-vegas-golden-knights-YPGLThl4/
VGK,LAK,2,3,usa/nhl/vegas-golden-knights-los-angeles-kings-jsaVIyzn/
SJ,VGK,2,4,usa/nhl/san-jose-sharks-vegas-golden-knights-v3VC0fKH/
DAL,VGK,2,1,usa/nhl-2023-2024/dallas-stars-vegas-golden-knights-AgKrIVvI/
VGK,DAL,2,0,usa/nhl-2023-2024/vegas-golden-knights-dallas-stars-WlKszvF4/
DAL,VGK,3,2,usa/nhl-2023-2024/dallas-stars-vegas-golden-knights-OtflqzGD/
VGK,DAL,2,4,usa/nhl-2023-2024/vegas-golden-knights-dallas-stars-K6tiG4lT/
VGK,DAL,2,3,usa/nhl-2023-2024/vegas-golden-knights-dallas-stars-ngrqIQJG/
DAL,VGK,1,3,usa/nhl-2023-2024/dallas-stars-vegas-golden-knights-jRlzKnk4/
DAL,VGK,3,4,usa/nhl-2023-2024/dallas-stars-vegas-golden-knights-4AjSL8Ki/
VGK,ANA,1,4,usa/nhl-2023-2024/vegas-golden-knights-anaheim-ducks-ERC2Osdm/
VGK,CHI,3,1,usa/nhl-2023-2024/vegas-golden-knights-chicago-blackhawks-rkgqJnK7/
VGK,COL,4,3,usa/nhl-2023-2024/vegas-golden-knights-colorado-avalanche-UHNqVhD2/
VGK,MIN,7,2,usa/nhl-2023-2024/vegas-golden-knights-minnesota-wild-6qGJgWjd/
EDM,VGK,5,1,usa/nhl-2023-2024/edmonton-oilers-vegas-golden-knights-zHHKmbPb/
VAN,VGK,4,3,usa/nhl-2023-2024/vancouver-canucks-vegas-golden-knights-UwegXxuI/
ARI,VGK,7,4,usa/nhl-2023-2024/arizona-coyotes-vegas-golden-knights-r5yclGcJ/
