date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
09-10-2024,VGK,COL,8,4,1,NHL,usa/nhl/vegas-golden-knights-colorado-avalanche-QyqEjxZ7/#home-away;1,-113,-104
05-10-2024,VGK,SJ,5,6,0,NHL,usa/nhl/vegas-golden-knights-san-jose-sharks-pQB1KlBj/#home-away;1,-352,269
03-10-2024,VGK,COL,1,3,0,NHL,usa/nhl/vegas-golden-knights-colorado-avalanche-0hzVPAmT/#home-away;1,-155,127
01-10-2024,COL,VGK,1,6,0,NHL,usa/nhl/colorado-avalanche-vegas-golden-knights-YPGLThl4/#home-away;1,-308,239
25-09-2024,VGK,LAK,2,3,0,NHL,usa/nhl/vegas-golden-knights-los-angeles-kings-jsaVIyzn/#home-away;1,108,-133
22-09-2024,SJ,VGK,2,4,0,NHL,usa/nhl/san-jose-sharks-vegas-golden-knights-v3VC0fKH/#home-away;1,-197,157
05-05-2024,DAL,VGK,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-vegas-golden-knights-AgKrIVvI/#home-away;1,-148,125
03-05-2024,VGK,DAL,2,0,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-dallas-stars-WlKszvF4/#home-away;1,-104,-114
01-05-2024,DAL,VGK,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-vegas-golden-knights-OtflqzGD/#home-away;1,-155,134
29-04-2024,VGK,DAL,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-dallas-stars-K6tiG4lT/#home-away;1,105,-124
27-04-2024,VGK,DAL,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-dallas-stars-ngrqIQJG/#home-away;1,-102,-114
24-04-2024,DAL,VGK,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-vegas-golden-knights-jRlzKnk4/#home-away;1,-161,138
22-04-2024,DAL,VGK,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-vegas-golden-knights-4AjSL8Ki/#home-away;1,-146,126
18-04-2024,VGK,ANA,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-anaheim-ducks-ERC2Osdm/#home-away;1,-385,311
16-04-2024,VGK,CHI,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-chicago-blackhawks-rkgqJnK7/#home-away;1,-427,332
14-04-2024,VGK,COL,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-colorado-avalanche-UHNqVhD2/#home-away;1,-108,-108
12-04-2024,VGK,MIN,7,2,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-minnesota-wild-6qGJgWjd/#home-away;1,-174,148
10-04-2024,EDM,VGK,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-vegas-golden-knights-zHHKmbPb/#home-away;1,-109,-107
08-04-2024,VAN,VGK,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-vegas-golden-knights-UwegXxuI/#home-away;1,-120,102
05-04-2024,ARI,VGK,7,4,1,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-vegas-golden-knights-r5yclGcJ/#home-away;1,162,-190
02-04-2024,VGK,VAN,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-vancouver-canucks-4Ku3t1ar/#home-away;1,-126,107
30-03-2024,MIN,VGK,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-vegas-golden-knights-QgbL8mRr/#home-away;1,101,-119
28-03-2024,WPG,VGK,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-vegas-golden-knights-zaCOMF2h/#home-away;1,-117,100
26-03-2024,NSH,VGK,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-vegas-golden-knights-O4Y63hk3/#home-away;1,-148,127
23-03-2024,VGK,CBJ,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-columbus-blue-jackets-EHPJ4sUu/#home-away;1,-397,318
21-03-2024,VGK,SEA,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-seattle-kraken-8GzSX0aI/#home-away;1,-202,171
19-03-2024,VGK,TB,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-tampa-bay-lightning-EgaWrR7J/#home-away;1,-133,114
17-03-2024,VGK,NJ,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-new-jersey-devils-0GUCOy57/#home-away;1,-186,159
14-03-2024,CGY,VGK,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/calgary-flames-vegas-golden-knights-dxJUmk6F/#home-away;1,147,-173
12-03-2024,SEA,VGK,4,5,0,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-vegas-golden-knights-p4EKGm7T/#home-away;1,136,-157
09-03-2024,VGK,DET,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-detroit-red-wings-G2oT7hOb/#home-away;1,-212,183
07-03-2024,VGK,VAN,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-vancouver-canucks-O0renfF4/#home-away;1,-114,-103
04-03-2024,CBJ,VGK,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-vegas-golden-knights-fHptvN31/#home-away;1,170,-201
02-03-2024,BUF,VGK,7,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-vegas-golden-knights-MH5OkVQt/#home-away;1,-107,-111
29-02-2024,BOS,VGK,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-vegas-golden-knights-0trBBiW2/#home-away;1,-160,136
27-02-2024,TOR,VGK,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/toronto-maple-leafs-vegas-golden-knights-lUjnFO0q/#home-away;1,-163,139
24-02-2024,OTT,VGK,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-vegas-golden-knights-rca6RqKe/#home-away;1,-119,100
22-02-2024,VGK,TOR,3,7,0,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-toronto-maple-leafs-ltBNZ7CF/#home-away;1,-110,-108
20-02-2024,VGK,NSH,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-nashville-predators-fXGfHG3H/#home-away;1,-157,135
19-02-2024,SJ,VGK,0,4,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-vegas-golden-knights-rTZYLvkn/#home-away;1,223,-272
17-02-2024,VGK,CAR,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-carolina-hurricanes-CU0AJoTm/#home-away;1,-119,100
12-02-2024,VGK,MIN,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-minnesota-wild-4tXEaixF/#home-away;1,-152,129
08-02-2024,ARI,VGK,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-vegas-golden-knights-bNhWlzOd/#home-away;1,113,-136
06-02-2024,VGK,EDM,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-edmonton-oilers-8tz8aFDl/#home-away;1,129,-150
27-01-2024,DET,VGK,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/detroit-red-wings-vegas-golden-knights-CQtCiHMt/#home-away;1,-136,115
26-01-2024,NYR,VGK,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-vegas-golden-knights-bNGxwI7m/#home-away;1,-159,136
23-01-2024,NYI,VGK,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-vegas-golden-knights-E1so8c8D/#home-away;1,-150,128
22-01-2024,NJ,VGK,6,5,1,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-vegas-golden-knights-hlYeUmPF/#home-away;1,-118,-101
