date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
11-10-2024,WPG,CHI,2,1,1,NHL,usa/nhl/winnipeg-jets-chicago-blackhawks-f7ozOBAO/#home-away;1,-270,220
09-10-2024,EDM,WPG,0,6,0,NHL,usa/nhl/edmonton-oilers-winnipeg-jets-I1n0vCw8/#home-away;1,-185,155
04-10-2024,CGY,WPG,2,3,0,NHL,usa/nhl/calgary-flames-winnipeg-jets-hnizn7eB/#home-away;1,118,-145
02-10-2024,WPG,CGY,5,2,1,NHL,usa/nhl/winnipeg-jets-calgary-flames-6VhSmTQb/#home-away;1,-248,201
27-09-2024,MIN,WPG,8,5,1,NHL,usa/nhl/minnesota-wild-winnipeg-jets-pG4Jkkdn/#home-away;1,-211,168
25-09-2024,WPG,EDM,6,1,1,NHL,usa/nhl/winnipeg-jets-edmonton-oilers-fiP9VoBU/#home-away;1,-298,231
22-09-2024,EDM,WPG,3,2,1,NHL,usa/nhl/edmonton-oilers-winnipeg-jets-bPV0X7tI/#home-away;1,-165,134
21-09-2024,WPG,MIN,2,5,0,NHL,usa/nhl/winnipeg-jets-minnesota-wild-QBXhZTB5/#home-away;1,-186,151
30-04-2024,WPG,COL,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-colorado-avalanche-djYXeAu2/#home-away;1,-101,-116
28-04-2024,COL,WPG,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-winnipeg-jets-Qq3IWPY9/#home-away;1,-156,134
26-04-2024,COL,WPG,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-winnipeg-jets-4UE9Yo4c/#home-away;1,-159,137
23-04-2024,WPG,COL,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-colorado-avalanche-viNNArCj/#home-away;1,106,-124
21-04-2024,WPG,COL,7,6,1,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-colorado-avalanche-MNvEK7X0/#home-away;1,-108,-108
18-04-2024,WPG,VAN,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-vancouver-canucks-lMnIhp7e/#home-away;1,111,-130
16-04-2024,WPG,SEA,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-seattle-kraken-bX9qDEhA/#home-away;1,-235,197
13-04-2024,COL,WPG,0,7,0,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-winnipeg-jets-ABic1Hgb/#home-away;1,-150,129
11-04-2024,DAL,WPG,0,3,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-winnipeg-jets-bXNvqzvU/#home-away;1,-190,163
09-04-2024,NSH,WPG,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-winnipeg-jets-vkOBkKfn/#home-away;1,-107,-109
