Date,HomeTeam,AwayTeam,FTHG,FTAG,Season,home_rating,away_rating
17/04/2024,NYI,PIT,5,4,NHL_2024,0.025753894784719775,0.025326049145201673
15/04/2024,PIT,NSH,4,2,NHL_2024,0.02451262703147453,0.039462463472735694
13/04/2024,PIT,BOS,4,6,NHL_2024,0.025052082790270335,0.040817068041938374
11/04/2024,PIT,DET,6,5,NHL_2024,0.024310271293305583,0.027578042546075942
08/04/2024,TOR,PIT,3,2,NHL_2024,0.03988532254004329,0.02479489512256272
06/04/2024,PIT,TB,5,4,NHL_2024,0.02399035195149653,0.037964614849483026
04/04/2024,WSH,PIT,1,4,NHL_2024,0.027392984876908808,0.023427246226810052
02/04/2024,NJ,PIT,3,6,NHL_2024,0.026815599863706168,0.022722706352017657
01/04/2024,NYR,PIT,2,5,NHL_2024,0.060235193543402704,0.02169582214308259
30/03/2024,CBJ,PIT,4,3,NHL_2024,0.012942679513405239,0.0225192124295471
28/03/2024,PIT,CBJ,3,2,NHL_2024,0.022001261856601503,0.013228663844797282
26/03/2024,PIT,CAR,4,1,NHL_2024,0.021077905472449233,0.048439649462403575
24/03/2024,COL,PIT,5,4,NHL_2024,0.04985146896416801,0.021409361223941756
22/03/2024,DAL,PIT,4,2,NHL_2024,0.04382193857750792,0.02180280183016491
19/03/2024,NJ,PIT,5,2,NHL_2024,0.025133147624983053,0.022679047659896964
17/03/2024,PIT,DET,6,3,NHL_2024,0.02191973353361759,0.02974616728407504
16/03/2024,PIT,NYR,4,7,NHL_2024,0.022382463243379266,0.05315073429030769
14/03/2024,PIT,SJ,6,3,NHL_2024,0.02191099021246449,0.009883829919717289
12/03/2024,OTT,PIT,2,1,NHL_2024,0.019456448428594154,0.022696404695390113
10/03/2024,PIT,EDM,0,4,NHL_2024,0.02323675612391803,0.0454563267664698
09/03/2024,BOS,PIT,5,1,NHL_2024,0.03769319925382688,0.02389014238201719
07/03/2024,PIT,WSH,0,6,NHL_2024,0.02466569298190277,0.024561875093448926
05/03/2024,PIT,CBJ,5,3,NHL_2024,0.023968218365462004,0.015110400310699205
03/03/2024,EDM,PIT,6,1,NHL_2024,0.04744438872920602,0.024627310209919494
02/03/2024,CGY,PIT,4,3,NHL_2024,0.028984401215734125,0.025414148776878514
29/02/2024,SEA,PIT,2,0,NHL_2024,0.022128005199950777,0.026370469066300535
27/02/2024,VAN,PIT,3,4,NHL_2024,0.049375309647922465,0.025204014742133143
25/02/2024,PIT,PHI,7,6,NHL_2024,0.02409171446034888,0.03129320287727318
22/02/2024,PIT,MTL,4,1,NHL_2024,0.023297422051909714,0.01792295347868923
20/02/2024,PIT,NYI,4,5,NHL_2024,0.0242614810327681,0.019862708108535482
18/02/2024,PIT,LA,1,2,NHL_2024,0.02518103015962093,0.02966628287104363
15/02/2024,CHI,PIT,1,4,NHL_2024,0.011283380060645635,0.024534779045831876
14/02/2024,PIT,FLA,2,5,NHL_2024,0.02524026057680713,0.049290072617852884
10/02/2024,WPG,PIT,2,1,NHL_2024,0.04544442633860282,0.02599945237673417
09/02/2024,MIN,PIT,3,2,NHL_2024,0.023710804986713692,0.027246943353014016
06/02/2024,PIT,WPG,3,0,NHL_2024,0.02544409638240859,0.05089069102987787
27/01/2024,PIT,MTL,3,2,NHL_2024,0.02433494612864037,0.01984954123258337
26/01/2024,PIT,FLA,2,3,NHL_2024,0.025122331397099774,0.046234281096490706
22/01/2024,ARI,PIT,5,2,NHL_2024,0.028633863365196112,0.02611757676959911
20/01/2024,VGK,PIT,3,2,NHL_2024,0.03878433242927514,0.027468291756365067
15/01/2024,PIT,SEA,3,0,NHL_2024,0.02590050113342792,0.024382084236452828
13/01/2024,CAR,PIT,3,2,NHL_2024,0.035508115563988106,0.02697313851404563
11/01/2024,PIT,VAN,3,4,NHL_2024,0.027967596537671897,0.05426479942202628
08/01/2024,PHI,PIT,1,4,NHL_2024,0.0290561458185891,0.026839108338966182
06/01/2024,PIT,BUF,1,3,NHL_2024,0.02857626890722927,0.020636121413540078
04/01/2024,BOS,PIT,5,6,NHL_2024,0.04499354135725901,0.026569002849996404
02/01/2024,PIT,WSH,3,4,NHL_2024,0.02826976978195071,0.026378266393948135
31/12/2023,PIT,NYI,3,1,NHL_2024,0.027031491686847868,0.025589340899035196
27/12/2023,NYI,PIT,0,7,NHL_2024,0.02496131269598794,0.023844095183848075
23/12/2023,OTT,PIT,5,4,NHL_2024,0.018854701479218527,0.025828199471475292
21/12/2023,PIT,CAR,2,1,NHL_2024,0.024077372767176874,0.029986350430254036
18/12/2023,PIT,MIN,4,3,NHL_2024,0.022119628287828364,0.021994573603528432
16/12/2023,TOR,PIT,7,0,NHL_2024,0.03428852996862614,0.023420069681367395
13/12/2023,MTL,PIT,3,4,NHL_2024,0.020814022701200724,0.02177306441703468
12/12/2023,PIT,ARI,4,2,NHL_2024,0.019886912234970827,0.02783555591742518
08/12/2023,FLA,PIT,3,1,NHL_2024,0.04008578646450289,0.020922494579590143
06/12/2023,TB,PIT,3,1,NHL_2024,0.019302245490155086,0.022788358344776653
04/12/2023,PHI,PIT,2,1,NHL_2024,0.027564858319569056,0.0244984129400408
02/12/2023,PIT,PHI,3,4,NHL_2024,0.0277039368669204,0.024379266214190978
30/11/2023,TB,PIT,2,4,NHL_2024,0.020058208215632287,0.025596101923152096
28/11/2023,NSH,PIT,3,2,NHL_2024,0.026539215707601833,0.02807253167221967
25/11/2023,PIT,TOR,3,2,NHL_2024,0.024025296364892843,0.03155389681744324
24/11/2023,BUF,PIT,3,2,NHL_2024,0.018436413474738428,0.027329431643743993
22/11/2023,PIT,NYR,0,1,NHL_2024,0.030051577803985905,0.06102732757496588
19/11/2023,PIT,VGK,3,0,NHL_2024,0.02415104016128158,0.07524065324423938
18/11/2023,CAR,PIT,4,2,NHL_2024,0.02541699635887479,0.027626396947738507
16/11/2023,PIT,NJ,2,5,NHL_2024,0.03312702889538973,0.02283695674128725
14/11/2023,CBJ,PIT,3,5,NHL_2024,0.008561646353490649,0.02956635963745944
11/11/2023,PIT,BUF,4,0,NHL_2024,0.024280884725583665,0.018354400635388176
