season,bin,n,favorite_roi,underdog_roi
MLB_2023,0,21,-0.37941128566830307,0.572857142857143
MLB_2023,1,62,0.12422306452635645,-0.22612903225806447
MLB_2023,2,116,-0.03149124537468351,0.034224137931034404
MLB_2023,3,366,-0.08479409794653747,0.09825136612021867
MLB_2023,4,663,-0.06374989232379202,0.09984917043740582
MLB_2023,5,649,-0.0831645342588353,0.07978428351309708
MLB_2023,6,343,-0.017211815407979447,-0.06970845481049559
MLB_2023,7,155,-0.08766125232115474,0.04683870967741943
MLB_2023,8,44,0.03572292499332996,-0.05363636363636359
MLB_2023,9,29,-0.11396437595299913,0.09758620689655162
MLB_2022,0,19,-0.34314121092963057,0.5063157894736843
MLB_2022,1,36,-0.024082638748417762,0.04861111111111116
MLB_2022,2,153,-0.07758104930912624,0.07359477124183011
MLB_2022,3,444,-0.01692661034102827,-0.026734234234234266
MLB_2022,4,579,-0.1154557741402783,0.16430051813471502
MLB_2022,5,544,-0.05039805790140517,0.01154411764705876
MLB_2022,6,451,-0.004017536967737767,-0.07698447893569849
MLB_2022,7,165,-0.0876245336754139,0.07363636363636372
MLB_2022,8,30,-0.14087581190534126,0.16599999999999993
MLB_2022,9,31,-0.10606295106735553,0.000322580645161219
MLB_2021,0,25,-0.15886877816563683,0.24239999999999995
MLB_2021,1,11,-0.12882942309698353,0.020909090909090988
MLB_2021,2,110,-0.09207552568261768,0.11209090909090902
MLB_2021,3,408,-0.09752508714041963,0.09539215686274516
MLB_2021,4,691,-0.133580297126751,0.20274963820549918
MLB_2021,5,660,-0.05815597623719315,0.040863636363636324
MLB_2021,6,382,-0.030392452792948665,-0.04463350785340314
MLB_2021,7,116,0.024765619370459957,-0.12853448275862067
MLB_2021,8,13,-0.3978675410140221,0.34923076923076923
MLB_2021,9,24,-0.2603632359105882,0.3570833333333334
MLB_2020,0,16,-0.3241589547504041,0.575
MLB_2020,1,28,-0.1543328944750002,0.16928571428571426
MLB_2020,2,76,-0.1294037595450519,0.10499999999999998
MLB_2020,3,120,-0.06146217742925275,0.07008333333333328
MLB_2020,4,165,-0.16017317095418304,0.24454545454545462
MLB_2020,5,187,0.026166200589359256,-0.0770053475935829
MLB_2020,6,181,-0.0172869405085736,-0.020497237569060744
MLB_2020,7,87,-0.12551259868800846,0.13735632183908053
MLB_2020,8,26,0.095245943088901,-0.26230769230769235
MLB_2020,9,22,-0.38968864977223294,0.6122727272727273
MLB_2019,0,27,0.023290344868796886,0.004444444444444473
MLB_2019,1,26,-0.054790331552341476,0.07653846153846144
MLB_2019,2,150,-0.06691741096091508,0.04400000000000004
MLB_2019,3,380,0.01963221415714056,-0.06868421052631579
MLB_2019,4,607,-0.10152953171552215,0.1443327841845139
MLB_2019,5,675,-0.03448214031316854,-0.01336296296296291
MLB_2019,6,358,-0.0240659555905397,-0.056787709497206684
MLB_2019,7,161,-0.00043822750165800617,-0.11919254658385092
MLB_2019,8,31,-0.09984789434922936,0.1435483870967742
MLB_2019,9,24,-0.3462015697937051,0.5216666666666667
MLB_2018,0,32,0.13670339711219182,-0.18874999999999997
MLB_2018,1,62,0.2059014998668991,-0.4009677419354839
MLB_2018,2,150,-0.05331384448861454,0.014000000000000012
MLB_2018,3,398,-0.08309625614164406,0.09000000000000008
MLB_2018,4,541,-0.05871210106366831,0.11029574861367841
MLB_2018,5,624,-0.04622014980697109,0.014342948717948723
MLB_2018,6,384,-0.022561279901309628,-0.043411458333333375
MLB_2018,7,150,-0.0136278284140956,-0.08320000000000005
MLB_2018,8,74,0.016995705808945383,-0.114054054054054
MLB_2018,9,28,-0.293372580195142,0.4167857142857143
MLB_2017,0,19,-0.41259200688968944,0.6621052631578948
MLB_2017,1,22,-0.05784294326652484,0.052727272727272734
MLB_2017,2,128,-0.07384048991809111,0.11960937500000002
MLB_2017,3,308,-0.04995507832004775,0.04412337662337662
MLB_2017,4,759,-0.1382265736088426,0.20428194993412374
MLB_2017,5,751,-0.026858877598493258,-0.028295605858854822
MLB_2017,6,325,-0.050992999138593564,0.005692307692307663
MLB_2017,7,101,-0.07424360706132571,0.011485148514851495
MLB_2017,8,14,-0.13742568134759803,0.15214285714285714
MLB_2017,9,24,-0.1860315687096452,0.3387500000000001
MLB_2016,0,30,-0.11019676633506814,0.16900000000000004
MLB_2016,1,26,-0.31742973293873245,0.5515384615384615
MLB_2016,2,93,-0.13246406459564908,0.0890322580645162
MLB_2016,3,363,-0.07605741583913717,0.08082644628099178
MLB_2016,4,708,-0.1233170862963936,0.19305084745762713
MLB_2016,5,727,-0.08570833330824357,0.05592847317744165
MLB_2016,6,377,-0.022522892121322857,-0.05973474801061007
MLB_2016,7,76,-0.1794823208749795,0.27078947368421047
MLB_2016,8,17,-0.39853950614550615,0.5023529411764707
MLB_2016,9,28,0.08487077073049054,-0.1478571428571429
MLB_2015,0,23,-0.2709417298835536,0.3630434782608696
MLB_2015,1,22,-0.031497346825373085,0.013636363636363669
MLB_2015,2,70,-0.24687248266937456,0.3038571428571428
MLB_2015,3,318,-0.044529867652585264,0.04311320754716985
MLB_2015,4,762,-0.08689934769769447,0.14261154855643055
MLB_2015,5,831,-0.008418337456457481,-0.04572803850782192
MLB_2015,6,295,0.06311119878279348,-0.15494915254237285
MLB_2015,7,84,-0.08005113511128714,0.08773809523809528
MLB_2015,8,17,-0.4164231267927926,0.4270588235294117
MLB_2015,9,21,-0.12852154244764458,0.18380952380952387
MLB_2014,0,16,0.11685062549277947,-0.15000000000000002
MLB_2014,1,20,-0.1807349972826121,0.21350000000000002
MLB_2014,2,61,-0.044458839709854536,0.05491803278688523
MLB_2014,3,288,-0.11312124494043696,0.10569444444444454
MLB_2014,4,821,-0.13287323643069737,0.19220462850182707
MLB_2014,5,844,-0.04290897456077092,0.0017772511848341832
MLB_2014,6,295,-0.13499855589935994,0.09881355932203384
MLB_2014,7,42,-0.1272387334112457,0.04238095238095241
MLB_2014,8,30,0.03147031935671496,-0.18000000000000005
MLB_2014,9,25,-0.4492825002735874,0.5424
MLB_2013,0,18,-0.1212220894529562,0.20166666666666666
MLB_2013,1,35,-0.07116669558088018,0.020857142857142907
MLB_2013,2,114,0.006084833877236795,-0.05964912280701751
MLB_2013,3,402,-0.04418517197211924,0.03201492537313433
MLB_2013,4,659,-0.17677445832051186,0.2626707132018209
MLB_2013,5,655,-0.061729258517533414,0.016809160305343518
MLB_2013,6,400,-0.03854805674651618,-0.023625000000000007
MLB_2013,7,114,-0.03682856514553601,0.02087719298245605
MLB_2013,8,28,-0.20336867676560522,0.14357142857142846
MLB_2013,9,25,-0.16211551903010335,0.10759999999999992
MLB_2012,0,31,-0.0785778063961905,0.12225806451612908
MLB_2012,1,30,-0.0928919327685207,0.16833333333333322
MLB_2012,2,84,0.017401485505863068,-0.08023809523809522
MLB_2012,3,361,-0.06448846793292184,0.044736842105263186
MLB_2012,4,677,-0.08922923784127679,0.14923190546528797
MLB_2012,5,748,0.009159817332055287,-0.07173796791443854
MLB_2012,6,400,-0.047034727351832784,-0.01915
MLB_2012,7,70,-0.3406743611968741,0.4425714285714286
MLB_2012,8,21,0.06360770391737347,-0.15666666666666662
MLB_2012,9,27,0.02220417485738002,0.05111111111111111
MLB_2011,0,22,-0.24859356125475018,0.4086363636363637
MLB_2011,1,11,-0.2969868263985911,0.47363636363636363
MLB_2011,2,61,-0.13057410570158678,0.12836065573770483
MLB_2011,3,345,-0.09347250219399761,0.1206666666666667
MLB_2011,4,779,-0.052805648215161316,0.10331193838254182
MLB_2011,5,798,-0.060699189028156963,0.0106015037593985
MLB_2011,6,350,-0.0209366627188855,-0.05108571428571429
MLB_2011,7,32,-0.3309074939595814,0.4724999999999999
MLB_2011,8,13,-0.45447567796403987,0.6507692307692308
MLB_2011,9,31,0.11090369639956754,-0.19032258064516128
MLB_2010,0,16,-0.05972236079809301,0.02187500000000009
MLB_2010,1,14,-0.13129027854317676,0.19785714285714295
MLB_2010,2,86,-0.06678577683123754,0.10395348837209295
MLB_2010,3,383,-0.14601684226889244,0.17336814621409924
MLB_2010,4,744,-0.13787876118165543,0.23087365591397857
MLB_2010,5,657,-0.003704287855348598,-0.0572907153729072
MLB_2010,6,388,0.0007871953360234496,-0.07958762886597937
MLB_2010,7,95,-0.10882541598404927,0.1419999999999999
MLB_2010,8,20,-0.25491309110946636,0.3400000000000001
MLB_2010,9,26,-0.3934587332834497,0.4703846153846154
MLB_2009,0,25,-0.15735389846638714,0.1432
MLB_2009,1,22,-0.06343124594107685,0.10590909090909095
MLB_2009,2,73,-0.2005863065330552,0.29657534246575334
MLB_2009,3,368,-0.053364078236015855,0.04836956521739122
MLB_2009,4,708,-0.14306596883719858,0.22395480225988695
MLB_2009,5,771,-0.01438877881951739,-0.03617380025940342
MLB_2009,6,344,-0.08003355033400494,0.04244186046511622
MLB_2009,7,53,0.09681616391784087,-0.29792452830188676
MLB_2009,8,27,-0.04164619135586123,0.02111111111111108
MLB_2009,9,31,-0.0035520795478952705,-0.03870967741935483
