bin,n,favorite_roi,underdog_roi
0,1025,-0.09427005690714174,0.22353170731707328
1,1512,-0.07769252962557749,0.07272486772486775
2,2122,-0.07146922024455493,0.0858152686145146
3,2497,-0.13406063799234758,0.2811774128954745
4,2918,-0.2499787167124592,0.6491501028101438
5,2947,-0.07365853870135575,0.06535799117746866
6,2432,-0.045117803808607304,-0.004790296052631593
7,2048,-0.04307348450242232,-0.040112304687500044
8,1577,-0.038077350922052555,-0.09424223208623972
9,940,-0.06079359025355646,-0.05031914893617018
