season,bin,n,favorite_roi,underdog_roi
NFL_2024,0,28,-0.36614183535029776,0.7707142857142857
NFL_2024,1,25,-0.11697315797416163,0.0855999999999999
NFL_2024,2,34,-0.15882279865925775,0.2350000000000001
NFL_2024,3,20,-0.18897399268749993,0.22849999999999993
NFL_2024,4,24,-0.35731788075304427,0.9054166666666668
NFL_2024,5,33,0.03873911293318222,-0.17121212121212126
NFL_2024,6,19,-0.0560126037931824,0.10947368421052639
NFL_2024,7,30,-0.20011619057080865,0.2886666666666666
NFL_2024,8,22,0.04347605265255239,-0.15090909090909088
NFL_2024,9,28,-0.14692146862976718,0.17785714285714294
NFL_2023,0,36,-0.2014420648542562,0.3899999999999999
NFL_2023,1,27,-0.19265265863718317,0.4051851851851851
NFL_2023,2,19,0.16142949970240328,-0.34789473684210526
NFL_2023,3,23,-0.5018645712094394,1.115217391304348
NFL_2023,4,18,-0.06929244750770347,0.3916666666666666
NFL_2023,5,26,-0.13342516193983345,0.21423076923076922
NFL_2023,6,22,-0.03501192673614861,-0.16909090909090907
NFL_2023,7,26,-0.10413759941773504,-0.05884615384615388
NFL_2023,8,26,0.07951392124136847,-0.40884615384615386
NFL_2023,9,39,-0.1389576921632789,-0.06538461538461537
NFL_2022,0,40,-0.18132753858371786,0.8182499999999999
NFL_2022,1,20,-0.10989013749968402,0.24849999999999994
NFL_2022,2,17,-0.1277277647806836,-0.03352941176470592
NFL_2022,3,26,-0.21782999409695203,0.2549999999999999
NFL_2022,4,17,-0.3039776050690045,1.0823529411764707
NFL_2022,5,35,-0.403295336170043,0.7125714285714286
NFL_2022,6,23,-0.14590903850779013,0.06565217391304357
NFL_2022,7,29,-0.1923956555194084,0.16586206896551725
NFL_2022,8,16,-0.00999506351325874,-0.26249999999999996
NFL_2022,9,42,-0.19649064649437475,0.1573809523809524
NFL_2021,0,41,0.04501583384532193,-0.11097560975609755
NFL_2021,1,30,-0.00957786603815547,-0.09533333333333338
NFL_2021,2,18,-0.3198556522367373,0.5433333333333332
