bin,n,favorite_roi,underdog_roi
0,458,-0.1750940906564804,0.260174672489083
1,601,-0.07837459230319366,0.08449251247920131
2,1613,-0.04620320041932824,0.03690638561686299
3,2918,-0.0750468911277854,0.08246744345442081
4,4308,-0.11329086342903316,0.20073119777158777
5,4520,-0.05486073680561265,0.006537610619469003
6,2948,-0.0534290010126337,-0.007862957937584847
7,1493,-0.02960501172241159,-0.07463496316141993
8,546,-0.04826432057590102,-0.03496336996337002
9,463,-0.04109157724135848,0.00647948164146861
