Prediction_Method,Log_Loss
nhl_full_ml,0.6681708360660016
nhl_half_ml,0.6674688401042854
mlb_full_ml,0.6737921970335609
mlb_half_ml,0.6712803524653341
nfl_full_ml,0.6091400010082405
nfl_half_ml,0.5932536489704924
nba_full_ml,0.5910837325658385
nba_half_ml,0.5866844528258085
nfl_full_fivethirtyeight_elo,0.6259673667025673
nfl_half_fivethirtyeight_elo,0.6179399791093608
nfl_full_elopoint,1.2597317351975934
nfl_full_elowin,1.435633806903014
nfl_full_keener,1.2667007564031334
nfl_full_massey,1.267791120284916
nfl_full_od,1.4732099163609085
nfl_half_elopoint,1.175729571763665
nfl_half_elowin,1.1091290163485388
nfl_half_keener,1.1683332605981722
nfl_half_massey,1.0805593595898466
nfl_half_od,1.1545695821239863
nhl_full_elopoint,1.5211755194983023
nhl_full_elowin,1.5413659602152727
nhl_full_keener,1.4886833141602334
nhl_full_massey,1.4768274431518884
nhl_full_od,1.5932521428306716
nhl_half_elopoint,1.4252900872973018
nhl_half_elowin,1.475420885162258
nhl_half_keener,1.4270294805147063
nhl_half_massey,1.372520316804254
nhl_half_od,1.427292819379333
mlb_full_elopoint,1.6852183038679691
mlb_full_elowin,1.7401813427628707
mlb_full_keener,1.6747174854623417
mlb_full_massey,1.6151956266695542
mlb_full_od,1.6940017295720498
mlb_half_elopoint,1.6233235451015997
mlb_half_elowin,1.6388014638627628
mlb_half_keener,1.5849841392167734
mlb_half_massey,1.548745978324112
mlb_half_od,1.586045277519747
nba_full_elopoint,1.1864481869193455
nba_full_elowin,1.282850475414301
nba_full_keener,1.2183490095824387
nba_full_massey,1.1789185254984695
nba_full_od,1.2021800624300645
nba_half_elopoint,1.0867381538429477
nba_half_elowin,1.195863606710178
nba_half_keener,1.1612871378166254
nba_half_massey,1.1090606755104988
nba_half_od,1.1133277554510153
nfl_full_bradley_terry,2.2825734830586
nfl_half_bradley_terry,0.9783603581236634
nhl_full_bradley_terry,1.0161024001935497
nhl_half_bradley_terry,0.687123961586528
mlb_full_bradley_terry,0.9436837363564043
mlb_half_bradley_terry,0.8332541316380344
nba_full_bradley_terry,0.9294706792773908
nba_half_bradley_terry,0.6413899845753221
