season,brier_score,log_loss,brier_skill_loss_50_50,brier_skill_loss_home_prob
MLB_2006,0.238,0.6688,0.9521,0.9669
MLB_2007,0.2443,0.6816,0.9771,0.9858
MLB_2008,0.2421,0.6771,0.9684,0.9807
MLB_2009,0.2414,0.6757,0.9657,0.9749
MLB_2010,0.2413,0.6756,0.9653,0.9772
MLB_2011,0.242,0.6769,0.9679,0.9706
MLB_2012,0.2423,0.6774,0.9691,0.973
MLB_2013,0.2411,0.6752,0.9645,0.9703
MLB_2014,0.2424,0.6776,0.9695,0.9731
MLB_2015,0.242,0.6769,0.968,0.9743
MLB_2016,0.2404,0.6735,0.9614,0.9647
MLB_2017,0.2407,0.6741,0.9627,0.9694
MLB_2018,0.2381,0.6688,0.9526,0.9552
MLB_2019,0.2356,0.6635,0.9423,0.9452
MLB_2020,0.239,0.6709,0.9558,0.9629
MLB_2021,0.239,0.6707,0.956,0.9622
MLB_2022,0.2364,0.6656,0.9456,0.95
MLB_2023,0.2421,0.6771,0.9686,0.9692
