tournament,PIT,PHI,CIN,CHC,ATL,STL,KC,MIN,NYM,MIL,SD,LAA,ARI,LAD,MIA,SF,SEA,DET,BAL,TB,WSH,COL,BOS,NYY,CHW,CLE,HOU,TEX,TOR,OAK
MLB_2006,0.6898,0.6577,0.6889,0.5735,0.6374,0.6682,0.5825,0.621,0.6653,0.7885,0.6571,0.6814,0.6349,0.6222,0.77,0.8041,0.6709,0.6803,0.6367,0.6821,0.6376,0.6278,0.7159,0.5884,0.6738,0.7349,0.6849,0.6945,0.7169,0.8009
MLB_2007,0.6901,0.7118,0.6818,0.6848,0.6893,0.7016,0.7014,0.6784,0.6768,0.6741,0.6927,0.676,0.677,0.6722,0.6965,0.6929,0.6789,0.6675,0.6567,0.6721,0.6801,0.6964,0.6446,0.6837,0.6954,0.6881,0.6635,0.6571,0.6877,0.689
MLB_2008,0.6505,0.6785,0.6784,0.6648,0.6851,0.6921,0.686,0.6764,0.6877,0.6593,0.6726,0.6911,0.6695,0.6886,0.6925,0.6753,0.6791,0.6801,0.6715,0.6608,0.6642,0.6751,0.6551,0.6844,0.6581,0.6919,0.6939,0.692,0.6805,0.6815
MLB_2009,0.664,0.6865,0.6872,0.6703,0.6995,0.6721,0.6673,0.6804,0.6631,0.6898,0.6732,0.692,0.6691,0.6848,0.7081,0.6712,0.6713,0.6755,0.6517,0.6754,0.6514,0.6749,0.6427,0.6348,0.696,0.6706,0.6872,0.6944,0.673,0.6951
MLB_2010,0.6515,0.6753,0.67,0.7178,0.6644,0.6868,0.6833,0.6723,0.6787,0.6858,0.6889,0.6913,0.6524,0.6765,0.6725,0.6754,0.6472,0.6614,0.6732,0.6838,0.6845,0.6769,0.6784,0.6492,0.6938,0.6806,0.687,0.6837,0.6701,0.6573
MLB_2011,0.694,0.6608,0.6899,0.6707,0.6876,0.6883,0.6767,0.6769,0.6967,0.6371,0.6817,0.6701,0.6745,0.6781,0.681,0.6832,0.6637,0.6581,0.6812,0.6857,0.6991,0.6809,0.6979,0.6648,0.6971,0.6679,0.646,0.6622,0.6803,0.6821
MLB_2012,0.6791,0.6905,0.6727,0.651,0.6841,0.6747,0.698,0.6753,0.6925,0.6667,0.6757,0.6859,0.6848,0.6831,0.6801,0.6776,0.6835,0.6795,0.704,0.696,0.6609,0.6746,0.6782,0.6638,0.6804,0.6841,0.6231,0.6644,0.6714,0.6868
MLB_2013,0.6957,0.6739,0.6775,0.6853,0.6611,0.668,0.6816,0.673,0.7066,0.6891,0.6756,0.6965,0.6882,0.6662,0.6499,0.6889,0.6935,0.6677,0.6966,0.6623,0.6585,0.6583,0.6619,0.6805,0.6662,0.6539,0.6274,0.6845,0.6921,0.6781
MLB_2014,0.6655,0.6925,0.6714,0.6702,0.6893,0.6761,0.6869,0.6589,0.6751,0.7013,0.6728,0.6554,0.6692,0.6536,0.6822,0.6675,0.6962,0.6893,0.6973,0.7035,0.6619,0.6393,0.6904,0.6854,0.6817,0.6799,0.6778,0.6785,0.6887,0.6706
MLB_2015,0.6566,0.6603,0.6623,0.6652,0.6566,0.648,0.6954,0.6977,0.6609,0.674,0.6752,0.6619,0.678,0.6567,0.681,0.6822,0.6894,0.6777,0.6849,0.6931,0.6574,0.6663,0.7001,0.6919,0.701,0.7005,0.6878,0.6983,0.6584,0.6894
MLB_2016,0.7052,0.6638,0.6492,0.6404,0.6747,0.6877,0.6615,0.6783,0.6787,0.6719,0.66,0.6741,0.669,0.6538,0.6996,0.6688,0.6881,0.6742,0.6746,0.6867,0.64,0.6844,0.6785,0.6689,0.6823,0.6602,0.6921,0.6891,0.6804,0.6763
MLB_2017,0.6777,0.6733,0.6727,0.6736,0.6957,0.6644,0.6856,0.6745,0.6563,0.6912,0.676,0.6949,0.674,0.6194,0.6656,0.6815,0.6754,0.6639,0.6601,0.6922,0.6744,0.6988,0.6695,0.6783,0.6581,0.6631,0.6604,0.6911,0.6891,0.6774
MLB_2018,0.6719,0.6696,0.6755,0.674,0.6935,0.6877,0.6404,0.6702,0.6823,0.672,0.6691,0.6552,0.7061,0.6871,0.6534,0.6746,0.6924,0.6627,0.6158,0.6832,0.6837,0.6873,0.6334,0.6609,0.6581,0.6599,0.6485,0.6636,0.6651,0.6694
MLB_2019,0.6674,0.6767,0.682,0.6819,0.6697,0.6906,0.6501,0.653,0.6807,0.6797,0.6854,0.6712,0.6924,0.6263,0.6417,0.6994,0.6418,0.6257,0.6344,0.6678,0.6655,0.6524,0.6773,0.6504,0.6804,0.6524,0.6184,0.667,0.6605,0.6666
MLB_2020,0.6441,0.6916,0.6928,0.6921,0.6579,0.701,0.6515,0.6802,0.6948,0.692,0.6631,0.6837,0.671,0.6236,0.6978,0.6807,0.6591,0.6477,0.7072,0.693,0.7311,0.6727,0.6619,0.6416,0.627,0.6489,0.6566,0.6706,0.6637,0.655
MLB_2021,0.6536,0.6913,0.6876,0.6601,0.678,0.6743,0.6902,0.693,0.659,0.6748,0.6812,0.6781,0.6204,0.623,0.6585,0.6644,0.7159,0.7034,0.6331,0.6703,0.6594,0.6461,0.6776,0.7006,0.6622,0.6687,0.6781,0.6615,0.6845,0.6743
MLB_2022,0.6459,0.6671,0.6621,0.6951,0.6253,0.6591,0.6534,0.6519,0.6637,0.6774,0.6873,0.6683,0.6715,0.6347,0.6562,0.6625,0.6847,0.6631,0.6999,0.6656,0.6536,0.6628,0.6607,0.6453,0.6992,0.6703,0.6427,0.691,0.6863,0.662
MLB_2023,0.6981,0.6728,0.6972,0.68,0.6465,0.7082,0.656,0.6852,0.6766,0.6914,0.6702,0.6839,0.6839,0.6721,0.6716,0.6844,0.6743,0.6883,0.6773,0.6448,0.6911,0.6323,0.7033,0.6777,0.663,0.6936,0.7055,0.6786,0.6906,0.6128
