season,brier_score,log_loss,brier_skill_loss_50_50,brier_skill_loss_home_prob_grouped,brier_skill_loss_home_prob_overall
NHL_2009,0.2374,0.6674,0.0505,0.0344,0.0436
NHL_2010,0.2424,0.6778,0.0304,0.017,0.0234
NHL_2011,0.2435,0.6799,0.026,0.0291,0.0189
NHL_2012,0.2424,0.6776,0.0305,0.0208,0.0235
NHL_2013,0.2369,0.6664,0.0525,0.0319,0.0457
NHL_2014,0.2404,0.6737,0.0383,0.0321,0.0314
NHL_2015,0.2365,0.6652,0.0541,0.0471,0.0473
NHL_2016,0.2421,0.6773,0.0315,0.0293,0.0245
NHL_2017,0.238,0.6686,0.0481,0.0356,0.0412
NHL_2018,0.2382,0.6692,0.0473,0.0345,0.0405
NHL_2019,0.242,0.6769,0.0321,0.0283,0.0251
NHL_2020,0.2436,0.6799,0.0256,0.0246,0.0185
NHL_2021,0.2318,0.6557,0.073,0.0691,0.0663
NHL_2022,0.2255,0.6427,0.0982,0.092,0.0917
NHL_2023,0.2321,0.6561,0.0717,0.0718,0.065
NHL_2024,0.232,0.6556,0.072,0.0669,0.0653
