season,bin,n,favorite_roi,underdog_roi
NHL_2024,0,0,-2.0,-2.0
NHL_2024,1,0,-2.0,-2.0
NHL_2024,2,40,-0.0731597788856777,0.04600000000000004
NHL_2024,3,151,-0.023648918309230216,-0.05807947019867554
NHL_2024,4,353,-0.007908209194768534,-0.06220963172804528
NHL_2024,5,443,-0.007928648789876536,-0.059119638826185095
NHL_2024,6,302,-0.05681426602816264,-0.009337748344370844
NHL_2024,7,102,0.04763647061341891,-0.27637254901960784
NHL_2024,8,9,0.175065202764066,-1.0
NHL_2024,9,0,-2.0,-2.0
NHL_2023,0,0,-2.0,-2.0
NHL_2023,1,0,-2.0,-2.0
NHL_2023,2,39,-0.08316305438674054,0.13666666666666671
NHL_2023,3,188,0.025716533141039388,-0.12856382978723402
NHL_2023,4,282,0.05082753193722023,-0.1299290780141844
NHL_2023,5,404,-0.06404592770042383,0.023514851485148425
NHL_2023,6,331,-0.06799788735338308,0.03277945619335343
NHL_2023,7,143,0.025535238865689536,-0.22643356643356638
NHL_2023,8,12,-0.1100010385728154,0.2825
NHL_2023,9,0,-2.0,-2.0
NHL_2022,0,0,-2.0,-2.0
NHL_2022,1,0,-2.0,-2.0
NHL_2022,2,33,-0.04575441863446528,-0.038181818181818206
NHL_2022,3,180,0.08418130852256689,-0.2503333333333333
NHL_2022,4,308,0.04844391779898438,-0.1271428571428571
NHL_2022,5,413,0.05075321485283091,-0.13656174334140436
NHL_2022,6,308,-0.003550835267466579,-0.08051948051948055
NHL_2022,7,146,0.0071494266627509795,-0.16520547945205477
NHL_2022,8,11,-0.2581319035013979,0.8581818181818182
NHL_2022,9,0,-2.0,-2.0
NHL_2021,0,0,-2.0,-2.0
NHL_2021,1,0,-2.0,-2.0
NHL_2021,2,19,-0.23261776007348556,0.4994736842105263
NHL_2021,3,126,-0.03815320551159018,-0.02182539682539686
NHL_2021,4,270,0.015494649020047602,-0.09485185185185185
NHL_2021,5,273,-0.036400159273595634,-0.022564102564102573
NHL_2021,6,210,0.049943831167860386,-0.19804761904761903
