season,brier_score,log_loss,brier_skill_loss_50_50,brier_skill_loss_home_prob_grouped,brier_skill_loss_home_prob_overall
NBA_2009,0.1894,0.5582,0.2423,0.2038,0.2221
NBA_2010,0.1992,0.5819,0.2033,0.1725,0.1821
NBA_2011,0.198,0.581,0.2081,0.1749,0.187
NBA_2012,0.1977,0.5788,0.2092,0.1776,0.1882
NBA_2013,0.1966,0.5763,0.2135,0.1714,0.1926
NBA_2014,0.2029,0.589,0.1882,0.1666,0.1666
NBA_2015,0.2018,0.5877,0.193,0.1764,0.1715
NBA_2016,0.1998,0.5826,0.2009,0.1719,0.1796
NBA_2017,0.2163,0.6219,0.1349,0.1097,0.1118
NBA_2018,0.2064,0.5988,0.1746,0.1461,0.1526
NBA_2019,0.2049,0.5961,0.1802,0.149,0.1584
NBA_2020,0.2138,0.6176,0.1448,0.1383,0.1221
NBA_2021,0.2159,0.62,0.1364,0.1309,0.1134
NBA_2022,0.2098,0.6071,0.1609,0.1573,0.1386
NBA_2023,0.2173,0.6255,0.1307,0.1147,0.1076
NBA_2024,0.199,0.5826,0.2039,0.1949,0.1826
