tournament,MIA,CHI,NY,WSH,DET,ORL,MIN,BKN,HOU,IND,LAC,UTAH,SAC,NO,CLE,ATL,MEM,CHA,POR,LAL,PHX,TOR,SA,PHI,MIL,BOS,OKC,DEN,DAL
NBA_2009,0.5782,0.6253,0.6402,0.5593,0.6383,0.626,0.5645,0.6419,0.6103,0.5752,0.4837,0.5029,0.5024,0.5228,0.4113,0.5308,0.5345,0.5827,0.502,0.5235,0.572,0.6453,0.5983,0.6559,0.5634,0.553,0.5057,0.5124,0.554
NBA_2010,0.6342,0.5907,0.6208,0.6219,0.6185,0.5405,0.4733,0.4457,0.6605,0.5503,0.542,0.6044,0.5218,0.6064,0.5149,0.5606,0.6269,0.5821,0.6348,0.5118,0.5979,0.5632,0.6552,0.6232,0.5832,0.6629,0.5923,0.6079,0.6296
NBA_2011,0.5786,0.5358,0.6766,0.4612,0.5404,0.5743,0.4748,0.4823,0.5994,0.5594,0.5762,0.6739,0.6444,0.6599,0.5503,0.6114,0.6363,0.5998,0.5925,0.6366,0.636,0.5749,0.487,0.5876,0.6195,0.5735,0.6191,0.563,0.6196
NBA_2012,0.528,0.5114,0.6128,0.5509,0.511,0.604,0.6179,0.5849,0.6401,0.5984,0.6075,0.5827,0.5453,0.6327,0.6027,0.5665,0.6263,0.3902,0.5649,0.6099,0.6391,0.5921,0.5062,0.5946,0.6142,0.5972,0.5652,0.6513,0.6073
NBA_2013,0.4949,0.6623,0.6189,0.6339,0.553,0.5524,0.5908,0.6137,0.6003,0.5992,0.5692,0.5346,0.5064,0.6027,0.5929,0.5969,0.5878,0.4841,0.635,0.6198,0.5748,0.6371,0.5225,0.6061,0.6255,0.6507,0.5221,0.5445,0.5754
NBA_2014,0.5902,0.6316,0.6767,0.6785,0.6165,0.5452,0.6082,0.6294,0.5788,0.5649,0.5515,0.5307,0.5893,0.5844,0.6627,0.5959,0.5912,0.6155,0.6089,0.6346,0.7086,0.631,0.523,0.5002,0.4444,0.6061,0.5988,0.5988,0.6071
NBA_2015,0.6753,0.6399,0.5504,0.5789,0.6577,0.6181,0.5226,0.6519,0.5887,0.6048,0.5764,0.6507,0.607,0.6758,0.5312,0.5813,0.5795,0.632,0.5749,0.538,0.5904,0.5978,0.5687,0.4864,0.6146,0.6521,0.5327,0.5968,0.5609
NBA_2016,0.6411,0.6962,0.6008,0.6735,0.6469,0.5969,0.6165,0.591,0.6854,0.6072,0.5835,0.6027,0.6279,0.6257,0.5314,0.6479,0.5786,0.6035,0.5733,0.4569,0.5931,0.5974,0.3689,0.3381,0.5733,0.5899,0.5171,0.6509,0.6025
NBA_2017,0.6568,0.7017,0.6182,0.5725,0.6743,0.6252,0.6392,0.4838,0.5823,0.6336,0.6304,0.5924,0.6775,0.653,0.5379,0.7108,0.7123,0.5927,0.6455,0.5908,0.6242,0.6051,0.6068,0.588,0.6776,0.5996,0.604,0.6461,0.6362
NBA_2018,0.644,0.5701,0.5812,0.6841,0.5928,0.6108,0.5956,0.6141,0.4537,0.6281,0.5829,0.612,0.5801,0.6339,0.6587,0.5996,0.5602,0.587,0.6272,0.6288,0.5453,0.5278,0.5782,0.6099,0.6158,0.6362,0.6545,0.5891,0.6177
NBA_2019,0.6815,0.5612,0.522,0.6534,0.5456,0.6583,0.6015,0.605,0.5925,0.558,0.6112,0.5859,0.6067,0.6757,0.5222,0.6201,0.6658,0.6106,0.5471,0.6722,0.5348,0.5704,0.604,0.5798,0.525,0.6441,0.6831,0.5888,0.5805
NBA_2020,0.6505,0.5461,0.5753,0.597,0.6019,0.5766,0.6758,0.6848,0.6654,0.6335,0.6339,0.6677,0.714,0.6096,0.5789,0.5489,0.6316,0.6435,0.5987,0.6047,0.6861,0.5752,0.7127,0.5333,0.4944,0.5886,0.6475,0.661,0.7066
NBA_2021,0.6299,0.6548,0.6323,0.6441,0.5898,0.5538,0.6316,0.6422,0.5622,0.6414,0.6441,0.5598,0.665,0.6735,0.6009,0.649,0.6556,0.6394,0.6125,0.5804,0.6382,0.6606,0.6732,0.5434,0.6225,0.6735,0.5723,0.5673,0.7045
NBA_2022,0.6292,0.5512,0.6443,0.6529,0.5918,0.5432,0.6047,0.608,0.4875,0.5927,0.632,0.5917,0.6282,0.5995,0.6207,0.6263,0.6265,0.6384,0.6007,0.6195,0.5461,0.6892,0.622,0.6289,0.5923,0.5868,0.5596,0.6444,0.6185
NBA_2023,0.707,0.6858,0.6663,0.6198,0.4622,0.6749,0.7051,0.6363,0.5469,0.6639,0.5917,0.6819,0.6506,0.6013,0.5737,0.6802,0.5385,0.6112,0.6191,0.6161,0.5776,0.6334,0.5674,0.6608,0.586,0.6749,0.7118,0.6111,0.686
NBA_2024,0.5952,0.6413,0.5659,0.4832,0.4523,0.5911,0.607,0.5838,0.5723,0.6412,0.5983,0.5968,0.6685,0.6286,0.6285,0.6505,0.6169,0.5614,0.5243,0.6039,0.6285,0.546,0.5223,0.5634,0.6386,0.4676,0.5567,0.5672,0.6082
