index,BUF,BAL,SEA,PIT,IND,CIN,CLE,LAR,HOU,LV,ATL,TB,CAR,PHI,MIA,JAX,KC,MIN,LAC,GB,DAL,TEN,NYG,NYJ,ARI,SF,NE,NO,DEN,DET,CHI,WSH
0,0.2763,0.1933,0.1633,0.1938,0.1477,0.1685,0.2601,0.1772,0.2266,0.2566,0.2618,0.1902,0.1877,0.2509,0.2207,0.2688,0.1122,0.1917,0.2193,0.2553,0.2024,0.2135,0.2185,0.2989,0.2145,0.1899,0.1466,0.1937,0.3154,0.0497,0.1421,0.2821
1,0.2016,0.1852,0.1695,0.2419,0.1668,0.2883,0.1647,0.1117,0.2506,0.2527,0.1482,0.2032,0.2583,0.1923,0.2315,0.2047,0.203,0.1948,0.2084,0.2115,0.2131,0.1912,0.2471,0.2818,0.2941,0.1993,0.1909,0.1744,0.2875,0.122,0.1704,0.1527
2,0.17,0.1642,0.2283,0.1881,0.1792,0.215,0.2401,0.2703,0.1951,0.2636,0.1862,0.2407,0.1377,0.2456,0.2916,0.227,0.1976,0.1941,0.2693,0.2043,0.3185,0.2339,0.1994,0.2598,0.2225,0.1915,0.218,0.2328,0.219,0.1781,0.2441,0.2721
3,0.2158,0.1922,0.2503,0.1637,0.1517,0.1907,0.1664,0.174,0.1967,0.2608,0.1839,0.1735,0.1751,0.2986,0.1709,0.1793,0.2724,0.2032,0.2184,0.1506,0.168,0.2273,0.3004,0.1766,0.2187,0.205,0.1961,0.1736,0.2377,0.2078,0.2169,0.1809
4,0.1807,0.2134,0.2114,0.2529,0.2251,0.2283,0.2014,0.258,0.1681,0.1613,0.2066,0.261,0.2573,0.2073,0.1945,0.1572,0.1805,0.2613,0.2375,0.2004,0.2194,0.2162,0.2515,0.1807,0.2131,0.2484,0.1915,0.2425,0.1682,0.2491,0.1879,0.2527
5,0.2161,0.21,0.1388,0.2468,0.2542,0.2153,0.216,0.1902,0.2275,0.1619,0.1859,0.1999,0.1926,0.2744,0.2637,0.188,0.191,0.2266,0.2474,0.2177,0.1854,0.2048,0.2214,0.2617,0.2146,0.1955,0.1712,0.1705,0.1452,0.249,0.2056,0.1877
6,0.2902,0.2255,0.1797,0.2605,0.1829,0.2732,0.2371,0.2869,0.2228,0.1685,0.2393,0.2224,0.2274,0.2064,0.2176,0.1311,0.2338,0.1756,0.1762,0.1327,0.2252,0.1599,0.218,0.1891,0.2003,0.254,0.1835,0.2997,0.2065,0.181,0.202,0.2165
7,0.2397,0.2523,0.2106,0.202,0.2569,0.181,0.186,0.2782,0.241,0.2547,0.2865,0.2928,0.2076,0.2904,0.2471,0.248,0.1881,0.2006,0.199,0.2132,0.208,0.1869,0.1983,0.2295,0.2165,0.1744,0.196,0.2848,0.2392,0.2089,0.3022,0.248
8,0.2217,0.2119,0.2216,0.2064,0.2672,0.221,0.1503,0.2171,0.1818,0.2309,0.2108,0.2649,0.2516,0.2307,0.2183,0.197,0.2387,0.2448,0.2392,0.2226,0.2049,0.2545,0.2108,0.1876,0.2593,0.1958,0.1646,0.2485,0.2365,0.2403,0.2096,0.2675
9,0.2086,0.2229,0.2262,0.2306,0.1589,0.2144,0.1444,0.2238,0.1869,0.1884,0.2572,0.2059,0.2309,0.1838,0.2561,0.253,0.2908,0.1817,0.203,0.1878,0.2088,0.2036,0.2543,0.1852,0.2203,0.1861,0.1978,0.1712,0.2473,0.2113,0.2355,0.2289
10,0.2343,0.2135,0.2005,0.2397,0.2085,0.1864,0.1944,0.1624,0.2182,0.1931,0.2089,0.2351,0.2542,0.2576,0.2121,0.276,0.1893,0.2166,0.2104,0.1845,0.2512,0.256,0.2443,0.2146,0.2011,0.1958,0.2063,0.2299,0.2288,0.2481,0.2401,0.2352
11,0.2012,0.1715,0.2356,0.2517,0.2875,0.1704,0.2242,0.2138,0.2355,0.2385,0.2698,0.2583,0.241,0.2164,0.2176,0.2298,0.2051,0.2036,0.2704,0.1807,0.2355,0.289,0.1901,0.2221,0.2064,0.2069,0.1922,0.2436,0.2277,0.1561,0.2334,0.1564
12,0.1737,0.1636,0.2077,0.214,0.1823,0.2289,0.195,0.2577,0.1745,0.2318,0.2095,0.181,0.2186,0.2445,0.2334,0.1166,0.1324,0.2263,0.1926,0.1698,0.23,0.2186,0.1827,0.1487,0.2736,0.3094,0.2129,0.1876,0.1984,0.1923,0.1861,0.208
13,0.2199,0.2238,0.2274,0.234,0.2495,0.2727,0.1831,0.185,0.1934,0.272,0.1811,0.1831,0.202,0.1915,0.2071,0.2227,0.1926,0.2103,0.2551,0.1997,0.2178,0.298,0.1643,0.1742,0.311,0.2369,0.1958,0.2539,0.1985,0.1873,0.1667,0.1772
14,0.1709,0.1767,0.2509,0.2342,0.2326,0.2094,0.244,0.2038,0.159,0.2389,0.1806,0.2315,0.2459,0.154,0.1987,0.259,0.1462,0.1855,0.2123,0.2677,0.2291,0.2158,0.2285,0.2626,0.1898,0.1726,0.1848,0.2052,0.2009,0.2335,0.203,0.256
15,0.2117,0.222,0.1831,0.268,0.2189,0.251,0.2396,0.1771,0.251,0.2231,0.2464,0.2255,0.1693,0.2277,0.1718,0.2395,0.2449,0.2333,0.2242,0.2695,0.1711,0.2372,0.197,0.2095,0.2027,0.2275,0.2458,0.2208,0.2749,0.2054,0.1856,0.1988
