team,brier_score,log_loss,brier_skill_loss_50_50,brier_skill_loss_home_prob_grouped,brier_skill_loss_home_prob_overall
NYI,0.2392,0.671,0.0434,0.0364,0.036
PIT,0.2362,0.665,0.0551,0.0398,0.0478
TOR,0.2422,0.6776,0.0314,0.0269,0.0239
WSH,0.2368,0.6662,0.0528,0.0472,0.0455
NJ,0.2381,0.669,0.0475,0.0429,0.0401
NYR,0.2403,0.6734,0.0388,0.0386,0.0314
CBJ,0.2344,0.6608,0.0625,0.0538,0.0553
COL,0.2349,0.6619,0.0604,0.0532,0.0532
DAL,0.242,0.6769,0.0319,0.0254,0.0244
OTT,0.2398,0.6722,0.0407,0.0301,0.0333
BOS,0.2371,0.6667,0.0515,0.0494,0.0442
EDM,0.2338,0.6596,0.0648,0.0621,0.0576
CGY,0.2417,0.6767,0.033,0.0249,0.0256
SEA,0.2337,0.6596,0.065,0.0718,0.0578
VAN,0.2388,0.6705,0.0448,0.0392,0.0374
CHI,0.2329,0.658,0.0685,0.0594,0.0613
WPG,0.2397,0.6718,0.0414,0.035,0.034
MIN,0.2379,0.6685,0.0483,0.0374,0.0409
ARI,0.2344,0.6614,0.0623,0.0499,0.055
VGK,0.2406,0.6739,0.0377,0.0279,0.0303
CAR,0.2368,0.6661,0.0528,0.0397,0.0454
PHI,0.2396,0.6718,0.0417,0.0309,0.0343
MTL,0.2395,0.6718,0.042,0.0409,0.0346
FLA,0.2344,0.6611,0.0623,0.0559,0.0551
TB,0.2318,0.6556,0.0729,0.0602,0.0657
NSH,0.2414,0.6758,0.0343,0.0259,0.0268
BUF,0.2344,0.6612,0.0624,0.0595,0.0551
LA,0.2424,0.6777,0.0304,0.0256,0.0229
ANA,0.233,0.6581,0.068,0.0604,0.0608
SJ,0.2351,0.6624,0.0597,0.0514,0.0524
DET,0.2361,0.6646,0.0557,0.0465,0.0484
STL,0.2349,0.6626,0.0605,0.0403,0.0532
