Item,rating,ranking
LAA,1.0,1
CIN,0.9586597027691854,2
NYM,0.9509547669764278,3
DET,0.9419038622086611,4
MIL,0.9299415845208353,5
SD,0.8733635579530782,6
BOS,0.8124177679173511,7
CHC,0.7702400533245578,8
OAK,0.7664963112892107,9
ATL,0.747546604251996,10
SF,0.747181695357663,11
PHI,0.7287192653462643,12
NYY,0.612872039429999,13
LAD,0.6087623321146608,14
HOU,0.5247200659754825,15
ARI,0.5175539544335731,16
MIN,0.49074440987280266,17
MIA,0.4845245560621292,18
TOR,0.4653846974201529,19
STL,0.4093812481323717,20
TEX,0.3918647469005262,21
WSH,0.39005626786396996,22
BAL,0.37918816695727303,23
KC,0.36503826130593614,24
CLE,0.3497958278392903,25
SEA,0.346768819381404,26
COL,0.3246741451119595,27
CHW,0.2740973254710084,28
PIT,0.08133964602813716,29
TB,0.0,30
