Item,rating,ranking
VAN,1.0,1
CHI,0.9254501268199214,2
CGY,0.9159127619944932,3
ANA,0.8377369982613567,4
DET,0.8239756795301889,5
PIT,0.8117509125415924,6
SJ,0.7850470446397554,7
DAL,0.7841225730255418,8
NJ,0.7482640813077323,9
WPG,0.7411108388710169,10
VGK,0.6979525420691277,11
BOS,0.6976171412188621,12
NSH,0.682738581060207,13
CAR,0.6742504754195816,14
MIN,0.6711259226695522,15
WSH,0.6376495979321837,16
STL,0.6279325150365549,17
TOR,0.6035200857951086,18
ARI,0.5922603325326694,19
CBJ,0.5858598093445626,20
TB,0.5361613130534612,21
OTT,0.5303665029550377,22
EDM,0.45381482486441566,23
NYR,0.4503313623114968,24
MTL,0.43092682853646624,25
LA,0.39795790570022593,26
PHI,0.3786713284212186,27
SEA,0.3741093865320622,28
NYI,0.3663244905374691,29
FLA,0.335093219862904,30
COL,0.24485827707102686,31
BUF,0.0,32
