Item,rating,ranking
IND,1.0,1
PIT,0.994334576204496,2
NE,0.9093523103801794,3
ATL,0.8934903279811782,4
BAL,0.8873540545001192,5
NO,0.8831954519343468,6
DAL,0.8106423806140786,7
LAC,0.7980106090799522,8
MIA,0.7953515850766066,9
SEA,0.786004607848119,10
ARI,0.7763000716631834,11
GB,0.7613804201506598,12
PHI,0.7276126874590207,13
NYG,0.6998438470445604,14
MIN,0.6581514362529457,15
CAR,0.6577069370581488,16
HOU,0.6369754731662156,17
CHI,0.6364460950986828,18
TEN,0.5373267434755976,19
NYJ,0.5347278866011245,20
DEN,0.5193247818807495,21
SF,0.5062438954385879,22
CIN,0.4658429015885702,23
WSH,0.42811789056611066,24
TB,0.35048690286732914,25
LV,0.28155353752361495,26
CLE,0.25491353457123794,27
LAR,0.19710360408370023,28
KC,0.1175402339597055,29
JAX,0.08110307854891861,30
BUF,0.004947454904248902,31
DET,0.0,32
